Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0188,204,170,374,795,47.04%,38,312,350
"District Judge, 125th Judicial District",0187,48,85,113,309,38.57%,25,83,108
"District Judge, 125th Judicial District",0188,307,378,885,1818,42.39%,235,414,849
"District Judge, 125th Judicial District",0189,492,473,985,1453,88.41%,510,385,875
"District Judge, 125th Judicial District",0190,275,401,878,1720,39.30%,218,413,831
"District Judge, 125th Judicial District",0191,195,313,509,1391,38.59%,188,318,484
"District Judge, 125th Judicial District",0192,748,332,1078,2045,52.71%,32,1008,1040
"District Judge, 125th Judicial District",0193,341,289,810,1050,58.10%,12,575,587
"District Judge, 125th Judicial District",0194,704,504,1208,1735,89.83%,357,781,1118
"District Judge, 125th Judicial District",0195,539,419,958,1721,55.87%,25,899,924
"District Judge, 125th Judicial District",0198,121,55,178,323,54.49%,8,182,188
"District Judge, 125th Judicial District",0197,1109,497,1808,2895,55.47%,29,1528,1555
"District Judge, 125th Judicial District",0198,143,158,301,857,45.81%,8,282,290
"District Judge, 125th Judicial District",0199,1407,773,2180,3159,89.01%,1824,441,2085
"District Judge, 125th Judicial District",0200,1838,585,2223,3222,88.99%,1030,1004,2034
"District Judge, 125th Judicial District",0201,229,125,354,728,48.83%,10,335,345
"District Judge, 125th Judicial District",0202,488,332,820,1479,55.44%,15,771,788
"District Judge, 125th Judicial District",0203,288,158,422,900,48.89%,83,315,398
"District Judge, 125th Judicial District",0204,1489,914,2403,3482,89.41%,1339,888,2227
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0205,856,201,1057,1667,63.41%,22,1004,1026
"District Judge, 125th Judicial District",0206,651,659,1310,2662,49.21%,391,832,1223
"District Judge, 125th Judicial District",0207,409,310,719,1144,62.85%,250,408,658
"District Judge, 125th Judicial District",0208,806,364,1170,2201,53.16%,277,814,1091
"District Judge, 125th Judicial District",0209,0,4,4,0,0.00%,4,0,4
"District Judge, 125th Judicial District",0210,1013,542,1555,2300,67.61%,173,1298,1471
"District Judge, 125th Judicial District",0211,710,686,1396,2797,49.91%,469,815,1284
"District Judge, 125th Judicial District",0212,218,314,532,1266,42.02%,90,412,502
"District Judge, 125th Judicial District",0213,1603,939,2542,3308,76.84%,1982,399,2381
"District Judge, 125th Judicial District",0214,798,544,1342,1795,74.76%,813,411,1224
"District Judge, 125th Judicial District",0215,844,786,1630,2168,75.18%,999,504,1503
"District Judge, 125th Judicial District",0216,784,320,1104,1917,57.59%,70,990,1060
"District Judge, 125th Judicial District",0217,1396,651,2047,2637,77.63%,1384,508,1892
"District Judge, 125th Judicial District",0218,690,608,1298,2274,57.08%,368,824,1192
"District Judge, 125th Judicial District",0219,1117,587,1704,2654,64.20%,133,1481,1614
"District Judge, 125th Judicial District",0220,711,353,1064,2360,45.08%,706,299,1005
"District Judge, 125th Judicial District",0221,699,611,1310,2489,52.63%,516,689,1205
"District Judge, 125th Judicial District",0222,1000,792,1792,2384,75.17%,888,725,1613
"District Judge, 125th Judicial District",0223,1350,760,2110,3528,59.81%,591,1341,1932
"District Judge, 125th Judicial District",0224,894,649,1543,2259,68.30%,726,681,1407
"District Judge, 125th Judicial District",0225,1109,720,1829,3155,57.97%,753,989,1742
"District Judge, 125th Judicial District",0226,529,545,1074,2393,44.88%,211,768,979
"District Judge, 125th Judicial District",0227,947,451,1398,1767,79.12%,1072,220,1292
"District Judge, 125th Judicial District",0228,583,165,748,1073,69.71%,32,696,728
"District Judge, 125th Judicial District",0229,152,207,359,811,44.27%,96,242,338
"District Judge, 125th Judicial District",0230,421,153,574,1096,52.37%,10,537,547
"District Judge, 125th Judicial District",0231,562,471,1033,2219,46.55%,243,737,980
"District Judge, 125th Judicial District",0232,685,546,1231,1696,72.58%,706,419,1125
"District Judge, 125th Judicial District",0233,1826,1063,2889,4132,69.92%,1491,1163,2654
"District Judge, 125th Judicial District",0234,2088,885,2973,3854,77.14%,2291,484,2775
"District Judge, 125th Judicial District",0235,466,242,708,1305,54.25%,19,669,688
"District Judge, 125th Judicial District",0236,779,342,1121,2144,52.29%,24,1048,1072
"District Judge, 125th Judicial District",0237,793,441,1234,2181,56.58%,16,1190,1206
"District Judge, 125th Judicial District",0238,640,422,1062,1901,55.87%,17,1007,1024
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0239,765,357,1122,1997,56.18%,27,1059,1086
"District Judge, 125th Judicial District",0240,1157,402,1559,2688,58.00%,16,1491,1507
"District Judge, 125th Judicial District",0241,494,479,973,2296,42.38%,362,555,917
"District Judge, 125th Judicial District",0242,363,323,686,1570,43.69%,347,304,651
"District Judge, 125th Judicial District",0243,254,50,304,452,67.26%,3,293,296
"District Judge, 125th Judicial District",0244,1100,656,1756,2912,60.30%,894,777,1671
"District Judge, 125th Judicial District",0245,2340,1115,3455,5240,65.94%,2259,1058,3317
"District Judge, 125th Judicial District",0246,1584,624,2208,2999,73.62%,1448,653,2101
"District Judge, 125th Judicial District",0247,421,403,824,1607,51.28%,13,788,801
"District Judge, 125th Judicial District",0248,408,405,813,2122,38.31%,177,589,766
"District Judge, 125th Judicial District",0249,1028,481,1509,2676,56.39%,959,473,1432
"District Judge, 125th Judicial District",0250,306,247,553,951,58.15%,9,534,543
"District Judge, 125th Judicial District",0251,809,529,1338,2072,64.58%,52,1232,1284
"District Judge, 125th Judicial District",0252,1111,356,1467,2350,62.43%,23,1403,1426
"District Judge, 125th Judicial District",0253,923,325,1248,2252,55.42%,14,1211,1225
"District Judge, 125th Judicial District",0254,220,282,502,1476,34.01%,116,347,463
"District Judge, 125th Judicial District",0255,995,797,1792,2411,74.33%,825,830,1655
"District Judge, 125th Judicial District",0256,1059,766,1825,3226,56.57%,701,987,1688
"District Judge, 125th Judicial District",0257,553,571,1124,2403,46.77%,252,818,1070
"District Judge, 125th Judicial District",0258,1577,888,2465,3286,75.02%,1763,501,2264
"District Judge, 125th Judicial District",0259,1210,460,1670,2408,69.35%,23,1604,1627
"District Judge, 125th Judicial District",0260,420,290,710,1187,59.81%,368,306,674
"District Judge, 125th Judicial District",0261,176,133,309,749,41.26%,91,202,293
"District Judge, 125th Judicial District",0262,1470,906,2376,4232,56.14%,1353,852,2205
"District Judge, 125th Judicial District",0263,1785,719,2504,3319,75.44%,1834,561,2395
"District Judge, 125th Judicial District",0264,936,639,1575,2939,53.59%,817,634,1451
"District Judge, 125th Judicial District",0265,1936,674,2610,3617,72.16%,1901,522,2423
"District Judge, 125th Judicial District",0266,552,542,1094,2119,51.63%,479,549,1028
"District Judge, 125th Judicial District",0267,294,305,599,1346,44.50%,256,298,554
"District Judge, 125th Judicial District",0268,931,810,1741,2387,72.94%,1045,539,1584
"District Judge, 125th Judicial District",0269,1143,444,1587,1981,80.11%,1235,246,1481
"District Judge, 125th Judicial District",0270,1401,870,2271,3517,64.57%,1245,844,2089
"District Judge, 125th Judicial District",0271,1303,371,1674,2469,67.80%,10,1620,1630
"District Judge, 125th Judicial District",0272,610,484,1094,2112,51.80%,407,630,1037
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0273,1139,634,1773,2426,73.08%,1420,248,1668
"District Judge, 125th Judicial District",0274,1049,364,1413,2063,68.49%,942,385,1327
"District Judge, 125th Judicial District",0275,567,410,977,1730,56.47%,163,769,932
"District Judge, 125th Judicial District",0276,1139,404,1543,2532,60.94%,11,1497,1508
"District Judge, 125th Judicial District",0277,342,305,647,1473,43.92%,271,355,626
"District Judge, 125th Judicial District",0278,756,607,1363,2405,56.67%,690,594,1284
"District Judge, 125th Judicial District",0279,548,383,931,1899,49.03%,537,339,876
"District Judge, 125th Judicial District",0280,303,360,663,1515,43.76%,222,394,616
"District Judge, 125th Judicial District",0281,1087,903,1990,2610,76.25%,1012,749,1761
"District Judge, 125th Judicial District",0282,690,591,1281,1988,64.44%,746,466,1212
"District Judge, 125th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",0284,1135,595,1730,3262,53.03%,636,1005,1641
"District Judge, 125th Judicial District",0285,988,509,1497,2505,59.76%,105,1331,1436
"District Judge, 125th Judicial District",0286,2657,1053,3710,5719,64.87%,297,3254,3551
"District Judge, 125th Judicial District",0287,647,542,1189,1616,73.58%,609,488,1097
"District Judge, 125th Judicial District",0288,1036,380,1416,2259,62.68%,18,1349,1367
"District Judge, 125th Judicial District",0289,374,397,771,1510,51.06%,298,415,713
"District Judge, 125th Judicial District",0290,577,429,1006,1567,64.20%,746,223,969
"District Judge, 125th Judicial District",0291,541,298,839,1203,69.74%,395,388,783
"District Judge, 125th Judicial District",0292,477,236,713,1272,56.05%,87,595,682
"District Judge, 125th Judicial District",0293,620,557,1177,1733,67.92%,525,563,1088
"District Judge, 125th Judicial District",0294,989,298,1287,2107,61.08%,9,1233,1242
"District Judge, 125th Judicial District",0295,314,189,503,862,58.35%,6,484,490
"District Judge, 125th Judicial District",0296,602,432,1034,1693,61.08%,566,373,939
"District Judge, 125th Judicial District",0297,576,445,1021,1978,51.62%,370,579,949
"District Judge, 125th Judicial District",0298,847,475,1322,2083,63.47%,706,516,1222
"District Judge, 125th Judicial District",0299,328,213,541,1231,43.95%,166,338,504
"District Judge, 125th Judicial District",0300,3013,922,3935,5040,78.08%,2965,731,3696
"District Judge, 125th Judicial District",0301,450,655,1105,2397,46.10%,393,655,1048
"District Judge, 125th Judicial District",0302,713,635,1348,2724,49.49%,682,582,1264
"District Judge, 125th Judicial District",0303,1772,755,2527,3172,79.67%,1995,366,2361
"District Judge, 125th Judicial District",0304,970,648,1618,2266,71.40%,916,558,1474
"District Judge, 125th Judicial District",0305,1319,858,2177,3621,60.12%,783,1298,2081
"District Judge, 125th Judicial District",0306,1013,323,1336,1847,72.33%,965,280,1245
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0307,1242,876,2118,2931,72.26%,1454,536,1990
"District Judge, 125th Judicial District",0308,444,238,682,1266,53.87%,183,459,642
"District Judge, 125th Judicial District",0309,1385,612,1997,2529,78.96%,1580,290,1870
"District Judge, 125th Judicial District",0310,517,348,965,1437,67.15%,631,267,898
"District Judge, 125th Judicial District",0311,862,699,1561,2997,52.09%,669,724,1393
"District Judge, 125th Judicial District",0312,1600,718,2318,3669,63.18%,1268,903,2171
"District Judge, 125th Judicial District",0313,22,1,23,60,38.33%,12,8,20
"District Judge, 125th Judicial District",0314,2494,1221,3715,5225,71.10%,2215,1345,3560
"District Judge, 125th Judicial District",0315,711,479,1190,1618,73.55%,700,392,1092
"District Judge, 125th Judicial District",0316,682,411,1093,1522,71.81%,605,393,998
"District Judge, 125th Judicial District",0317,551,336,887,1469,60.38%,263,583,846
"District Judge, 125th Judicial District",0318,1708,611,2319,3531,65.68%,88,2141,2229
"District Judge, 125th Judicial District",0319,965,290,1255,2081,60.31%,77,1129,1206
"District Judge, 125th Judicial District",0320,464,300,764,1505,50.76%,323,392,715
"District Judge, 125th Judicial District",0321,442,305,748,2029,36.87%,247,461,708
"District Judge, 125th Judicial District",0322,397,237,634,1322,47.96%,154,455,609
"District Judge, 125th Judicial District",0323,482,332,814,1719,47.35%,331,417,748
"District Judge, 125th Judicial District",0324,967,718,1685,2339,72.04%,1070,483,1553
"District Judge, 125th Judicial District",0325,656,397,1053,2251,46.78%,219,780,999
"District Judge, 125th Judicial District",0326,202,128,330,678,48.67%,126,173,299
"District Judge, 125th Judicial District",0327,725,244,970,1751,55.40%,17,920,937
