Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",0997,429,328,757,1439,52.61%,124,610,734
"District Judge, 125th Judicial District",0998,15,9,24,35,68.57%,16,7,23
"District Judge, 125th Judicial District",0999,30,16,46,65,70.77%,36,7,43
"District Judge, 125th Judicial District",1000,105,0,105,458,22.93%,17,82,99
"District Judge, 125th Judicial District",1001,496,294,790,1566,50.45%,152,593,745
"District Judge, 125th Judicial District",1002,464,314,778,1738,44.76%,85,661,746
"District Judge, 125th Judicial District",1003,0,0,0,1,0.00%,0,0,0
"District Judge, 125th Judicial District",1004,224,153,377,656,57.47%,182,146,328
"District Judge, 125th Judicial District",1005,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",1006,3,0,3,5,60.00%,3,0,3
"District Judge, 125th Judicial District",1007,555,295,850,1371,62.00%,200,621,821
"District Judge, 125th Judicial District",1008,86,21,107,150,71.33%,78,23,101
"District Judge, 125th Judicial District",1009,3,1,4,8,50.00%,4,0,4
"District Judge, 125th Judicial District",1010,124,74,198,317,62.46%,30,159,189
"District Judge, 125th Judicial District",1011,12,3,15,29,51.72%,6,6,12
"District Judge, 125th Judicial District",1012,395,318,713,1235,57.73%,186,501,687
"District Judge, 125th Judicial District",1013,8,14,22,60,36.67%,15,7,22
"District Judge, 125th Judicial District",1014,9,7,16,36,44.44%,3,13,16
"District Judge, 125th Judicial District",1015,11,7,18,29,62.07%,4,13,17
"District Judge, 125th Judicial District",1016,591,364,955,1626,58.73%,421,489,910
"District Judge, 125th Judicial District",1017,127,50,177,232,76.29%,48,121,169
"District Judge, 125th Judicial District",1018,209,92,301,468,64.32%,136,155,291
"District Judge, 125th Judicial District",1019,426,4,430,1518,28.33%,15,400,415
"District Judge, 125th Judicial District",1020,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",1021,1,0,1,2,50.00%,0,1,1
"District Judge, 125th Judicial District",1022,190,30,220,428,51.84%,172,38,210
"District Judge, 125th Judicial District",1023,894,401,1295,1984,85.94%,828,397,1223
"District Judge, 125th Judicial District",1024,113,77,190,259,73.38%,102,88,170
"District Judge, 125th Judicial District",1025,4,0,4,18,22.22%,1,3,4
"District Judge, 125th Judicial District",1028,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",1027,0,1,1,1,100.00%,0,0,0
"District Judge, 125th Judicial District",1028,0,1,1,0,0.00%,1,0,1
"District Judge, 125th Judicial District",1029,1021,841,1882,1802,92.23%,1273,292,1585
"District Judge, 125th Judicial District",1030,397,105,502,855,78.84%,430,51,481
"District Judge, 125th Judicial District",1031,3,3,8,8,100.00%,5,1,8
"District Judge, 125th Judicial District",1032,59,80,139,241,57.88%,98,31,129
"District Judge, 125th Judicial District",1033,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",1034,0,0,0,1,0.00%,0,0,0
"District Judge, 125th Judicial District",1035,24,13,37,139,28.82%,3,33,38
"District Judge, 125th Judicial District",1038,144,48,190,433,43.88%,148,34,180
"District Judge, 125th Judicial District",1037,27,18,43,73,58.90%,21,15,38
"District Judge, 125th Judicial District",1038,133,43,178,288,88.17%,10,182,172
"District Judge, 125th Judicial District",1039,3,5,8,20,40.00%,2,8,8
"District Judge, 125th Judicial District",1040,192,148,338,807,55.88%,180,138,318
"District Judge, 125th Judicial District",1041,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",1042,227,50,277,498,55.82%,79,193,272
"District Judge, 125th Judicial District",1043,12,2,14,31,45.18%,3,11,14
"District Judge, 125th Judicial District",1044,29,5,34,59,57.83%,7,28,33
"District Judge, 125th Judicial District",1045,811,321,932,1439,84.77%,120,783,903
"District Judge, 125th Judicial District",1048,19,18,37,54,88.52%,5,30,35
"District Judge, 125th Judicial District",1047,553,288,851,1242,88.52%,254,581,815
"District Judge, 125th Judicial District",1048,3,1,4,18,22.22%,2,2,4
"District Judge, 125th Judicial District",1049,57,71,128,288,48.12%,41,83,124
"District Judge, 125th Judicial District",1050,148,153,301,508,59.49%,84,223,287
"District Judge, 125th Judicial District",1051,0,12,12,0,0.00%,10,2,12
"District Judge, 125th Judicial District",1052,0,2,2,0,0.00%,1,0,1
"District Judge, 125th Judicial District",1053,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",1054,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Coselli,DEM Kyle Carter,Totals
"District Judge, 125th Judicial District",1055,0,0,0,0,0.00%,0,0,0
"District Judge, 125th Judicial District",1056,4,0,4,6,66.67%,0,4,4
"District Judge, 125th Judicial District",1057,34,7,41,115,35.65%,2,35,37
"District Judge, 125th Judicial District",1058,540,246,786,1190,66.05%,120,634,754
"District Judge, 125th Judicial District",1059,7,3,10,23,43.48%,1,9,10
"District Judge, 125th Judicial District",1060,13,4,17,49,34.69%,9,8,17
"District Judge, 125th Judicial District",1061,665,300,965,1613,59.83%,517,409,926
"District Judge, 125th Judicial District",1062,59,25,85,168,50.60%,20,61,81
"District Judge, 125th Judicial District",1063,226,63,289,792,36.49%,29,249,278
"District Judge, 125th Judicial District",1064,45,1,46,120,38.33%,32,12,44
"District Judge, 125th Judicial District",Totals:,774640,427100,1201740,1942566,566248,567942,1134190
