Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0177,672,385,1057,1478,71.52%,603,381,984
"District Judge, 164th Judicial District",0178,913,368,1281,1718,74.56%,785,382,1167
"District Judge, 164th Judicial District",0179,449,321,770,1508,51.06%,329,389,718
"District Judge, 164th Judicial District",0180,966,552,1518,2795,54.31%,30,1419,1449
"District Judge, 164th Judicial District",0181,416,514,930,1968,47.26%,244,620,864
"District Judge, 164th Judicial District",0182,1321,1081,2402,3289,73.03%,1335,809,2144
"District Judge, 164th Judicial District",0183,970,943,1913,2451,78.05%,1154,583,1737
"District Judge, 164th Judicial District",0184,214,256,470,969,48.50%,124,308,432
"District Judge, 164th Judicial District",0185,592,494,1086,1910,56.86%,331,679,1010
"District Judge, 164th Judicial District",0186,204,170,374,795,47.04%,38,310,348
"District Judge, 164th Judicial District",0187,48,65,113,309,36.57%,27,81,108
"District Judge, 164th Judicial District",0188,307,378,685,1616,42.39%,224,423,647
"District Judge, 164th Judicial District",0189,492,473,965,1453,66.41%,488,387,875
"District Judge, 164th Judicial District",0190,275,401,676,1720,39.30%,220,411,631
"District Judge, 164th Judicial District",0191,195,313,509,1391,36.59%,172,312,484
"District Judge, 164th Judicial District",0192,746,332,1078,2045,52.71%,31,1007,1038
"District Judge, 164th Judicial District",0193,341,269,610,1050,58.10%,12,573,585
"District Judge, 164th Judicial District",0194,704,504,1208,1735,69.63%,331,788,1119
"District Judge, 164th Judicial District",0195,539,419,958,1721,55.67%,26,897,923
"District Judge, 164th Judicial District",0196,121,55,176,323,54.49%,6,163,169
"District Judge, 164th Judicial District",0197,1109,497,1606,2895,55.47%,25,1530,1555
"District Judge, 164th Judicial District",0198,143,158,301,657,45.81%,5,283,288
"District Judge, 164th Judicial District",0199,1407,773,2180,3159,69.01%,1581,479,2060
"District Judge, 164th Judicial District",0200,1638,585,2223,3222,68.99%,965,1057,2022
"District Judge, 164th Judicial District",0201,229,125,354,728,48.63%,11,335,346
"District Judge, 164th Judicial District",0202,488,332,820,1479,55.44%,11,771,782
"District Judge, 164th Judicial District",0203,266,156,422,900,46.89%,83,312,395
"District Judge, 164th Judicial District",0204,1489,914,2403,3462,69.41%,1301,923,2224
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0205,856,201,1057,1667,63.41%,18,1006,1024
"District Judge, 164th Judicial District",0206,651,659,1310,2662,49.21%,370,851,1221
"District Judge, 164th Judicial District",0207,409,310,719,1144,62.85%,224,427,651
"District Judge, 164th Judicial District",0208,806,364,1170,2201,53.16%,277,813,1090
"District Judge, 164th Judicial District",0209,0,4,4,0,0.00%,4,0,4
"District Judge, 164th Judicial District",0210,1013,542,1555,2300,67.61%,154,1315,1469
"District Judge, 164th Judicial District",0211,710,686,1396,2797,49.91%,458,829,1287
"District Judge, 164th Judicial District",0212,218,314,532,1266,42.02%,89,412,501
"District Judge, 164th Judicial District",0213,1603,939,2542,3308,76.84%,1822,531,2353
"District Judge, 164th Judicial District",0214,798,544,1342,1795,74.76%,769,443,1212
"District Judge, 164th Judicial District",0215,844,786,1630,2168,75.18%,909,585,1494
"District Judge, 164th Judicial District",0216,784,320,1104,1917,57.59%,67,989,1056
"District Judge, 164th Judicial District",0217,1396,651,2047,2637,77.63%,1206,667,1873
"District Judge, 164th Judicial District",0218,690,608,1298,2274,57.08%,340,846,1186
"District Judge, 164th Judicial District",0219,1117,587,1704,2654,64.20%,129,1482,1611
"District Judge, 164th Judicial District",0220,711,353,1064,2360,45.08%,703,300,1003
"District Judge, 164th Judicial District",0221,699,611,1310,2489,52.63%,505,697,1202
"District Judge, 164th Judicial District",0222,1000,792,1792,2384,75.17%,727,853,1580
"District Judge, 164th Judicial District",0223,1350,760,2110,3528,59.81%,576,1350,1926
"District Judge, 164th Judicial District",0224,894,649,1543,2259,68.30%,672,725,1397
"District Judge, 164th Judicial District",0225,1109,720,1829,3155,57.97%,748,993,1741
"District Judge, 164th Judicial District",0226,529,545,1074,2393,44.88%,198,777,975
"District Judge, 164th Judicial District",0227,947,451,1398,1767,79.12%,934,343,1277
"District Judge, 164th Judicial District",0228,583,165,748,1073,69.71%,26,699,725
"District Judge, 164th Judicial District",0229,152,207,359,811,44.27%,97,242,339
