Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Harvey Brown,DEM Chuck Silverman,Totals
"Justice, 1st Court of Appeals District, Place 6",0889,22,0,22,61,36.07%,13,8,21
"Justice, 1st Court of Appeals District, Place 6",0890,321,118,439,994,44.16%,170,242,412
"Justice, 1st Court of Appeals District, Place 6",0891,539,392,931,1413,65.89%,376,494,870
"Justice, 1st Court of Appeals District, Place 6",0892,194,130,324,696,46.55%,96,205,301
"Justice, 1st Court of Appeals District, Place 6",0893,1,0,1,5,20.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 6",0894,0,31,31,0,0.00%,10,18,28
"Justice, 1st Court of Appeals District, Place 6",0895,335,325,660,784,84.1,8%,324,279,603
"Justice, 1st Court of Appeals District, Place 6",0896,670,303,973,1437,67.71%,406,488,894
"Justice, 1st Court of Appeals District, Place 6",0897,742,375,1117,1624,68.78%,605,462,1067
"Justice, 1st Court of Appeals District, Place 6",0898,0,0,0,2,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0899,4,0,4,8,50.00%,1,3,4
"Justice, 1st Court of Appeals District, Place 6",0900,5,0,5,12,41.67%,1,3,4
"Justice, 1st Court of Appeals District, Place 6",0901,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0902,865,621,1486,2065,71.96%,870,503,1373
"Justice, 1st Court of Appeals District, Place 6",0903,10,1,11,41,26.83%,5,5,10
"Justice, 1st Court of Appeals District, Place 6",0904,0,1,1,1,100.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 6",0905,290,168,458,908,50.44%,172,248,420
"Justice, 1st Court of Appeals District, Place 6",0906,12,6,18,26,69.23%,10,8,18
"Justice, 1st Court of Appeals District, Place 6",0907,60,43,103,134,76.87%,20,80,100
"Justice, 1st Court of Appeals District, Place 6",0908,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0909,5,7,12,19,63.16%,4,6,10
"Justice, 1st Court of Appeals District, Place 6",0910,55,34,89,226,39.38%,33,50,83
"Justice, 1st Court of Appeals District, Place 6",0911,227,79,306,570,53.68%,195,93,288
"Justice, 1st Court of Appeals District, Place 6",0912,675,221,896,1235,72.55%,540,294,834
"Justice, 1st Court of Appeals District, Place 6",0913,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0914,169,67,236,221,106.79%,180,42,222
"Justice, 1st Court of Appeals District, Place 6",0915,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0916,604,182,786,1045,75.22%,637,113,750
"Justice, 1st Court of Appeals District, Place 6",0917,280,137,417,481,86.69%,297,88,385
"Justice, 1st Court of Appeals District, Place 6",0918,489,135,624,883,70.67%,490,95,585
"Justice, 1st Court of Appeals District, Place 6",0919,0,3,3,3,100.00%,1,2,3
"Justice, 1st Court of Appeals District, Place 6",0920,6,0,6,13,46.15%,6,0,6
"Justice, 1st Court of Appeals District, Place 6",0921,71,9,80,87,91.95%,61,19,80
"Justice, 1st Court of Appeals District, Place 6",0922,0,2,2,0,0.00%,1,1,2
"Justice, 1st Court of Appeals District, Place 6",0923,664,87,751,826,90.92%,573,154,727
"Justice, 1st Court of Appeals District, Place 6",0924,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0925,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0926,351,1,20,481,621,77.46%,362,97,459
"Justice, 1st Court of Appeals District, Place 6",0927,84,74,158,262,60.31%,79,72,151
"Justice, 1st Court of Appeals District, Place 6",0928,4,2,6,9,66.67%,0,6,6
"Justice, 1st Court of Appeals District, Place 6",0929,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0930,200,77,277,567,48.85%,6,262,268
"Justice, 1st Court of Appeals District, Place 6",0931,48,53,101,122,82.79%,52,36,88
"Justice, 1st Court of Appeals District, Place 6",0932,0,5,5,0,0.00%,1,4,5
"Justice, 1st Court of Appeals District, Place 6",0933,235,1,21,356,566,62.90%,93,246,339
"Justice, 1st Court of Appeals District, Place 6",0934,12,1,13,41,31.71%,6,7,13
"Justice, 1st Court of Appeals District, Place 6",0935,8,17,25,65,38.46%,12,12,24
"Justice, 1st Court of Appeals District, Place 6",0936,12,10,22,70,31.43%,7,13,20
"Justice, 1st Court of Appeals District, Place 6",0937,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0938,73,14,87,256,33.98%,28,55,83
"Justice, 1st Court of Appeals District, Place 6",0939,1,0,1,1,100.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 6",0940,1,0,1,13,7.69%,0,1,1
"Justice, 1st Court of Appeals District, Place 6",0941,13,9,22,25,88.00%,21,1,22
"Justice, 1st Court of Appeals District, Place 6",0942,68,24,92,159,57.86%,76,11,87
"Justice, 1st Court of Appeals District, Place 6",0943,297,63,360,536,67.16%,256,78,334
"Justice, 1st Court of Appeals District, Place 6",0944,30,6,36,39,92.31%,30,3,33
"Justice, 1st Court of Appeals District, Place 6",0945,4,7,11,16,68.75%,1,8,9
"Justice, 1st Court of Appeals District, Place 6",0946,3,3,6,14,42.86%,0,4,4
"Justice, 1st Court of Appeals District, Place 6",0947,320,292,612,822,74.45%,311,234,545
"Justice, 1st Court of Appeals District, Place 6",0948,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0949,59,37,96,201,47.76%,41,50,91
"Justice, 1st Court of Appeals District, Place 6",0950,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0951,79,44,123,218,56.42%,22,96,118
"Justice, 1st Court of Appeals District, Place 6",0952,24,16,40,70,57.14%,19,17,36
"Justice, 1st Court of Appeals District, Place 6",0953,59,52,111,420,26.43%,8,102,110
"Justice, 1st Court of Appeals District, Place 6",0954,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0955,5,20,25,18,138.89%,14,10,24
"Justice, 1st Court of Appeals District, Place 6",0956,5,2,7,12,58.33%,4,3,7
"Justice, 1st Court of Appeals District, Place 6",0957,261,115,376,551,68.24%,60,303,363
"Justice, 1st Court of Appeals District, Place 6",0958,289,266,555,989,56.12%,116,407,523
"Justice, 1st Court of Appeals District, Place 6",0959,0,4,4,0,0.00%,0,4,4
"Justice, 1st Court of Appeals District, Place 6",0960,363,143,506,586,86.35%,139,350,489
"Justice, 1st Court of Appeals District, Place 6",0961,23,11,34,53,64.15%,9,25,34
"Justice, 1st Court of Appeals District, Place 6",0962,24,13,37,73,50.68%,8,26,34
"Justice, 1st Court of Appeals District, Place 6",0963,130,69,199,353,56.37%,109,76,185
"Justice, 1st Court of Appeals District, Place 6",0964,947,447,1394,1571,88.73%,841,503,1344
"Justice, 1st Court of Appeals District, Place 6",0965,93,27,120,355,33.80%,77,36,113
"Justice, 1st Court of Appeals District, Place 6",0966,305,160,465,1073,43.34%,125,317,442
"Justice, 1st Court of Appeals District, Place 6",0967,48,15,63,98,64.29%,27,35,62
"Justice, 1st Court of Appeals District, Place 6",0968,243,83,326,517,63.06%,62,255,317
"Justice, 1st Court of Appeals District, Place 6",0969,335,82,417,584,71.40%,2,400,402
"Justice, 1st Court of Appeals District, Place 6",0970,212,76,288,704,40.91%,26,242,268
"Justice, 1st Court of Appeals District, Place 6",0971,27,21,48,129,37.21%,1,46,47
"Justice, 1st Court of Appeals District, Place 6",0972,10,7,17,29,58.62%,11,5,16
"Justice, 1st Court of Appeals District, Place 6",0973,49,24,73,107,68.22%,39,31,70
"Justice, 1st Court of Appeals District, Place 6",0974,101,71,172,299,57.53%,109,58,167
"Justice, 1st Court of Appeals District, Place 6",0975,72,41,113,170,66.47%,52,51,103
"Justice, 1st Court of Appeals District, Place 6",0976,159,131,290,684,42.40%,167,102,269
"Justice, 1st Court of Appeals District, Place 6",0977,104,83,187,535,34.95%,68,109,177
"Justice, 1st Court of Appeals District, Place 6",0978,201,102,303,506,59.88%,57,237,294
"Justice, 1st Court of Appeals District, Place 6",0979,56,11,26,42.31%,11,0,11
"Justice, 1st Court of Appeals District, Place 6",0980,595,356,951,1323,71.88%,687,207,894
"Justice, 1st Court of Appeals District, Place 6",0981,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0982,534,218,752,1021,73.65%,580,136,716
"Justice, 1st Court of Appeals District, Place 6",0983,41,28,69,165,41.82%,38,27,65
"Justice, 1st Court of Appeals District, Place 6",0984,43,49,92,198,46.46%,6,83,89
"Justice, 1st Court of Appeals District, Place 6",0985,172,67,239,336,71.13%,119,105,224
"Justice, 1st Court of Appeals District, Place 6",0986,129,86,215,404,53.22%,18,182,200
"Justice, 1st Court of Appeals District, Place 6",0987,465,191,656,1138,57.64%,50,584,634
"Justice, 1st Court of Appeals District, Place 6",0988,44,21,65,111,58.56%,52,9,61
"Justice, 1st Court of Appeals District, Place 6",0989,18,8,26,36,72.22%,12,13,25
"Justice, 1st Court of Appeals District, Place 6",0990,37,15,52,154,33.77%,15,29,44
"Justice, 1st Court of Appeals District, Place 6",0991,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",0992,310,202,512,1015,50.44%,282,210,492
"Justice, 1st Court of Appeals District, Place 6",0993,272,91,363,551,65.88%,280,57,337
"Justice, 1st Court of Appeals District, Place 6",0994,6,5,11,8,137.50%,2,8,10
"Justice, 1st Court of Appeals District, Place 6",0995,596,190,786,1269,61.94%,40,713,753
"Justice, 1st Court of Appeals District, Place 6",0996,297,125,422,699,60.37%,231,162,393
"Justice, 1st Court of Appeals District, Place 6",0997,429,328,757,1439,52.61%,126,608,734
"Justice, 1st Court of Appeals District, Place 6",0998,15,9,24,35,68.57%,16,7,23
"Justice, 1st Court of Appeals District, Place 6",0999,30,16,46,65,70.77%,36,7,43
"Justice, 1st Court of Appeals District, Place 6",1000,105,0,105,458,22.93%,16,82,98
"Justice, 1st Court of Appeals District, Place 6",1001,496,294,790,1566,50.45%,148,596,744
"Justice, 1st Court of Appeals District, Place 6",1002,464,314,778,1738,44.76%,84,663,747
"Justice, 1st Court of Appeals District, Place 6",1003,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",1,004,224,1,53,377,656,57.47%,195,1,39,334
"Justice, 1st Court of Appeals District, Place 6",1005,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",1006,3,0,3,5,60.00%,3,0,3
"Justice, 1st Court of Appeals District, Place 6",1007,555,295,850,1371,62.00%,206,617,823
"Justice, 1st Court of Appeals District, Place 6",1008,86,21,107,150,71.33%,80,22,102
"Justice, 1st Court of Appeals District, Place 6",1009,3,1,4,8,50.00%,3,1,4
"Justice, 1st Court of Appeals District, Place 6",1010,125,74,199,317,62.78%,30,159,189
"Justice, 1st Court of Appeals District, Place 6",1011,12,3,15,29,51.72%,6,6,12
"Justice, 1st Court of Appeals District, Place 6",1012,395,318,713,1235,57.73%,186,499,685
"Justice, 1st Court of Appeals District, Place 6",1013,8,14,22,60,36.67%,15,7,22
"Justice, 1st Court of Appeals District, Place 6",1014,9,7,16,36,44.44%,4,12,16
"Justice, 1st Court of Appeals District, Place 6",1015,11,7,18,29,62.07%,4,13,17
"Justice, 1st Court of Appeals District, Place 6",1016,591,364,955,1626,58.73%,428,484,912
"Justice, 1st Court of Appeals District, Place 6",1017,127,50,177,232,76.29%,47,123,170
"Justice, 1st Court of Appeals District, Place 6",1018,209,92,301,468,64.32%,137,154,291
"Justice, 1st Court of Appeals District, Place 6",1019,426,4,430,1518,28.33%,15,400,415
"Justice, 1st Court of Appeals District, Place 6",1020,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",1021,1,0,1,2,50.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 6",1022,190,30,220,428,51.84%,188,41,209
"Justice, 1st Court of Appeals District, Place 6",1023,894,401,1295,1984,85.94%,828,401,1229
"Justice, 1st Court of Appeals District, Place 6",1024,113,77,190,259,73.38%,101,73,174
"Justice, 1st Court of Appeals District, Place 6",1025,4,0,4,18,22.22%,1,3,4
"Justice, 1st Court of Appeals District, Place 6",1028,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",1027,0,1,1,1,100.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",1028,0,1,1,0,0.00%,1,0,1
"Justice, 1st Court of Appeals District, Place 6",1029,1021,841,1882,1802,92.23%,1279,294,1573
"Justice, 1st Court of Appeals District, Place 6",1030,397,105,502,855,78.84%,435,50,485
"Justice, 1st Court of Appeals District, Place 6",1031,3,3,8,8,100.00%,5,1,8
"Justice, 1st Court of Appeals District, Place 6",1032,59,80,139,241,57.88%,95,37,132
"Justice, 1st Court of Appeals District, Place 6",1033,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",1034,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",1035,24,13,37,139,28.82%,4,32,38
"Justice, 1st Court of Appeals District, Place 6",1038,144,48,190,433,43.88%,148,34,180
"Justice, 1st Court of Appeals District, Place 6",1037,27,18,43,73,58.90%,22,15,37
"Justice, 1st Court of Appeals District, Place 6",1038,133,43,178,288,88.17%,11,181,172
"Justice, 1st Court of Appeals District, Place 6",1039,3,5,8,20,40.00%,2,8,8
"Justice, 1st Court of Appeals District, Place 6",1040,194,148,340,807,58.01%,181,140,321
"Justice, 1st Court of Appeals District, Place 6",1041,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",1042,227,50,277,498,55.82%,81,191,272
"Justice, 1st Court of Appeals District, Place 6",1043,12,2,14,31,45.18%,3,11,14
"Justice, 1st Court of Appeals District, Place 6",1044,29,5,34,59,57.83%,8,25,33
"Justice, 1st Court of Appeals District, Place 6",1045,812,321,933,1439,84.84%,130,777,907
"Justice, 1st Court of Appeals District, Place 6",1048,19,18,37,54,88.52%,4,32,38
"Justice, 1st Court of Appeals District, Place 6",1047,553,288,851,1242,88.52%,253,580,813
"Justice, 1st Court of Appeals District, Place 6",1048,3,1,4,18,22.22%,2,2,4
"Justice, 1st Court of Appeals District, Place 6",1049,57,71,128,288,48.12%,38,85,123
"Justice, 1st Court of Appeals District, Place 6",1050,148,153,301,508,59.49%,85,224,289
"Justice, 1st Court of Appeals District, Place 6",1,051,0,1,2,1,2,0,0.00%,9,3,1,2
"Justice, 1st Court of Appeals District, Place 6",1052,0,2,2,0,0.00%,1,0,1
"Justice, 1st Court of Appeals District, Place 6",1053,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",1054,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",1055,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 6",1056,4,0,4,6,66.67%,0,4,4
"Justice, 1st Court of Appeals District, Place 6",1057,34,7,41,115,35.65%,1,36,37
"Justice, 1st Court of Appeals District, Place 6",1058,540,246,786,1190,66.05%,124,636,760
"Justice, 1st Court of Appeals District, Place 6",1059,7,3,10,23,43.48%,2,8,10
"Justice, 1st Court of Appeals District, Place 6",1060,13,4,17,49,34.69%,9,8,17
"Justice, 1st Court of Appeals District, Place 6",1061,665,300,965,1613,59.83%,511,415,926
"Justice, 1st Court of Appeals District, Place 6",1062,59,25,85,168,50.60%,19,62,81
"Justice, 1st Court of Appeals District, Place 6",1063,226,63,289,792,36.49%,30,250,280
"Justice, 1st Court of Appeals District, Place 6",1064,45,1,46,120,38.33%,34,10,44
"Justice, 1st Court of Appeals District, Place 6",Totals:,774863,427100,1201963,1942566,,572594,565699,1138293
