Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bruce Bain,DEM Mike Miller,Totals
"District Judge, 11th Judicial District",0298,847,475,1322,2083,63.47%,694,537,1231
"District Judge, 11th Judicial District",0299,328,213,541,1231,43.95%,163,341,504
"District Judge, 11th Judicial District",0300,3013,922,3935,5040,78.08%,2942,759,3701
"District Judge, 11th Judicial District",0301,450,655,1105,2397,46.10%,387,656,1043
"District Judge, 11th Judicial District",0302,713,635,1348,2724,49.49%,688,573,1261
"District Judge, 11th Judicial District",0303,1772,755,2527,3172,79.67%,1890,470,2360
"District Judge, 11th Judicial District",0304,970,648,1618,2266,71.40%,839,634,1473
"District Judge, 11th Judicial District",0305,1319,858,2177,3621,60.12%,789,1294,2083
"District Judge, 11th Judicial District",0306,1013,323,1336,1847,72.33%,920,327,1247
"District Judge, 11th Judicial District",0307,1242,876,2118,2931,72.26%,1408,585,1993
"District Judge, 11th Judicial District",0308,444,238,682,1266,53.87%,174,468,642
"District Judge, 11th Judicial District",0309,1385,612,1997,2529,78.96%,1512,364,1876
"District Judge, 11th Judicial District",0310,517,348,965,1437,67.15%,609,291,900
"District Judge, 11th Judicial District",0311,862,699,1561,2997,52.09%,640,756,1396
"District Judge, 11th Judicial District",0312,1600,718,2318,3669,63.18%,1208,964,2172
"District Judge, 11th Judicial District",0313,22,1,23,60,38.33%,12,8,20
"District Judge, 11th Judicial District",0314,2494,1221,3715,5225,71.10%,2204,1354,3558
"District Judge, 11th Judicial District",0315,711,479,1190,1618,73.55%,662,434,1096
"District Judge, 11th Judicial District",0316,682,411,1093,1522,71.81%,545,451,996
"District Judge, 11th Judicial District",0317,551,336,887,1469,60.38%,258,586,844
"District Judge, 11th Judicial District",0318,1708,611,2319,3531,65.68%,91,2138,2229
"District Judge, 11th Judicial District",0319,965,290,1255,2081,60.31%,66,1136,1202
"District Judge, 11th Judicial District",0320,464,300,764,1505,50.76%,316,399,715
"District Judge, 11th Judicial District",0321,442,305,748,2029,36.87%,241,466,707
"District Judge, 11th Judicial District",0322,397,237,634,1322,47.96%,155,453,608
"District Judge, 11th Judicial District",0323,482,332,814,1719,47.35%,316,431,747
"District Judge, 11th Judicial District",0324,967,718,1685,2339,72.04%,1032,516,1548
"District Judge, 11th Judicial District",0325,656,397,1053,2251,46.78%,220,781,1001
"District Judge, 11th Judicial District",0326,202,128,330,678,48.67%,128,171,299
"District Judge, 11th Judicial District",0327,725,244,970,1751,55.40%,15,921,936
"District Judge, 11th Judicial District",0328,344,270,614,1361,45.11%,219,365,584
"District Judge, 11th Judicial District",0329,405,307,712,1367,52.08%,200,459,659
"District Judge, 11th Judicial District",0330,590,376,966,1849,52.24%,429,470,899
"District Judge, 11th Judicial District",0331,0,1,1,0,0.00%,1,0,1
"District Judge, 11th Judicial District",0332,23,4,27,128,21.09%,10,15,25
"District Judge, 11th Judicial District",0333,1018,939,1957,2901,67.46%,1339,506,1845
"District Judge, 11th Judicial District",0334,255,114,369,755,48.87%,73,281,354
"District Judge, 11th Judicial District",0335,285,246,531,1227,43.28%,156,320,476
"District Judge, 11th Judicial District",0336,1818,588,2406,3161,76.12%,194,2130,2324
"District Judge, 11th Judicial District",0337,309,207,516,951,54.26%,82,420,502
