Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0212,218,314,532,1266,42.02%,98,409,507
District Attorney,0213,1603,939,2542,3308,76.84%,2064,333,2397
District Attorney,0214,798,544,1342,1795,74.76%,919,328,1247
District Attorney,0215,844,786,1630,2168,75.18%,1070,433,1503
District Attorney,0216,784,320,1104,1917,57.59%,80,981,1061
District Attorney,0217,1396,651,2047,2637,77.63%,1462,424,1886
District Attorney,0218,690,608,1298,2274,57.08%,429,766,1195
District Attorney,0219,1117,587,1704,2654,64.20%,145,1466,1611
District Attorney,0220,711,353,1064,2360,45.08%,739,272,1011
District Attorney,0221,699,611,1310,2489,52.63%,570,638,1208
District Attorney,0222,1000,792,1792,2384,75.17%,1043,573,1616
District Attorney,0223,1350,760,2110,3528,59.81%,651,1291,1942
District Attorney,0224,894,649,1543,2259,68.30%,821,585,1406
District Attorney,0225,1109,720,1829,3155,57.97%,783,960,1743
District Attorney,0226,529,545,1074,2393,44.88%,235,751,986
District Attorney,0227,947,451,1398,1767,79.12%,1107,196,1303
District Attorney,0228,583,165,748,1073,69.71%,54,667,721
District Attorney,0229,152,207,359,811,44.27%,105,232,337
District Attorney,0230,421,153,574,1096,52.37%,11,536,547
District Attorney,0231,562,471,1033,2219,46.55%,267,718,985
District Attorney,0232,685,546,1231,1696,72.58%,811,320,1131
District Attorney,0233,1826,1063,2889,4132,69.92%,1616,1053,2669
District Attorney,0234,2088,885,2973,3854,77.14%,2361,428,2789
District Attorney,0235,466,242,708,1305,54.25%,24,664,688
District Attorney,0236,779,342,1121,2144,52.29%,28,1047,1075
District Attorney,0237,793,441,1234,2181,56.58%,28,1186,1214
District Attorney,0238,640,422,1062,1901,55.87%,18,1007,1025
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0239,765,357,1122,1997,56.18%,28,1059,1087
District Attorney,0240,1157,402,1559,2688,58.00%,20,1478,1498
District Attorney,0241,494,479,973,2296,42.38%,387,539,926
District Attorney,0242,363,323,686,1570,43.69%,362,290,652
District Attorney,0243,254,50,304,452,67.26%,6,289,295
District Attorney,0244,1100,656,1756,2912,60.30%,928,751,1679
District Attorney,0245,2340,1115,3455,5240,65.94%,2303,1012,3315
District Attorney,0246,1584,624,2208,2999,73.62%,1494,623,2117
District Attorney,0247,421,403,824,1607,51.28%,15,786,801
District Attorney,0248,408,405,813,2122,38.31%,199,570,769
District Attorney,0249,1028,481,1509,2676,56.39%,1008,436,1444
District Attorney,0250,306,247,553,951,58.15%,12,533,545
District Attorney,0251,809,529,1338,2072,64.58%,56,1229,1285
District Attorney,0252,1111,356,1467,2350,62.43%,31,1397,1428
District Attorney,0253,923,325,1248,2252,55.42%,16,1211,1227
District Attorney,0254,220,282,502,1476,34.01%,125,343,468
District Attorney,0255,995,797,1792,2411,74.33%,954,714,1668
District Attorney,0256,1059,766,1825,3226,56.57%,758,927,1685
District Attorney,0257,553,571,1124,2403,46.77%,274,799,1073
District Attorney,0258,1577,888,2465,3286,75.02%,1873,418,2291
District Attorney,0259,1210,460,1670,2408,69.35%,54,1582,1636
District Attorney,0260,420,290,710,1187,59.81%,379,295,674
District Attorney,0261,176,133,309,749,41.26%,97,195,292
District Attorney,0262,1470,906,2376,4232,56.14%,1416,791,2207
District Attorney,0263,1785,719,2504,3319,75.44%,1874,538,2412
District Attorney,0264,936,639,1575,2939,53.59%,861,595,1456
District Attorney,0265,1936,674,2610,3617,72.16%,1986,447,2433
District Attorney,0266,552,542,1094,2119,51.63%,512,521,1033
District Attorney,0267,294,305,599,1346,44.50%,273,279,552
District Attorney,0268,931,810,1741,2387,72.94%,1160,421,1581
District Attorney,0269,1143,444,1587,1981,80.11%,1302,192,1494
District Attorney,0270,1401,870,2271,3517,64.57%,1348,781,2129
District Attorney,0271,1303,371,1674,2469,67.80%,23,1601,1624
District Attorney,0272,610,484,1094,2112,51.80%,424,614,1038
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0273,1139,634,1773,2426,73.08%,1471,211,1682
District Attorney,0274,1049,364,1413,2063,68.49%,991,347,1338
District Attorney,0275,567,410,977,1730,56.47%,176,754,930
District Attorney,0276,1139,404,1543,2532,60.94%,21,1484,1505
District Attorney,0277,342,305,647,1473,43.92%,293,331,624
District Attorney,0278,756,607,1363,2405,56.67%,734,555,1289
District Attorney,0279,548,383,931,1899,49.03%,565,324,889
District Attorney,0280,303,360,663,1515,43.76%,234,385,619
District Attorney,0281,1087,903,1990,2610,76.25%,1208,580,1788
District Attorney,0282,690,591,1281,1988,64.44%,791,430,1221
District Attorney,0283,0,0,0,0,0.00%,0,0,0
District Attorney,0284,1135,595,1730,3262,53.03%,684,961,1645
District Attorney,0285,988,509,1497,2505,59.76%,113,1328,1441
District Attorney,0286,2657,1053,3710,5719,64.87%,322,3221,3543
District Attorney,0287,647,542,1189,1616,73.58%,680,428,1108
District Attorney,0288,1036,380,1416,2259,62.68%,25,1342,1367
District Attorney,0289,374,397,771,1510,51.06%,318,405,723
District Attorney,0290,577,429,1006,1567,64.20%,777,199,976
District Attorney,0291,541,298,839,1203,69.74%,441,340,781
District Attorney,0292,477,236,713,1272,56.05%,96,593,689
District Attorney,0293,620,557,1177,1733,67.92%,581,506,1087
District Attorney,0294,989,298,1287,2107,61.08%,15,1228,1243
District Attorney,0295,314,189,503,862,58.35%,5,485,490
District Attorney,0296,602,432,1034,1693,61.08%,603,344,947
District Attorney,0297,576,445,1021,1978,51.62%,391,558,949
District Attorney,0298,847,475,1322,2083,63.47%,747,487,1234
District Attorney,0299,328,213,541,1231,43.95%,181,326,507
District Attorney,0300,3013,922,3935,5040,78.08%,3036,689,3725
District Attorney,0301,450,655,1105,2397,46.10%,422,628,1050
District Attorney,0302,713,635,1348,2724,49.49%,745,523,1268
District Attorney,0303,1772,755,2527,3172,79.67%,2072,309,2381
District Attorney,0304,970,648,1618,2266,71.40%,1022,455,1477
District Attorney,0305,1319,858,2177,3621,60.12%,805,1271,2076
District Attorney,0306,1013,323,1336,1847,72.33%,1049,225,1274
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0307,1242,876,2118,2931,72.26%,1505,499,2004
District Attorney,0308,444,238,682,1266,53.87%,197,453,650
District Attorney,0309,1385,612,1997,2529,78.96%,1654,242,1896
District Attorney,0310,517,348,965,1437,67.15%,677,238,915
District Attorney,0311,862,699,1561,2997,52.09%,719,682,1401
District Attorney,0312,1600,718,2318,3669,63.18%,1320,871,2191
District Attorney,0313,22,1,23,60,38.33%,13,8,21
District Attorney,0314,2494,1221,3715,5225,71.10%,2270,1285,3555
District Attorney,0315,711,479,1190,1618,73.55%,766,329,1095
District Attorney,0316,682,411,1093,1522,71.81%,688,315,1003
District Attorney,0317,551,336,887,1469,60.38%,279,568,847
District Attorney,0318,1708,611,2319,3531,65.68%,115,2113,2228
District Attorney,0319,965,290,1255,2081,60.31%,82,1119,1201
District Attorney,0320,464,300,764,1505,50.76%,336,378,714
District Attorney,0321,442,305,748,2029,36.87%,257,450,707
District Attorney,0322,397,237,634,1322,47.96%,174,442,616
District Attorney,0323,482,332,814,1719,47.35%,354,403,757
District Attorney,0324,967,718,1685,2339,72.04%,1173,405,1578
District Attorney,0325,656,397,1053,2251,46.78%,249,752,1001
District Attorney,0326,202,128,330,678,48.67%,133,163,296
District Attorney,0327,725,244,970,1751,55.40%,13,923,936
District Attorney,0328,344,270,614,1361,45.11%,234,351,585
District Attorney,0329,405,307,712,1367,52.08%,229,436,665
District Attorney,0330,590,376,966,1849,52.24%,458,441,899
District Attorney,0331,0,1,1,0,0.00%,1,0,1
District Attorney,0332,23,4,27,128,21.09%,11,14,25
District Attorney,0333,1018,939,1957,2901,67.46%,1430,444,1874
District Attorney,0334,255,114,369,755,48.87%,75,281,356
District Attorney,0335,285,246,531,1227,43.28%,166,309,475
District Attorney,0336,1818,588,2406,3161,76.12%,228,2097,2325
District Attorney,0337,309,207,516,951,54.26%,86,414,500
District Attorney,0338,1540,824,2364,4673,50.59%,662,1555,2217
District Attorney,0339,369,373,742,1716,43.24%,168,507,675
District Attorney,0340,1778,833,2611,3717,70.24%,1944,525,2469
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Anderson,DEM Lloyd Wayne Oliver,Totals
District Attorney,0341,246,316,562,1248,45.03%,149,383,532
District Attorney,0342,2029,1113,3142,5718,54.95%,461,2583,3044
District Attorney,0343,436,483,919,1904,48.27%,234,595,829
District Attorney,0344,395,245,640,1207,53.02%,23,588,611
District Attorney,0345,428,357,785,1708,45.96%,175,568,743
District Attorney,0346,1,2,3,1,300.00%,3,0,3
District Attorney,0347,1250,614,1864,3299,56.50%,1178,604,1782
District Attorney,0348,751,280,1031,1740,59.25%,752,237,989
District Attorney,0349,405,407,812,1315,61.75%,475,291,766
District Attorney,0350,1112,780,1892,2906,65.11%,881,860,1741
District Attorney,0351,2495,793,3288,4537,72.47%,2639,534,3173
District Attorney,0352,1151,583,1734,3193,54.31%,1214,451,1665
District Attorney,0353,1544,703,2247,3697,60.78%,394,1766,2160
District Attorney,0354,1476,517,1993,3193,62.42%,470,1434,1904
District Attorney,0355,700,286,986,1384,71.24%,93,861,954
District Attorney,0356,1382,618,2000,2836,70.52%,1193,684,1877
District Attorney,0357,1633,709,2342,3371,69.47%,1734,486,2220
District Attorney,0358,740,464,1204,2297,52.42%,98,1062,1160
District Attorney,0359,706,482,1188,3008,39.49%,97,1050,1147
