Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra lbarra Mayfield,DEM Erica M. Graham,Totals
"Judge, County Court at Law No. 1, Unexpired Term",0846,70,29,99,210,47.14%,6,90,96
"Judge, County Court at Law No. 1, Unexpired Term",0847,795,321,1116,1804,61.86%,295,769,1064
"Judge, County Court at Law No. 1, Unexpired Term",0848,782,431,1213,1873,64.76%,365,789,1154
"Judge, County Court at Law No. 1, Unexpired Term",0849,553,514,1067,2073,51.47%,346,656,1002
"Judge, County Court at Law No. 1, Unexpired Term",0850,87,38,125,205,60.98%,52,67,119
"Judge, County Court at Law No. 1, Unexpired Term",0851,2192,816,3008,4317,69.68%,1913,938,2851
"Judge, County Court at Law No. 1, Unexpired Term",0852,0,4,4,2,200.00%,0,4,4
"Judge, County Court at Law No. 1, Unexpired Term",0853,1412,605,2017,2773,72.74%,1510,386,1896
"Judge, County Court at Law No. 1, Unexpired Term",0854,41,30,71,175,40.57%,6,63,69
"Judge, County Court at Law No. 1, Unexpired Term",0855,4,13,17,18,94.44%,9,8,17
"Judge, County Court at Law No. 1, Unexpired Term",0856,0,4,4,0,0.00%,1,2,3
"Judge, County Court at Law No. 1, Unexpired Term",0857,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0858,132,18,150,372,40.32%,4,141,145
"Judge, County Court at Law No. 1, Unexpired Term",0859,309,201,510,860,59.30%,101,397,498
"Judge, County Court at Law No. 1, Unexpired Term",0860,0,1,1,0,0.00%,0,1,1
"Judge, County Court at Law No. 1, Unexpired Term",0861,705,319,1024,1786,57.33%,176,815,991
"Judge, County Court at Law No. 1, Unexpired Term",0862,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0863,210,69,279,620,45.00%,9,263,272
"Judge, County Court at Law No. 1, Unexpired Term",0864,497,609,1106,2464,44.89%,269,775,1044
"Judge, County Court at Law No. 1, Unexpired Term",0865,9,2,11,23,47.83%,0,11,11
"Judge, County Court at Law No. 1, Unexpired Term",0866,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0867,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0868,573,586,1159,2292,50.57%,335,767,1102
"Judge, County Court at Law No. 1, Unexpired Term",0869,153,76,229,473,48.41%,36,183,219
"Judge, County Court at Law No. 1, Unexpired Term",0870,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0871,3,0,3,4,75.00%,0,3,3
"Judge, County Court at Law No. 1, Unexpired Term",0872,13,5,18,66,27.27%,9,7,16
"Judge, County Court at Law No. 1, Unexpired Term",0873,253,125,378,701,53.92%,85,284,369
"Judge, County Court at Law No. 1, Unexpired Term",0874,1534,748,2282,3107,73.45%,1706,458,2164
"Judge, County Court at Law No. 1, Unexpired Term",0875,1719,927,2646,4031,65.64%,1232,1298,2530
"Judge, County Court at Law No. 1, Unexpired Term",0876,1629,639,2268,3013,75.27%,1618,546,2164
"Judge, County Court at Law No. 1, Unexpired Term",0877,1030,642,1672,2480,67.42%,685,933,1618
"Judge, County Court at Law No. 1, Unexpired Term",0878,853,350,1203,1641,73.31%,990,151,1141
"Judge, County Court at Law No. 1, Unexpired Term",0879,890,527,1417,2334,60.71%,637,719,1356
"Judge, County Court at Law No. 1, Unexpired Term",0880,1068,472,1540,2007,76.73%,1146,307,1453
"Judge, County Court at Law No. 1, Unexpired Term",0881,1510,877,2387,3619,65.96%,740,1562,2302
"Judge, County Court at Law No. 1, Unexpired Term",0882,940,457,1397,2328,60.01%,765,566,1331
"Judge, County Court at Law No. 1, Unexpired Term",0883,1918,1042,2960,4651,63.64%,516,2352,2868
"Judge, County Court at Law No. 1, Unexpired Term",0884,118,37,155,330,46.97%,20,131,151
"Judge, County Court at Law No. 1, Unexpired Term",0885,1222,541,1763,2466,71.49%,1032,644,1676
"Judge, County Court at Law No. 1, Unexpired Term",0886,301,154,455,713,63.81%,235,171,406
"Judge, County Court at Law No. 1, Unexpired Term",0887,138,83,221,313,70.61%,121,72,193
"Judge, County Court at Law No. 1, Unexpired Term",0888,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0889,22,0,22,61,36.07%,14,8,22
"Judge, County Court at Law No. 1, Unexpired Term",0890,319,118,437,994,43.96%,167,239,406
"Judge, County Court at Law No. 1, Unexpired Term",0891,539,392,931,1413,65.89%,375,488,863
"Judge, County Court at Law No. 1, Unexpired Term",0892,193,130,323,696,46.41%,96,200,296
"Judge, County Court at Law No. 1, Unexpired Term",0893,1,0,1,5,20.00%,0,1,1
"Judge, County Court at Law No. 1, Unexpired Term",0894,0,31,31,0,0.00%,6,22,28
"Judge, County Court at Law No. 1, Unexpired Term",0895,335,325,660,784,84.18%,321,265,586
"Judge, County Court at Law No. 1, Unexpired Term",0896,670,303,973,1437,67.71%,388,493,881
"Judge, County Court at Law No. 1, Unexpired Term",0897,742,375,1117,1624,68.78%,607,457,1064
"Judge, County Court at Law No. 1, Unexpired Term",0898,0,0,0,2,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0899,4,0,4,8,50.00%,1,3,4
"Judge, County Court at Law No. 1, Unexpired Term",0900,5,0,5,12,41.67%,1,3,4
"Judge, County Court at Law No. 1, Unexpired Term",0901,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0902,865,621,1486,2065,71.96%,853,510,1363
"Judge, County Court at Law No. 1, Unexpired Term",0903,10,1,11,41,26.83%,6,4,10
"Judge, County Court at Law No. 1, Unexpired Term",0904,0,1,1,1,100.00%,0,1,1
"Judge, County Court at Law No. 1, Unexpired Term",0905,290,168,458,908,50.44%,177,241,418
"Judge, County Court at Law No. 1, Unexpired Term",0906,12,6,18,26,69.23%,9,8,17
"Judge, County Court at Law No. 1, Unexpired Term",0907,60,43,103,134,76.87%,19,82,101
"Judge, County Court at Law No. 1, Unexpired Term",0908,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0909,5,7,12,19,63.16%,5,6,11
"Judge, County Court at Law No. 1, Unexpired Term",0910,55,34,89,226,39.38%,35,47,82
"Judge, County Court at Law No. 1, Unexpired Term",0911,227,79,306,570,53.68%,193,92,285
"Judge, County Court at Law No. 1, Unexpired Term",0912,675,221,896,1235,72.55%,545,281,826
"Judge, County Court at Law No. 1, Unexpired Term",0913,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0914,169,67,236,221,106.79%,185,38,223
"Judge, County Court at Law No. 1, Unexpired Term",0915,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0916,604,182,786,1045,75.22%,633,113,746
"Judge, County Court at Law No. 1, Unexpired Term",0917,280,137,417,481,86.69%,288,93,381
"Judge, County Court at Law No. 1, Unexpired Term",0918,489,135,624,883,70.67%,477,99,576
"Judge, County Court at Law No. 1, Unexpired Term",0919,0,3,3,3,100.00%,1,2,3
"Judge, County Court at Law No. 1, Unexpired Term",0920,6,0,6,13,46.15%,6,0,6
"Judge, County Court at Law No. 1, Unexpired Term",0921,71,9,80,87,91.95%,61,18,79
"Judge, County Court at Law No. 1, Unexpired Term",0922,0,2,2,0,0.00%,1,1,2
"Judge, County Court at Law No. 1, Unexpired Term",0923,663,87,750,826,90.80%,562,157,719
"Judge, County Court at Law No. 1, Unexpired Term",0924,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0925,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0926,351,1,20,481,621,77.46%,359,96,455
"Judge, County Court at Law No. 1, Unexpired Term",0927,84,74,158,262,60.31%,76,73,149
"Judge, County Court at Law No. 1, Unexpired Term",0928,4,2,6,9,66.67%,0,6,6
"Judge, County Court at Law No. 1, Unexpired Term",0929,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0930,200,77,277,567,48.85%,6,264,270
"Judge, County Court at Law No. 1, Unexpired Term",0931,48,53,101,122,82.79%,48,37,85
"Judge, County Court at Law No. 1, Unexpired Term",0932,0,5,5,0,0.00%,1,4,5
"Judge, County Court at Law No. 1, Unexpired Term",0933,233,1,21,354,566,62.54%,89,248,337
"Judge, County Court at Law No. 1, Unexpired Term",0934,12,1,13,41,31.71%,5,8,13
"Judge, County Court at Law No. 1, Unexpired Term",0935,8,17,25,65,38.46%,11,12,23
"Judge, County Court at Law No. 1, Unexpired Term",0936,12,10,22,70,31.43%,7,12,19
"Judge, County Court at Law No. 1, Unexpired Term",0937,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0938,73,14,87,256,33.98%,27,57,84
"Judge, County Court at Law No. 1, Unexpired Term",0939,1,0,1,1,100.00%,0,1,1
"Judge, County Court at Law No. 1, Unexpired Term",0940,1,0,1,13,7.69%,0,1,1
"Judge, County Court at Law No. 1, Unexpired Term",0941,13,9,22,25,88.00%,20,2,22
"Judge, County Court at Law No. 1, Unexpired Term",0942,68,24,92,159,57.86%,71,14,85
"Judge, County Court at Law No. 1, Unexpired Term",0943,296,63,359,536,66.98%,248,77,325
"Judge, County Court at Law No. 1, Unexpired Term",0944,30,6,36,39,92.31%,30,3,33
"Judge, County Court at Law No. 1, Unexpired Term",0945,4,7,11,16,68.75%,0,8,8
"Judge, County Court at Law No. 1, Unexpired Term",0946,3,3,6,14,42.86%,0,4,4
"Judge, County Court at Law No. 1, Unexpired Term",0947,320,292,612,822,74.45%,315,229,544
"Judge, County Court at Law No. 1, Unexpired Term",0948,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0949,59,37,96,201,47.76%,41,49,90
"Judge, County Court at Law No. 1, Unexpired Term",0950,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0951,79,44,123,218,56.42%,24,97,121
"Judge, County Court at Law No. 1, Unexpired Term",0952,24,16,40,70,57.14%,19,16,35
"Judge, County Court at Law No. 1, Unexpired Term",0953,59,52,111,420,26.43%,7,103,110
"Judge, County Court at Law No. 1, Unexpired Term",0954,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0955,5,20,25,18,138.89%,15,9,24
"Judge, County Court at Law No. 1, Unexpired Term",0956,5,2,7,12,58.33%,4,3,7
"Judge, County Court at Law No. 1, Unexpired Term",0957,261,115,376,551,68.24%,54,309,363
"Judge, County Court at Law No. 1, Unexpired Term",0958,289,266,555,989,56.12%,117,410,527
"Judge, County Court at Law No. 1, Unexpired Term",0959,0,4,4,0,0.00%,0,4,4
"Judge, County Court at Law No. 1, Unexpired Term",0960,362,143,505,586,86.18%,139,350,489
"Judge, County Court at Law No. 1, Unexpired Term",0961,23,11,34,53,64.15%,7,27,34
"Judge, County Court at Law No. 1, Unexpired Term",0962,24,13,37,73,50.68%,9,24,33
"Judge, County Court at Law No. 1, Unexpired Term",0963,129,69,198,353,56.09%,105,77,182
"Judge, County Court at Law No. 1, Unexpired Term",0964,945,447,1392,1571,88.61%,834,500,1334
"Judge, County Court at Law No. 1, Unexpired Term",0965,93,27,120,355,33.80%,76,36,112
"Judge, County Court at Law No. 1, Unexpired Term",0966,305,160,465,1073,43.34%,126,313,439
"Judge, County Court at Law No. 1, Unexpired Term",0967,48,15,63,98,64.29%,26,35,61
"Judge, County Court at Law No. 1, Unexpired Term",0968,243,83,326,517,63.06%,66,252,318
"Judge, County Court at Law No. 1, Unexpired Term",0969,335,82,417,584,71.40%,1,401,402
"Judge, County Court at Law No. 1, Unexpired Term",0970,212,76,288,704,40.91%,27,242,269
"Judge, County Court at Law No. 1, Unexpired Term",0971,27,21,48,129,37.21%,1,47,48
"Judge, County Court at Law No. 1, Unexpired Term",0972,10,7,17,29,58.62%,11,5,16
"Judge, County Court at Law No. 1, Unexpired Term",0973,49,24,73,107,68.22%,40,29,69
"Judge, County Court at Law No. 1, Unexpired Term",0974,100,71,171,299,57.19%,107,56,163
"Judge, County Court at Law No. 1, Unexpired Term",0975,72,41,113,170,66.47%,53,50,103
"Judge, County Court at Law No. 1, Unexpired Term",0976,159,131,290,684,42.40%,157,110,267
"Judge, County Court at Law No. 1, Unexpired Term",0977,104,83,187,535,34.95%,68,109,177
"Judge, County Court at Law No. 1, Unexpired Term",0978,201,102,303,506,59.88%,53,238,291
"Judge, County Court at Law No. 1, Unexpired Term",0979,56,11,26,42.31%,11,0,11
"Judge, County Court at Law No. 1, Unexpired Term",0980,595,356,951,1323,71.88%,675,215,890
"Judge, County Court at Law No. 1, Unexpired Term",0981,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0982,534,218,752,1021,73.65%,575,138,713
"Judge, County Court at Law No. 1, Unexpired Term",0983,41,28,69,165,41.82%,38,27,65
"Judge, County Court at Law No. 1, Unexpired Term",0984,43,49,92,198,46.46%,6,83,89
"Judge, County Court at Law No. 1, Unexpired Term",0985,172,67,239,336,71.13%,123,99,222
"Judge, County Court at Law No. 1, Unexpired Term",0986,129,86,215,404,53.22%,19,183,202
"Judge, County Court at Law No. 1, Unexpired Term",0987,465,191,656,1138,57.64%,49,587,636
"Judge, County Court at Law No. 1, Unexpired Term",0988,44,21,65,111,58.56%,52,10,62
"Judge, County Court at Law No. 1, Unexpired Term",0989,18,8,26,36,72.22%,11,14,25
"Judge, County Court at Law No. 1, Unexpired Term",0990,37,15,52,154,33.77%,15,31,46
"Judge, County Court at Law No. 1, Unexpired Term",0991,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",0992,309,202,511,1015,50.34%,280,209,489
"Judge, County Court at Law No. 1, Unexpired Term",0993,272,91,363,551,65.88%,283,58,341
"Judge, County Court at Law No. 1, Unexpired Term",0994,6,5,11,8,137.50%,2,8,10
"Judge, County Court at Law No. 1, Unexpired Term",0995,596,190,786,1269,61.94%,31,722,753
"Judge, County Court at Law No. 1, Unexpired Term",0996,297,125,422,699,60.37%,233,160,393
"Judge, County Court at Law No. 1, Unexpired Term",0997,429,328,757,1439,52.61%,119,617,736
"Judge, County Court at Law No. 1, Unexpired Term",0998,15,9,24,35,68.57%,16,7,23
"Judge, County Court at Law No. 1, Unexpired Term",0999,30,16,46,65,70.77%,36,7,43
"Judge, County Court at Law No. 1, Unexpired Term",1000,105,0,105,458,22.93%,15,83,98
"Judge, County Court at Law No. 1, Unexpired Term",1001,496,294,790,1566,50.45%,151,593,744
"Judge, County Court at Law No. 1, Unexpired Term",1002,464,314,778,1738,44.76%,88,657,745
"Judge, County Court at Law No. 1, Unexpired Term",1003,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",1004,224,153,377,656,57.47%,186,145,331
"Judge, County Court at Law No. 1, Unexpired Term",1005,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",1006,3,0,3,5,60.00%,3,0,3
"Judge, County Court at Law No. 1, Unexpired Term",1007,555,295,850,1371,62.00%,205,614,819
"Judge, County Court at Law No. 1, Unexpired Term",1008,86,21,107,150,71.33%,82,19,101
"Judge, County Court at Law No. 1, Unexpired Term",1009,3,1,4,8,50.00%,2,0,2
"Judge, County Court at Law No. 1, Unexpired Term",1010,124,74,198,317,62.46%,29,162,191
"Judge, County Court at Law No. 1, Unexpired Term",1011,12,3,15,29,51.72%,5,7,12
"Judge, County Court at Law No. 1, Unexpired Term",1012,395,318,713,1235,57.73%,193,492,685
"Judge, County Court at Law No. 1, Unexpired Term",1013,8,14,22,60,36.67%,15,7,22
"Judge, County Court at Law No. 1, Unexpired Term",1014,9,7,16,36,44.44%,3,13,16
"Judge, County Court at Law No. 1, Unexpired Term",1015,11,7,18,29,62.07%,4,13,17
"Judge, County Court at Law No. 1, Unexpired Term",1016,591,364,955,1626,58.73%,423,488,911
"Judge, County Court at Law No. 1, Unexpired Term",1017,127,50,177,232,76.29%,48,122,170
"Judge, County Court at Law No. 1, Unexpired Term",1018,209,92,301,468,64.32%,138,155,293
"Judge, County Court at Law No. 1, Unexpired Term",1019,426,4,430,1518,28.33%,16,396,412
"Judge, County Court at Law No. 1, Unexpired Term",1020,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",1021,1,0,1,2,50.00%,0,1,1
"Judge, County Court at Law No. 1, Unexpired Term",1022,190,30,220,426,51.64%,169,41,210
"Judge, County Court at Law No. 1, Unexpired Term",1023,894,401,1295,1964,65.94%,824,397,1221
"Judge, County Court at Law No. 1, Unexpired Term",1024,113,77,190,259,73.36%,98,72,170
"Judge, County Court at Law No. 1, Unexpired Term",1025,4,0,4,18,22.22%,1,3,4
"Judge, County Court at Law No. 1, Unexpired Term",1026,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",1027,0,1,1,1,100.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",1028,0,1,1,0,0.00%,1,0,1
"Judge, County Court at Law No. 1, Unexpired Term",1029,1021,641,1662,1802,92.23%,1274,292,1566
"Judge, County Court at Law No. 1, Unexpired Term",1030,397,105,502,655,76.64%,433,51,484
"Judge, County Court at Law No. 1, Unexpired Term",1031,3,3,6,6,100.00%,5,1,6
"Judge, County Court at Law No. 1, Unexpired Term",1032,59,80,139,241,57.68%,96,33,129
"Judge, County Court at Law No. 1, Unexpired Term",1033,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",1034,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",1035,24,13,37,139,26.62%,4,32,36
"Judge, County Court at Law No. 1, Unexpired Term",1036,144,46,190,433,43.88%,145,35,180
"Judge, County Court at Law No. 1, Unexpired Term",1037,27,16,43,73,58.90%,22,14,36
"Judge, County Court at Law No. 1, Unexpired Term",1038,133,43,176,266,66.17%,10,163,173
"Judge, County Court at Law No. 1, Unexpired Term",1039,3,5,8,20,40.00%,1,7,8
"Judge, County Court at Law No. 1, Unexpired Term",1040,192,146,338,607,55.68%,179,137,316
"Judge, County Court at Law No. 1, Unexpired Term",1041,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",1042,227,50,277,498,55.62%,82,190,272
"Judge, County Court at Law No. 1, Unexpired Term",1043,12,2,14,31,45.16%,3,11,14
"Judge, County Court at Law No. 1, Unexpired Term",1044,29,5,34,59,57.63%,7,26,33
"Judge, County Court at Law No. 1, Unexpired Term",1045,611,321,932,1439,64.77%,120,778,898
"Judge, County Court at Law No. 1, Unexpired Term",1046,19,18,37,54,68.52%,5,31,36
"Judge, County Court at Law No. 1, Unexpired Term",1047,553,288,851,1242,68.52%,257,559,816
"Judge, County Court at Law No. 1, Unexpired Term",1048,3,1,4,18,22.22%,2,2,4
"Judge, County Court at Law No. 1, Unexpired Term",1049,57,71,128,266,48.12%,40,82,122
"Judge, County Court at Law No. 1, Unexpired Term",1050,148,153,301,506,59.49%,61,225,286
"Judge, County Court at Law No. 1, Unexpired Term",1,051,0,1,2,1,2,0,0.00%,7,4,1,1
"Judge, County Court at Law No. 1, Unexpired Term",1052,0,2,2,0,0.00%,1,0,1
"Judge, County Court at Law No. 1, Unexpired Term",1053,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",1054,0,0,0,1,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",1055,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 1, Unexpired Term",1056,4,0,4,6,66.67%,0,4,4
"Judge, County Court at Law No. 1, Unexpired Term",1057,34,7,41,115,35.65%,2,36,38
"Judge, County Court at Law No. 1, Unexpired Term",1058,540,246,786,1190,66.05%,123,629,752
"Judge, County Court at Law No. 1, Unexpired Term",1059,7,3,10,23,43.48%,1,9,10
"Judge, County Court at Law No. 1, Unexpired Term",1060,13,4,17,49,34.69%,9,8,17
"Judge, County Court at Law No. 1, Unexpired Term",1061,665,300,965,1613,59.83%,511,411,922
"Judge, County Court at Law No. 1, Unexpired Term",1062,59,25,85,168,50.60%,20,61,81
"Judge, County Court at Law No. 1, Unexpired Term",1063,226,63,289,792,36.49%,30,249,279
"Judge, County Court at Law No. 1, Unexpired Term",1064,45,1,46,120,38.33%,33,11,44
"Judge, County Court at Law No. 1, Unexpired Term",Totals:,774640,427100,1201740,1942566,,567906,563939,1131845
