Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra lbarra Mayfield,DEM Erica M. Graham,Totals
"Judge, County Court at Law No. 1, Unexpired Term",0180,966,552,1518,2795,54.31%,37,1414,1451
"Judge, County Court at Law No. 1, Unexpired Term",0181,416,514,930,1968,47.26%,265,601,866
"Judge, County Court at Law No. 1, Unexpired Term",0182,1321,1081,2402,3289,73.03%,1424,713,2137
"Judge, County Court at Law No. 1, Unexpired Term",0183,970,943,1913,2451,78.05%,1269,462,1731
"Judge, County Court at Law No. 1, Unexpired Term",0184,214,256,470,969,48.50%,137,297,434
"Judge, County Court at Law No. 1, Unexpired Term",0185,592,494,1086,1910,56.86%,348,667,1015
"Judge, County Court at Law No. 1, Unexpired Term",0186,204,1,70,374,795,47.04%,44,306,350
"Judge, County Court at Law No. 1, Unexpired Term",0187,48,65,113,309,36.57%,29,80,109
"Judge, County Court at Law No. 1, Unexpired Term",0188,307,378,685,1616,42.39%,240,410,650
"Judge, County Court at Law No. 1, Unexpired Term",0189,492,473,965,1453,66.41%,504,369,873
"Judge, County Court at Law No. 1, Unexpired Term",0190,275,401,676,1720,39.30%,230,403,633
"Judge, County Court at Law No. 1, Unexpired Term",0191,196,313,509,1391,36.59%,174,311,485
"Judge, County Court at Law No. 1, Unexpired Term",0192,746,332,1078,2045,52.71%,32,1009,1041
"Judge, County Court at Law No. 1, Unexpired Term",0193,341,269,610,1050,58.10%,10,579,589
"Judge, County Court at Law No. 1, Unexpired Term",0194,704,504,1208,1735,69.63%,361,759,1120
"Judge, County Court at Law No. 1, Unexpired Term",0195,539,419,958,1721,55.67%,22,900,922
"Judge, County Court at Law No. 1, Unexpired Term",0196,121,55,176,323,54.49%,9,160,169
"Judge, County Court at Law No. 1, Unexpired Term",0197,1109,497,1606,2895,55.47%,31,1523,1554
"Judge, County Court at Law No. 1, Unexpired Term",0198,143,158,301,657,45.81%,7,283,290
"Judge, County Court at Law No. 1, Unexpired Term",0199,1407,773,2180,3159,69.01%,1625,438,2063
"Judge, County Court at Law No. 1, Unexpired Term",0200,1638,585,2223,3222,68.99%,1033,994,2027
"Judge, County Court at Law No. 1, Unexpired Term",0201,229,125,354,728,48.63%,12,332,344
"Judge, County Court at Law No. 1, Unexpired Term",0202,488,332,820,1479,55.44%,14,770,784
"Judge, County Court at Law No. 1, Unexpired Term",0203,266,156,422,900,46.89%,88,312,400
"Judge, County Court at Law No. 1, Unexpired Term",0204,1489,914,2403,3462,69.41%,1357,857,2214
"Judge, County Court at Law No. 1, Unexpired Term",0205,856,201,1057,1667,63.41%,20,1008,1028
"Judge, County Court at Law No. 1, Unexpired Term",0206,651,659,1310,2662,49.21%,403,816,1219
"Judge, County Court at Law No. 1, Unexpired Term",0207,409,310,719,1144,62.85%,261,396,657
"Judge, County Court at Law No. 1, Unexpired Term",0208,806,364,1170,2201,53.16%,292,799,1091
"Judge, County Court at Law No. 1, Unexpired Term",0209,0,4,4,0,0.00%,4,0,4
"Judge, County Court at Law No. 1, Unexpired Term",0210,1013,542,1555,2300,67.61%,170,1300,1470
"Judge, County Court at Law No. 1, Unexpired Term",0211,710,686,1396,2797,49.91%,482,812,1294
"Judge, County Court at Law No. 1, Unexpired Term",0212,218,314,532,1266,42.02%,91,415,506
"Judge, County Court at Law No. 1, Unexpired Term",0213,1603,939,2542,3308,76.84%,1950,396,2346
"Judge, County Court at Law No. 1, Unexpired Term",0214,798,544,1342,1795,74.76%,823,389,1212
"Judge, County Court at Law No. 1, Unexpired Term",0215,844,786,1630,2168,75.18%,1015,477,1492
"Judge, County Court at Law No. 1, Unexpired Term",0216,784,320,1104,1917,57.59%,77,981,1058
"Judge, County Court at Law No. 1, Unexpired Term",0217,1396,651,2047,2637,77.63%,1348,505,1853
"Judge, County Court at Law No. 1, Unexpired Term",0218,690,608,1298,2274,57.08%,390,797,1187
"Judge, County Court at Law No. 1, Unexpired Term",0219,1117,587,1704,2654,64.20%,128,1483,1611
"Judge, County Court at Law No. 1, Unexpired Term",0220,711,353,1064,2360,45.08%,706,289,995
"Judge, County Court at Law No. 1, Unexpired Term",0221,699,611,1310,2489,52.63%,526,672,1198
"Judge, County Court at Law No. 1, Unexpired Term",0222,1000,792,1792,2384,75.17%,870,711,1581
"Judge, County Court at Law No. 1, Unexpired Term",0223,1350,760,2110,3528,59.81%,591,1330,1921
"Judge, County Court at Law No. 1, Unexpired Term",0224,894,649,1543,2259,68.30%,729,669,1398
"Judge, County Court at Law No. 1, Unexpired Term",0225,1109,720,1829,3155,57.97%,757,978,1735
"Judge, County Court at Law No. 1, Unexpired Term",0226,529,545,1074,2393,44.88%,230,756,986
"Judge, County Court at Law No. 1, Unexpired Term",0227,947,451,1398,1767,79.12%,1061,215,1276
"Judge, County Court at Law No. 1, Unexpired Term",0228,583,165,748,1073,69.71%,29,690,719
"Judge, County Court at Law No. 1, Unexpired Term",0229,152,207,359,811,44.27%,100,239,339
"Judge, County Court at Law No. 1, Unexpired Term",0230,421,153,574,1096,52.37%,9,540,549
