Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Wittenmyer,DEM Mike Engelhart,Totals
"District Judge, 151st Judicial District",0325,656,397,1053,2251,46.78%,231,764,995
"District Judge, 151st Judicial District",0326,202,128,330,678,48.67%,133,167,300
"District Judge, 151st Judicial District",0327,725,244,970,1751,55.40%,16,920,936
"District Judge, 151st Judicial District",0328,344,270,614,1361,45.11%,216,368,584
"District Judge, 151st Judicial District",0329,405,307,712,1367,52.08%,206,451,657
"District Judge, 151st Judicial District",0330,590,376,966,1849,52.24%,423,473,896
"District Judge, 151st Judicial District",0331,0,1,1,0,0.00%,1,0,1
"District Judge, 151st Judicial District",0332,23,4,27,128,21.09%,9,16,25
"District Judge, 151st Judicial District",0333,1018,939,1957,2901,67.46%,1339,501,1840
"District Judge, 151st Judicial District",0334,255,114,369,755,48.87%,73,281,354
"District Judge, 151st Judicial District",0335,285,246,531,1227,43.28%,152,324,476
"District Judge, 151st Judicial District",0336,1818,588,2406,3161,76.12%,201,2125,2326
"District Judge, 151st Judicial District",0337,309,207,516,951,54.26%,85,415,500
"District Judge, 151st Judicial District",0338,1540,824,2364,4673,50.59%,631,1575,2206
"District Judge, 151st Judicial District",0339,369,373,742,1716,43.24%,148,524,672
"District Judge, 151st Judicial District",0340,1778,833,2611,3717,70.24%,1855,593,2448
"District Judge, 151st Judicial District",0341,246,316,562,1248,45.03%,136,399,535
"District Judge, 151st Judicial District",0342,2029,1113,3142,5718,54.95%,433,2603,3036
"District Judge, 151st Judicial District",0343,436,483,919,1904,48.27%,213,614,827
"District Judge, 151st Judicial District",0344,395,245,640,1207,53.02%,21,592,613
