Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mitt Romney l Paul Ryan,DEM Barack Obama I Joe Biden,LIB Gary Johnson I Jim Gray,GRN Jill Stein l Cheri Honkala,Stewart Alexanderl Alex Mendoza,Rocky Anderson I Luis J. Rodriguez,Avery Ayers l Alejandrina Cabrera,Andre N. Barnettl Kenneth R. Cross
President and Vice President,0154,593,360,953,2133,44.68%,229,686,4,5,0,0,0,0
President and Vice President,0155,1964,834,2798,4087,68.46%,1880,861,14,12,0,0,0,0
President and Vice President,0156,1432,457,1889,3134,60.27%,39,1815,5,3,0,0,0,0
President and Vice President,0157,881,382,1263,2311,54.65%,37,1203,2,2,0,0,0,0
President and Vice President,0158,1304,435,1739,3016,57.66%,20,1695,2,2,0,0,0,0
President and Vice President,0159,313,187,500,976,51.23%,58,433,3,0,0,0,0,0
President and Vice President,0160,246,140,386,688,56.10%,9,373,0,1,0,0,0,0
President and Vice President,0161,395,190,585,1030,56.80%,6,570,1,2,0,0,0,0
President and Vice President,0162,232,262,494,1249,39.55%,156,318,6,4,0,0,0,0
President and Vice President,0163,781,635,1416,3054,46.37%,513,860,8,5,0,0,0,0
President and Vice President,0164,505,304,809,1434,56.42%,10,780,0,0,0,0,0,0
President and Vice President,0165,922,557,1479,2284,64.75%,936,492,20,13,0,0,0,0
President and Vice President,0166,281,311,592,1016,58.27%,196,371,9,8,0,0,0,0
President and Vice President,0167,5,2,7,23,30.43%,0,7,0,0,0,0,0,0
President and Vice President,0168,189,126,315,519,60.69%,4,304,1,0,0,0,0,0
President and Vice President,0169,1060,433,1493,2531,58.99%,20,1450,1,0,0,0,0,0
President and Vice President,0170,481,353,834,1887,44.20%,432,374,5,5,0,0,0,0
President and Vice President,0171,514,294,808,1613,50.09%,26,766,1,0,0,0,0,0
President and Vice President,0172,162,147,309,600,51.50%,107,191,1,2,0,0,0,0
President and Vice President,0173,1801,619,2420,3105,77.94%,1877,512,15,5,0,0,0,0
President and Vice President,0174,1556,767,2323,3159,73.54%,1600,674,24,6,0,0,0,0
President and Vice President,0175,1075,867,1942,2506,77.49%,1007,893,20,10,0,1,0,0
President and Vice President,0176,629,530,1159,1581,73.31%,642,481,16,3,0,0,0,0
President and Vice President,0177,677,385,1062,1478,71.85%,628,398,23,1,0,0,0,0
President and Vice President,0178,918,368,1286,1718,74.85%,878,375,17,5,0,0,0,0
President and Vice President,0179,451,321,772,1508,51.19%,348,389,18,1,0,0,0,0
President and Vice President,0180,957,552,1519,2795,54.35%,34,1450,6,1,0,0,0,0
President and Vice President,0181,418,514,932,1968,47.36%,289,607,6,8,0,0,0,0
President and Vice President,0182,1334,1081,2415,3289,73.43%,1507,862,20,10,0,0,0,0
President and Vice President,0183,977,943,1920,2451,78.34%,1321,555,25,7,0,1,0,0
President and Vice President,0184,214,256,470,969,48.50%,144,309,3,3,0,0,0,0
President and Vice President,0185,593,494,1087,1910,56.91%,364,692,6,4,0,0,0,0
President and Vice President,0186,204,170,374,795,47.04%,41,321,2,1,0,0,0,0
President and Vice President,0187,48,65,113,309,36.57%,30,78,1,1,0,0,0,0
President and Vice President,0188,307,378,685,1616,42.39%,255,415,7,0,0,0,0,0
President and Vice President,0189,495,473,968,1453,66.62%,517,413,20,9,0,0,0,0
