Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Massengale,DEM Nile Copeland,Totals
"Justice, 1st Court of Appeals District, Place 8",0160,246,140,386,688,56.10%,10,361,371
"Justice, 1st Court of Appeals District, Place 8",0161,395,190,585,1030,56.80%,8,559,567
"Justice, 1st Court of Appeals District, Place 8",0162,232,262,494,1249,39.55%,141,303,444
"Justice, 1st Court of Appeals District, Place 8",0163,778,635,1413,3054,46.27%,390,856,1246
"Justice, 1st Court of Appeals District, Place 8",0164,505,304,809,1434,56.42%,10,778,788
"Justice, 1st Court of Appeals District, Place 8",0165,918,557,1475,2284,64.58%,933,453,1386
"Justice, 1st Court of Appeals District, Place 8",0166,281,311,592,1016,58.27%,200,349,549
"Justice, 1st Court of Appeals District, Place 8",0167,5,2,7,23,30.43%,0,7,7
"Justice, 1st Court of Appeals District, Place 8",0168,188,126,314,519,60.50%,6,294,300
"Justice, 1st Court of Appeals District, Place 8",0169,1060,433,1493,2531,58.99%,21,1438,1459
"Justice, 1st Court of Appeals District, Place 8",0170,481,353,834,1887,44.20%,402,370,772
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Massengale,DEM Nile Copeland,Totals
"Justice, 1st Court of Appeals District, Place 8",0171,514,294,808,1613,50.09%,29,748,777
"Justice, 1st Court of Appeals District, Place 8",0172,161,147,308,600,51.33%,101,179,280
"Justice, 1st Court of Appeals District, Place 8",0173,1798,619,2417,3105,77.84%,1845,457,2302
"Justice, 1st Court of Appeals District, Place 8",0174,1554,767,2321,3159,73.47%,1583,570,2153
"Justice, 1st Court of Appeals District, Place 8",0175,1065,867,1932,2506,77.09%,1031,730,1761
"Justice, 1st Court of Appeals District, Place 8",0176,627,530,1157,1581,73.18%,635,414,1049
"Justice, 1st Court of Appeals District, Place 8",0177,672,385,1057,1478,71.52%,651,340,991
"Justice, 1st Court of Appeals District, Place 8",0178,914,368,1282,1718,74.62%,863,314,1177
"Justice, 1st Court of Appeals District, Place 8",0179,449,321,770,1508,51.06%,353,366,719
