Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Massengale,DEM Nile Copeland,Totals
"Justice, 1st Court of Appeals District, Place 8",0558,1589,824,2413,4084,59.08%,756,1533,2289
"Justice, 1st Court of Appeals District, Place 8",0559,1787,899,2686,4633,57.98%,625,1913,2538
"Justice, 1st Court of Appeals District, Place 8",0560,172,289,461,1176,39.20%,91,333,424
"Justice, 1st Court of Appeals District, Place 8",0561,837,759,1596,3033,52.62%,871,645,1516
"Justice, 1st Court of Appeals District, Place 8",0562,201,146,347,645,53.80%,26,305,331
"Justice, 1st Court of Appeals District, Place 8",0563,1699,415,2114,2969,71.20%,1610,383,1993
"Justice, 1st Court of Appeals District, Place 8",0564,1150,713,1863,3096,60.17%,499,1227,1726
"Justice, 1st Court of Appeals District, Place 8",0565,315,194,509,1373,37.07%,91,383,474
"Justice, 1st Court of Appeals District, Place 8",0566,1123,478,1601,2950,54.27%,422,1114,1536
"Justice, 1st Court of Appeals District, Place 8",0567,672,394,1066,2198,48.50%,274,697,971
"Justice, 1st Court of Appeals District, Place 8",0568,1628,837,2465,3487,70.69%,1588,700,2288
"Justice, 1st Court of Appeals District, Place 8",0569,1294,865,2159,3249,66.45%,1148,850,1998
"Justice, 1st Court of Appeals District, Place 8",0570,527,409,936,1473,63.54%,414,435,849
"Justice, 1st Court of Appeals District, Place 8",0571,333,312,645,1758,36.69%,192,404,596
"Justice, 1st Court of Appeals District, Place 8",0572,1283,574,1857,2998,61.94%,859,897,1756
"Justice, 1st Court of Appeals District, Place 8",0573,578,368,946,1618,58.47%,10,917,927
"Justice, 1st Court of Appeals District, Place 8",0574,98,79,177,391,45.27%,18,145,163
"Justice, 1st Court of Appeals District, Place 8",0575,27,9,36,79,45.57%,32,3,35
"Justice, 1st Court of Appeals District, Place 8",0576,1051,552,1603,2671,60.01%,48,1502,1550
"Justice, 1st Court of Appeals District, Place 8",0577,231,113,344,573,60.03%,189,134,323
"Justice, 1st Court of Appeals District, Place 8",0578,745,553,1298,1689,76.85%,800,382,1182
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Massengale,DEM Nile Copeland,Totals
"Justice, 1st Court of Appeals District, Place 8",0579,488,351,839,1806,46.46%,188,601,789
"Justice, 1st Court of Appeals District, Place 8",0580,429,146,575,1027,55.99%,12,548,560
"Justice, 1st Court of Appeals District, Place 8",0581,510,162,672,1041,64.55%,19,629,648
"Justice, 1st Court of Appeals District, Place 8",0582,615,256,871,1613,54.00%,51,790,841
"Justice, 1st Court of Appeals District, Place 8",0583,544,127,671,1248,53.77%,14,645,659
"Justice, 1st Court of Appeals District, Place 8",0584,392,139,531,971,54.69%,32,494,526
"Justice, 1st Court of Appeals District, Place 8",0585,934,304,1238,2403,51.52%,34,1169,1203
"Justice, 1st Court of Appeals District, Place 8",0585,1306,1189,2495,4230,58.98%,1478,909,2387
"Justice, 1st Court of Appeals District, Place 8",0587,933,465,1398,2174,64.31%,491,859,1350
"Justice, 1st Court of Appeals District, Place 8",0588,1536,871,2407,3468,69.41%,1681,624,2305
"Justice, 1st Court of Appeals District, Place 8",0589,1033,738,1771,3130,56.58%,908,784,1692
"Justice, 1st Court of Appeals District, Place 8",0590,1158,463,1621,2136,75.89%,1235,304,1539
"Justice, 1st Court of Appeals District, Place 8",0591,420,449,869,2114,41.11%,227,586,813
"Justice, 1st Court of Appeals District, Place 8",0592,370,288,658,1258,52.31%,155,474,629
"Justice, 1st Court of Appeals District, Place 8",0593,1149,999,2148,4059,52.92%,949,1086,2035
"Justice, 1st Court of Appeals District, Place 8",0594,1031,535,1566,2361,66.33%,440,1070,1510
"Justice, 1st Court of Appeals District, Place 8",0595,497,380,877,1647,53.25%,136,711,847
"Justice, 1st Court of Appeals District, Place 8",0596,946,690,1636,2848,57.44%,830,738,1568
"Justice, 1st Court of Appeals District, Place 8",0597,1067,719,1786,3267,54.67%,600,1112,1712
"Justice, 1st Court of Appeals District, Place 8",0598,335,103,438,724,60.50%,327,82,409
"Justice, 1st Court of Appeals District, Place 8",0599,1895,866,2761,4135,66.77%,910,1746,2656
"Justice, 1st Court of Appeals District, Place 8",0600,1383,869,2252,3820,58.95%,766,1377,2143
"Justice, 1st Court of Appeals District, Place 8",0601,2028,858,2886,3990,72.33%,2145,626,2771
"Justice, 1st Court of Appeals District, Place 8",0602,562,296,858,1237,69.36%,592,234,826
"Justice, 1st Court of Appeals District, Place 8",0603,1438,1163,2601,3917,66.40%,1542,959,2501
"Justice, 1st Court of Appeals District, Place 8",0604,1444,528,1972,2910,67.77%,1606,280,1886
"Justice, 1st Court of Appeals District, Place 8",0605,2227,889,3116,5251,59.34%,738,2251,2989
"Justice, 1st Court of Appeals District, Place 8",0606,420,122,542,1053,51.47%,6,516,522
"Justice, 1st Court of Appeals District, Place 8",0607,194,118,312,731,42.68%,21,276,297
"Justice, 1st Court of Appeals District, Place 8",0608,245,290,535,1256,42.60%,205,293,498
"Justice, 1st Court of Appeals District, Place 8",0609,1364,844,2208,3261,67.71%,1359,715,2074
"Justice, 1st Court of Appeals District, Place 8",0610,403,398,801,1825,43.89%,345,409,754
"Justice, 1st Court of Appeals District, Place 8",0611,1121,301,1422,2450,58.04%,38,1349,1387
"Justice, 1st Court of Appeals District, Place 8",0612,1700,579,2279,3272,69.65%,1707,440,2147
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Massengale,DEM Nile Copeland,Totals
"Justice, 1st Court of Appeals District, Place 8",0613,495,309,804,1450,55.45%,125,649,774
"Justice, 1st Court of Appeals District, Place 8",0614,1631,812,2443,3932,62.13%,808,1528,2336
"Justice, 1st Court of Appeals District, Place 8",0615,931,404,1335,1926,69.31%,781,490,1271
"Justice, 1st Court of Appeals District, Place 8",0616,1352,970,2322,3378,68.74%,1571,632,2203
"Justice, 1st Court of Appeals District, Place 8",0617,1320,849,2169,3546,61.17%,763,1315,2078
"Justice, 1st Court of Appeals District, Place 8",0618,1922,1021,2943,5344,55.07%,1265,1552,2817
"Justice, 1st Court of Appeals District, Place 8",0619,2133,857,2990,4266,70.09%,2197,655,2852
"Justice, 1st Court of Appeals District, Place 8",0620,2384,856,3240,5271,61.47%,1541,1489,3030
"Justice, 1st Court of Appeals District, Place 8",0621,397,203,600,1173,51.15%,295,274,569
"Justice, 1st Court of Appeals District, Place 8",0622,1722,829,2551,4305,59.26%,1473,953,2426
"Justice, 1st Court of Appeals District, Place 8",0623,1708,626,2334,3481,67.05%,1458,739,2197
"Justice, 1st Court of Appeals District, Place 8",0624,9,0,9,16,56.25%,5,4,9
"Justice, 1st Court of Appeals District, Place 8",0625,862,454,1316,1796,73.27%,739,470,1209
"Justice, 1st Court of Appeals District, Place 8",0626,1148,655,1803,2838,63.53%,890,804,1694
"Justice, 1st Court of Appeals District, Place 8",0627,795,547,1442,2964,48.65%,409,941,1350
"Justice, 1st Court of Appeals District, Place 8",0628,292,456,748,1600,46.75%,310,397,707
"Justice, 1st Court of Appeals District, Place 8",0629,175,127,302,629,48.01%,25,272,297
"Justice, 1st Court of Appeals District, Place 8",0630,2019,535,2554,3190,80.06%,222,2245,2467
"Justice, 1st Court of Appeals District, Place 8",0631,1489,392,1881,2733,68.83%,1326,461,1787
"Justice, 1st Court of Appeals District, Place 8",0632,12,9,21,231,9.09%,6,12,18
"Justice, 1st Court of Appeals District, Place 8",0633,1782,678,2460,3257,75.53%,1764,583,2347
"Justice, 1st Court of Appeals District, Place 8",0634,1020,734,1754,2922,60.03%,1073,601,1674
"Justice, 1st Court of Appeals District, Place 8",0635,1327,706,2033,3280,61.98%,1533,413,1946
"Justice, 1st Court of Appeals District, Place 8",0636,1791,974,2765,3881,71.24%,2319,340,2659
"Justice, 1st Court of Appeals District, Place 8",0637,739,509,1248,2471,50.51%,290,861,1151
"Justice, 1st Court of Appeals District, Place 8",0638,740,684,1424,2078,68.53%,91,1268,1359
"Justice, 1st Court of Appeals District, Place 8",0639,829,711,1540,2501,61.58%,1204,280,1484
"Justice, 1st Court of Appeals District, Place 8",0640,1382,723,2105,3548,59.33%,1192,814,2006
"Justice, 1st Court of Appeals District, Place 8",0641,1265,878,2143,3375,63.50%,1295,749,2044
"Justice, 1st Court of Appeals District, Place 8",0642,873,447,1320,1779,74.20%,1078,181,1259
"Justice, 1st Court of Appeals District, Place 8",0643,2157,994,3151,5310,59.34%,1198,1798,2996
"Justice, 1st Court of Appeals District, Place 8",0644,2123,1204,3327,5261,63.24%,2063,1101,3164
"Justice, 1st Court of Appeals District, Place 8",0645,1639,895,2534,4035,62.80%,1166,1225,2391
"Justice, 1st Court of Appeals District, Place 8",0646,708,456,1164,2163,53.81%,340,765,1105
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Massengale,DEM Nile Copeland,Totals
"Justice, 1st Court of Appeals District, Place 8",0647,1771,1020,2791,5593,49.90%,683,1889,2572
"Justice, 1st Court of Appeals District, Place 8",0648,1590,668,2258,3197,70.63%,1568,587,2155
"Justice, 1st Court of Appeals District, Place 8",0649,1389,854,2243,4426,50.68%,608,1506,2114
"Justice, 1st Court of Appeals District, Place 8",0650,1328,939,2267,3151,71.95%,1660,498,2158
"Justice, 1st Court of Appeals District, Place 8",0651,2085,1070,3155,4931,63.98%,1951,1050,3001
"Justice, 1st Court of Appeals District, Place 8",0652,1050,653,1703,2633,64.68%,277,1363,1640
"Justice, 1st Court of Appeals District, Place 8",0653,0,8,8,0,0.00%,2,6,8
"Justice, 1st Court of Appeals District, Place 8",0654,2103,1344,3447,5765,59.79%,1734,1509,3243
"Justice, 1st Court of Appeals District, Place 8",0655,2613,1451,4064,6304,64.47%,2495,1348,3843
"Justice, 1st Court of Appeals District, Place 8",0656,1198,421,1619,2622,61.75%,47,1525,1572
"Justice, 1st Court of Appeals District, Place 8",0657,490,268,758,1200,63.17%,295,424,719
"Justice, 1st Court of Appeals District, Place 8",0658,985,708,1693,2824,59.95%,1038,590,1628
"Justice, 1st Court of Appeals District, Place 8",0659,2141,1091,3232,4588,70.44%,2260,832,3092
"Justice, 1st Court of Appeals District, Place 8",0660,2460,932,3392,5048,67.19%,322,2946,3268
"Justice, 1st Court of Appeals District, Place 8",0661,1614,1012,2626,4179,62.84%,1383,1104,2487
"Justice, 1st Court of Appeals District, Place 8",0662,2477,999,3476,4807,72.31%,2750,574,3324
"Justice, 1st Court of Appeals District, Place 8",0663,1302,913,2215,3232,68.53%,1219,832,2051
"Justice, 1st Court of Appeals District, Place 8",0664,681,607,1288,2801,45.98%,288,930,1218
"Justice, 1st Court of Appeals District, Place 8",0665,951,394,1345,2007,67.02%,1071,204,1275
"Justice, 1st Court of Appeals District, Place 8",0666,0,1,1,0,0.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 8",0667,989,547,1536,2181,70.43%,1166,284,1450
"Justice, 1st Court of Appeals District, Place 8",0668,927,655,1582,2458,64.36%,966,534,1500
"Justice, 1st Court of Appeals District, Place 8",0669,1606,823,2429,3243,74.90%,1694,605,2299
"Justice, 1st Court of Appeals District, Place 8",0670,1566,518,2084,2952,70.60%,1624,335,1959
"Justice, 1st Court of Appeals District, Place 8",0671,1090,773,1863,2942,63.32%,1064,685,1749
"Justice, 1st Court of Appeals District, Place 8",0672,2301,1078,3379,4710,71.74%,2208,1041,3249
"Justice, 1st Court of Appeals District, Place 8",0673,1376,643,2019,2988,67.57%,1545,360,1905
"Justice, 1st Court of Appeals District, Place 8",0674,2092,813,2905,4055,71.64%,2144,650,2794
"Justice, 1st Court of Appeals District, Place 8",0675,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0676,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0677,220,239,459,954,48.11%,126,307,433
"Justice, 1st Court of Appeals District, Place 8",0678,297,164,461,756,60.98%,304,118,422
"Justice, 1st Court of Appeals District, Place 8",0679,1468,661,2129,3331,63.91%,1569,434,2003
"Justice, 1st Court of Appeals District, Place 8",0680,57,22,79,181,43.65%,34,38,72
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Massengale,DEM Nile Copeland,Totals
"Justice, 1st Court of Appeals District, Place 8",0681,1,0,1,5,20.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 8",0682,1674,912,2586,4134,62.55%,1835,626,2461
"Justice, 1st Court of Appeals District, Place 8",0683,48,50,98,261,37.55%,22,70,92
"Justice, 1st Court of Appeals District, Place 8",0684,72,24,96,187,51.34%,57,32,89
"Justice, 1st Court of Appeals District, Place 8",0685,167,29,196,326,60.12%,90,93,183
"Justice, 1st Court of Appeals District, Place 8",0686,46,34,80,196,40.82%,16,58,74
"Justice, 1st Court of Appeals District, Place 8",0687,1084,641,1725,2497,69.08%,1142,467,1609
"Justice, 1st Court of Appeals District, Place 8",0688,1815,673,2488,3266,76.18%,1973,393,2366
"Justice, 1st Court of Appeals District, Place 8",0689,505,651,1156,2276,50.79%,524,538,1062
"Justice, 1st Court of Appeals District, Place 8",0690,1966,1116,3082,4184,73.66%,2380,565,2945
"Justice, 1st Court of Appeals District, Place 8",0691,10,2,12,34,35.29%,5,7,12
"Justice, 1st Court of Appeals District, Place 8",0692,1000,717,1717,2626,65.38%,1244,390,1634
"Justice, 1st Court of Appeals District, Place 8",0693,303,116,419,651,64.36%,106,277,383
"Justice, 1st Court of Appeals District, Place 8",0694,420,137,557,817,68.18%,372,156,528
"Justice, 1st Court of Appeals District, Place 8",0695,454,320,774,1646,47.02%,473,263,736
"Justice, 1st Court of Appeals District, Place 8",0696,600,373,973,2098,46.38%,582,351,933
"Justice, 1st Court of Appeals District, Place 8",0697,1516,941,2457,4307,57.05%,553,1810,2363
"Justice, 1st Court of Appeals District, Place 8",0698,1137,659,1796,2948,60.92%,173,1557,1730
"Justice, 1st Court of Appeals District, Place 8",0699,1031,566,1597,2288,69.80%,1034,429,1463
"Justice, 1st Court of Appeals District, Place 8",0700,531,287,818,1313,62.30%,645,131,776
"Justice, 1st Court of Appeals District, Place 8",0701,142,115,257,554,46.39%,126,117,243
"Justice, 1st Court of Appeals District, Place 8",0702,150,123,273,549,49.73%,28,231,259
"Justice, 1st Court of Appeals District, Place 8",0703,742,616,1358,1845,73.60%,977,282,1259
"Justice, 1st Court of Appeals District, Place 8",0704,1334,701,2035,2882,70.61%,1620,312,1932
"Justice, 1st Court of Appeals District, Place 8",0705,358,238,596,1520,39.21%,60,517,577
"Justice, 1st Court of Appeals District, Place 8",0706,222,135,357,529,67.49%,170,177,347
"Justice, 1st Court of Appeals District, Place 8",0707,284,136,420,707,59.41%,249,147,396
"Justice, 1st Court of Appeals District, Place 8",0708,109,95,204,568,35.92%,95,93,188
"Justice, 1st Court of Appeals District, Place 8",0709,2997,1297,4294,6239,68.83%,2531,1588,4119
"Justice, 1st Court of Appeals District, Place 8",0710,877,602,1479,2023,73.11%,862,503,1365
"Justice, 1st Court of Appeals District, Place 8",0711,1492,701,2193,3351,65.44%,1298,761,2059
"Justice, 1st Court of Appeals District, Place 8",0712,1200,858,2058,3348,61.47%,827,1164,1991
"Justice, 1st Court of Appeals District, Place 8",0713,665,436,1101,1827,60.26%,564,487,1051
"Justice, 1st Court of Appeals District, Place 8",0714,77,3,80,304,26.32%,54,21,75
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Massengale,DEM Nile Copeland,Totals
"Justice, 1st Court of Appeals District, Place 8",0715,405,326,731,1380,52.97%,361,332,693
"Justice, 1st Court of Appeals District, Place 8",0716,977,622,1599,2670,59.89%,1109,419,1528
"Justice, 1st Court of Appeals District, Place 8",0717,826,362,1188,1927,61.65%,151,988,1139
"Justice, 1st Court of Appeals District, Place 8",0718,1844,1019,2863,4050,70.69%,1911,741,2652
"Justice, 1st Court of Appeals District, Place 8",0719,508,260,768,1617,47.50%,416,301,717
"Justice, 1st Court of Appeals District, Place 8",0720,1575,1044,2619,3903,67.10%,1877,643,2520
"Justice, 1st Court of Appeals District, Place 8",0721,1334,637,1971,2842,69.35%,1322,520,1842
"Justice, 1st Court of Appeals District, Place 8",0722,1892,642,2534,4357,58.16%,154,2274,2428
"Justice, 1st Court of Appeals District, Place 8",0723,747,329,1076,1760,61.14%,223,803,1026
"Justice, 1st Court of Appeals District, Place 8",0724,325,170,495,716,69.13%,341,129,470
"Justice, 1st Court of Appeals District, Place 8",0725,953,329,1282,2124,60.36%,515,692,1207
"Justice, 1st Court of Appeals District, Place 8",0726,1141,304,1445,1987,72.72%,1242,137,1379
"Justice, 1st Court of Appeals District, Place 8",0727,931,466,1397,2488,56.15%,334,1004,1338
"Justice, 1st Court of Appeals District, Place 8",0728,343,208,551,881,62.54%,311,203,514
"Justice, 1st Court of Appeals District, Place 8",0729,208,93,301,446,67.49%,178,108,286
"Justice, 1st Court of Appeals District, Place 8",0730,802,437,1239,1630,76.01%,831,315,1146
"Justice, 1st Court of Appeals District, Place 8",0731,122,36,158,373,42.36%,33,113,146
"Justice, 1st Court of Appeals District, Place 8",0732,701,543,1244,1895,65.65%,736,419,1155
"Justice, 1st Court of Appeals District, Place 8",0733,25,62,87,172,50.58%,27,52,79
"Justice, 1st Court of Appeals District, Place 8",0734,3209,1114,4323,5952,72.63%,2880,1290,4170
"Justice, 1st Court of Appeals District, Place 8",0735,9,0,9,23,39.1,3%,9,0,9
"Justice, 1st Court of Appeals District, Place 8",0736,6,1,7,21,33.33%,1,5,6
"Justice, 1st Court of Appeals District, Place 8",0737,25,5,30,53,56.60%,24,6,30
"Justice, 1st Court of Appeals District, Place 8",0738,470,219,689,1294,53.25%,80,589,669
"Justice, 1st Court of Appeals District, Place 8",0739,1005,490,1495,2872,52.05%,657,778,1435
"Justice, 1st Court of Appeals District, Place 8",0740,233,205,438,935,46.84%,228,193,421
"Justice, 1st Court of Appeals District, Place 8",0741,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0742,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0743,27,4,31,199,15.58%,14,15,29
"Justice, 1st Court of Appeals District, Place 8",0744,848,509,1357,2024,67.05%,881,393,1274
"Justice, 1st Court of Appeals District, Place 8",0745,1066,542,1608,2396,67.11%,1023,489,1512
"Justice, 1st Court of Appeals District, Place 8",0746,230,151,381,707,53.89%,179,169,348
"Justice, 1st Court of Appeals District, Place 8",0747,1200,873,2073,3490,59.40%,958,1031,1989
"Justice, 1st Court of Appeals District, Place 8",0748,421,307,728,1319,55.19%,324,365,689
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Massengale,DEM Nile Copeland,Totals
"Justice, 1st Court of Appeals District, Place 8",0749,99,57,156,359,43.45%,29,114,143
"Justice, 1st Court of Appeals District, Place 8",0750,264,147,411,720,57.08%,230,157,387
"Justice, 1st Court of Appeals District, Place 8",0751,1665,1254,2919,4451,65.58%,1920,862,2782
"Justice, 1st Court of Appeals District, Place 8",0752,571,277,848,1511,56.12%,596,204,800
"Justice, 1st Court of Appeals District, Place 8",0753,106,61,167,260,64.23%,110,53,163
"Justice, 1st Court of Appeals District, Place 8",0754,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0755,1048,896,1944,3569,54.47%,722,1124,1846
"Justice, 1st Court of Appeals District, Place 8",0756,582,300,882,1539,57.31%,299,538,837
"Justice, 1st Court of Appeals District, Place 8",0757,1416,690,2106,3498,60.21%,329,1707,2036
"Justice, 1st Court of Appeals District, Place 8",0758,1996,783,2779,3781,73.50%,2192,423,2615
"Justice, 1st Court of Appeals District, Place 8",0759,1109,590,1699,2625,64.72%,1006,587,1593
"Justice, 1st Court of Appeals District, Place 8",0760,2346,647,2993,4154,72.05%,2485,358,2843
"Justice, 1st Court of Appeals District, Place 8",0761,917,219,1136,1464,77.60%,817,240,1057
"Justice, 1st Court of Appeals District, Place 8",0762,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0763,256,308,564,1184,47.64%,193,339,532
"Justice, 1st Court of Appeals District, Place 8",0764,2270,1050,3320,4931,67.33%,2073,1104,3177
"Justice, 1st Court of Appeals District, Place 8",0765,1390,815,2205,3967,55.58%,776,1332,2108
"Justice, 1st Court of Appeals District, Place 8",0766,71,92,163,383,42.56%,36,107,143
"Justice, 1st Court of Appeals District, Place 8",0767,20,15,35,90,38.89%,22,10,32
"Justice, 1st Court of Appeals District, Place 8",0768,2854,1159,4013,5364,74.81%,3146,707,3853
"Justice, 1st Court of Appeals District, Place 8",0769,117,5,122,161,75.78%,6,112,118
"Justice, 1st Court of Appeals District, Place 8",0770,58,48,106,262,40.46%,41,57,98
"Justice, 1st Court of Appeals District, Place 8",0771,702,537,1239,2378,52.10%,606,564,1170
"Justice, 1st Court of Appeals District, Place 8",0772,2929,1002,3931,5617,69.98%,2943,811,3754
"Justice, 1st Court of Appeals District, Place 8",0773,892,550,1442,2648,54.46%,346,1010,1356
"Justice, 1st Court of Appeals District, Place 8",0774,117,74,191,301,63.46%,40,144,184
"Justice, 1st Court of Appeals District, Place 8",0775,33,1,34,83,40.96%,0,33,33
"Justice, 1st Court of Appeals District, Place 8",0776,1113,741,1854,2855,64.94%,1065,709,1774
"Justice, 1st Court of Appeals District, Place 8",0777,83,123,206,642,32.09%,53,145,198
"Justice, 1st Court of Appeals District, Place 8",0778,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0779,295,221,516,1146,45.03%,163,316,479
"Justice, 1st Court of Appeals District, Place 8",0780,136,114,250,579,43.18%,103,130,233
"Justice, 1st Court of Appeals District, Place 8",0781,1152,655,1807,3716,48.63%,658,969,1627
"Justice, 1st Court of Appeals District, Place 8",0782,851,532,1383,2188,63.21%,819,477,1296
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Massengale,DEM Nile Copeland,Totals
"Justice, 1st Court of Appeals District, Place 8",0783,103,43,146,265,55.09%,77,58,135
"Justice, 1st Court of Appeals District, Place 8",0784,428,156,584,1071,54.53%,6,558,564
"Justice, 1st Court of Appeals District, Place 8",0785,66,55,121,310,39.03%,62,56,118
"Justice, 1st Court of Appeals District, Place 8",0786,193,277,470,1297,36.24%,141,303,444
"Justice, 1st Court of Appeals District, Place 8",0787,154,76,230,487,47.23%,75,139,214
"Justice, 1st Court of Appeals District, Place 8",0788,156,58,214,481,44.49%,68,134,202
"Justice, 1st Court of Appeals District, Place 8",0789,3,1,4,4,100.00%,1,2,3
"Justice, 1st Court of Appeals District, Place 8",0790,1,0,1,4,25.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 8",0791,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0792,549,409,958,1834,52.24%,224,679,903
"Justice, 1st Court of Appeals District, Place 8",0793,889,338,1227,2437,50.35%,695,473,1168
"Justice, 1st Court of Appeals District, Place 8",0794,575,484,1059,2602,40.70%,74,949,1023
"Justice, 1st Court of Appeals District, Place 8",0795,265,255,520,1207,43.08%,154,321,475
"Justice, 1st Court of Appeals District, Place 8",0796,145,92,237,485,48.87%,117,106,223
"Justice, 1st Court of Appeals District, Place 8",0797,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0798,176,263,439,496,88.51%,132,263,395
"Justice, 1st Court of Appeals District, Place 8",0799,65,12,77,146,52.74%,16,57,73
"Justice, 1st Court of Appeals District, Place 8",0800,1188,795,1983,2817,70.39%,1320,556,1876
"Justice, 1st Court of Appeals District, Place 8",0801,68,55,123,253,48.62%,38,77,115
"Justice, 1st Court of Appeals District, Place 8",0802,98,58,156,299,52.17%,34,112,146
"Justice, 1st Court of Appeals District, Place 8",0803,1305,530,1935,2718,71.19%,1411,431,1842
"Justice, 1st Court of Appeals District, Place 8",0804,1807,960,2767,4348,63.64%,1637,988,2625
"Justice, 1st Court of Appeals District, Place 8",0805,1509,529,2038,2812,72.48%,1602,329,1931
"Justice, 1st Court of Appeals District, Place 8",0806,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0807,652,402,1054,2001,52.67%,163,848,1011
"Justice, 1st Court of Appeals District, Place 8",0808,41,26,67,84,79.76%,30,28,58
"Justice, 1st Court of Appeals District, Place 8",0809,21,e,27,86,31.40%,8,16,24
"Justice, 1st Court of Appeals District, Place 8",0810,30,48,78,215,36.28%,19,49,68
"Justice, 1st Court of Appeals District, Place 8",0811,39,106,145,271,53.51%,30,104,134
"Justice, 1st Court of Appeals District, Place 8",0812,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0813,1967,1258,3225,5423,59.47%,1527,1580,3107
"Justice, 1st Court of Appeals District, Place 8",0814,1773,955,2728,4503,60.58%,609,2007,2616
"Justice, 1st Court of Appeals District, Place 8",0815,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0816,20,13,33,76,43.42%,6,26,32
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Massengale,DEM Nile Copeland,Totals
"Justice, 1st Court of Appeals District, Place 8",0817,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0818,134,101,235,527,44.59%,47,181,228
"Justice, 1st Court of Appeals District, Place 8",0819,97,45,142,238,59.66%,85,38,123
"Justice, 1st Court of Appeals District, Place 8",0820,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0821,354,203,557,1206,46.19%,46,485,531
"Justice, 1st Court of Appeals District, Place 8",0822,584,282,866,1544,56.09%,25,816,841
"Justice, 1st Court of Appeals District, Place 8",0823,1850,1015,2865,4710,60.83%,1477,1252,2729
"Justice, 1st Court of Appeals District, Place 8",0824,984,471,1455,2729,53.32%,318,1076,1394
"Justice, 1st Court of Appeals District, Place 8",0825,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0826,153,89,242,342,70.76%,138,89,227
"Justice, 1st Court of Appeals District, Place 8",0827,169,186,355,997,35.61%,138,199,337
"Justice, 1st Court of Appeals District, Place 8",0828,1074,343,1417,1875,75.57%,1137,199,1336
"Justice, 1st Court of Appeals District, Place 8",0829,107,56,163,266,61.28%,33,125,158
"Justice, 1st Court of Appeals District, Place 8",0830,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0831,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0832,109,46,155,351,44.16%,45,100,145
"Justice, 1st Court of Appeals District, Place 8",0833,8,1,9,20,45.00%,0,9,9
"Justice, 1st Court of Appeals District, Place 8",0834,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0835,87,53,140,292,47.95%,38,93,131
"Justice, 1st Court of Appeals District, Place 8",0836,8,3,11,19,57.89%,1,8,9
"Justice, 1st Court of Appeals District, Place 8",0837,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0838,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 8",0839,353,240,593,1122,52.85%,111,445,556
"Justice, 1st Court of Appeals District, Place 8",0840,712,251,963,1621,59.41%,310,615,925
"Justice, 1st Court of Appeals District, Place 8",0841,0,2,2,0,0.00%,0,2,2
"Justice, 1st Court of Appeals District, Place 8",0842,988,715,1703,3091,55.10%,735,888,1623
