Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0555,598,447,1045,2119,49.32%,166,832,998
"Justice, 1st Court of Appeals District, Place 9",0556,584,421,1005,2249,44.69%,206,752,958
"Justice, 1st Court of Appeals District, Place 9",0557,822,556,1378,2726,50.55%,425,846,1271
"Justice, 1st Court of Appeals District, Place 9",0558,1589,824,2413,4084,59.08%,744,1553,2297
"Justice, 1st Court of Appeals District, Place 9",0559,1787,899,2686,4633,57.98%,627,1925,2552
"Justice, 1st Court of Appeals District, Place 9",0560,172,289,461,1176,39.20%,87,336,423
"Justice, 1st Court of Appeals District, Place 9",0561,837,759,1596,3033,52.62%,864,651,1515
"Justice, 1st Court of Appeals District, Place 9",0562,201,146,347,645,53.80%,27,304,331
"Justice, 1st Court of Appeals District, Place 9",0563,1699,415,2114,2969,71.20%,1604,393,1997
"Justice, 1st Court of Appeals District, Place 9",0564,1150,713,1863,3096,60.17%,470,1262,1732
"Justice, 1st Court of Appeals District, Place 9",0565,315,194,509,1373,37.07%,88,388,476
"Justice, 1st Court of Appeals District, Place 9",0566,1123,478,1601,2950,54.27%,418,1126,1544
"Justice, 1st Court of Appeals District, Place 9",0567,672,394,1066,2198,48.50%,268,737,1005
"Justice, 1st Court of Appeals District, Place 9",0568,1628,837,2465,3487,70.69%,1547,744,2291
"Justice, 1st Court of Appeals District, Place 9",0569,1294,865,2159,3249,66.45%,1139,863,2002
"Justice, 1st Court of Appeals District, Place 9",0570,527,409,936,1473,63.54%,408,445,853
"Justice, 1st Court of Appeals District, Place 9",0571,333,312,645,1758,36.69%,200,395,595
"Justice, 1st Court of Appeals District, Place 9",0572,1283,574,1857,2998,61.94%,851,916,1767
"Justice, 1st Court of Appeals District, Place 9",0573,578,368,946,1618,58.47%,10,914,924
"Justice, 1st Court of Appeals District, Place 9",0574,98,79,177,391,45.27%,16,148,164
"Justice, 1st Court of Appeals District, Place 9",0575,27,9,36,79,45.57%,32,3,35
"Justice, 1st Court of Appeals District, Place 9",0576,1051,552,1603,2671,60.01%,48,1502,1550
"Justice, 1st Court of Appeals District, Place 9",0577,231,113,344,573,60.03%,181,143,324
"Justice, 1st Court of Appeals District, Place 9",0578,745,553,1298,1689,76.85%,779,404,1183
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0579,488,351,839,1806,46.46%,192,595,787
"Justice, 1st Court of Appeals District, Place 9",0580,429,146,575,1027,55.99%,13,547,560
"Justice, 1st Court of Appeals District, Place 9",0581,510,162,672,1041,64.55%,19,630,649
"Justice, 1st Court of Appeals District, Place 9",0582,615,256,871,1613,54.00%,50,791,841
"Justice, 1st Court of Appeals District, Place 9",0583,544,127,671,1248,53.77%,13,644,657
"Justice, 1st Court of Appeals District, Place 9",0584,392,139,531,971,54.69%,32,493,525
"Justice, 1st Court of Appeals District, Place 9",0585,934,304,1238,2403,51.52%,33,1170,1203
"Justice, 1st Court of Appeals District, Place 9",0585,1306,1189,2495,4230,58.98%,1481,918,2399
"Justice, 1st Court of Appeals District, Place 9",0587,933,465,1398,2174,64.31%,484,861,1345
"Justice, 1st Court of Appeals District, Place 9",0588,1536,871,2407,3468,69.41%,1680,625,2305
"Justice, 1st Court of Appeals District, Place 9",0589,1033,738,1771,3130,56.58%,915,784,1699
"Justice, 1st Court of Appeals District, Place 9",0590,1158,463,1621,2136,75.89%,1231,310,1541
"Justice, 1st Court of Appeals District, Place 9",0591,420,449,869,2114,41.11%,225,593,818
"Justice, 1st Court of Appeals District, Place 9",0592,370,288,658,1258,52.31%,153,476,629
"Justice, 1st Court of Appeals District, Place 9",0593,1149,999,2148,4059,52.92%,943,1096,2039
"Justice, 1st Court of Appeals District, Place 9",0594,1031,535,1566,2361,66.33%,438,1073,1511
"Justice, 1st Court of Appeals District, Place 9",0595,497,380,877,1647,53.25%,138,710,848
"Justice, 1st Court of Appeals District, Place 9",0596,946,690,1636,2848,57.44%,838,731,1569
"Justice, 1st Court of Appeals District, Place 9",0597,1067,719,1786,3267,54.67%,595,1123,1718
"Justice, 1st Court of Appeals District, Place 9",0598,335,103,438,724,60.50%,327,82,409
"Justice, 1st Court of Appeals District, Place 9",0599,1895,866,2761,4135,66.77%,917,1737,2654
"Justice, 1st Court of Appeals District, Place 9",0600,1383,869,2252,3820,58.95%,765,1386,2151
"Justice, 1st Court of Appeals District, Place 9",0601,2028,858,2886,3990,72.33%,2128,649,2777
"Justice, 1st Court of Appeals District, Place 9",0602,562,296,858,1237,69.36%,586,242,828
"Justice, 1st Court of Appeals District, Place 9",0603,1438,1163,2601,3917,66.40%,1548,960,2508
"Justice, 1st Court of Appeals District, Place 9",0604,1444,528,1972,2910,67.77%,1599,291,1890
"Justice, 1st Court of Appeals District, Place 9",0605,2227,889,3116,5251,59.34%,717,2270,2987
"Justice, 1st Court of Appeals District, Place 9",0606,420,122,542,1053,51.47%,5,521,526
"Justice, 1st Court of Appeals District, Place 9",0607,194,118,312,731,42.68%,20,277,297
"Justice, 1st Court of Appeals District, Place 9",0608,245,290,535,1256,42.60%,200,297,497
"Justice, 1st Court of Appeals District, Place 9",0609,1364,844,2208,3261,67.71%,1350,728,2078
"Justice, 1st Court of Appeals District, Place 9",0610,403,398,801,1825,43.89%,338,415,753
"Justice, 1st Court of Appeals District, Place 9",0611,1121,301,1422,2450,58.04%,39,1350,1389
"Justice, 1st Court of Appeals District, Place 9",0612,1700,579,2279,3272,69.65%,1692,454,2146
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0613,495,309,804,1450,55.45%,120,655,775
"Justice, 1st Court of Appeals District, Place 9",0614,1631,812,2443,3932,62.13%,778,1563,2341
"Justice, 1st Court of Appeals District, Place 9",0615,931,404,1335,1926,69.31%,774,502,1276
"Justice, 1st Court of Appeals District, Place 9",0616,1352,970,2322,3378,68.74%,1572,634,2206
"Justice, 1st Court of Appeals District, Place 9",0617,1320,849,2169,3546,61.17%,755,1323,2078
"Justice, 1st Court of Appeals District, Place 9",0618,1922,1021,2943,5344,55.07%,1261,1567,2828
"Justice, 1st Court of Appeals District, Place 9",0619,2133,857,2990,4266,70.09%,2169,684,2853
"Justice, 1st Court of Appeals District, Place 9",0620,2384,856,3240,5271,61.47%,1515,1529,3044
"Justice, 1st Court of Appeals District, Place 9",0621,397,203,600,1173,51.15%,293,276,569
"Justice, 1st Court of Appeals District, Place 9",0622,1722,829,2551,4305,59.26%,1438,993,2431
"Justice, 1st Court of Appeals District, Place 9",0623,1708,626,2334,3481,67.05%,1459,739,2198
"Justice, 1st Court of Appeals District, Place 9",0624,9,0,9,16,56.25%,4,5,9
"Justice, 1st Court of Appeals District, Place 9",0625,862,454,1316,1796,73.27%,728,487,1215
"Justice, 1st Court of Appeals District, Place 9",0626,1148,655,1803,2838,63.53%,866,831,1697
"Justice, 1st Court of Appeals District, Place 9",0627,795,547,1442,2964,48.65%,401,962,1363
"Justice, 1st Court of Appeals District, Place 9",0628,292,456,748,1600,46.75%,304,402,706
"Justice, 1st Court of Appeals District, Place 9",0629,175,127,302,629,48.01%,23,274,297
"Justice, 1st Court of Appeals District, Place 9",0630,2019,535,2554,3190,80.06%,221,2244,2465
"Justice, 1st Court of Appeals District, Place 9",0631,1489,392,1881,2733,68.83%,1329,464,1793
"Justice, 1st Court of Appeals District, Place 9",0632,12,9,21,231,9.09%,6,12,18
"Justice, 1st Court of Appeals District, Place 9",0633,1782,678,2460,3257,75.53%,1766,583,2349
"Justice, 1st Court of Appeals District, Place 9",0634,1020,734,1754,2922,60.03%,1065,612,1677
"Justice, 1st Court of Appeals District, Place 9",0635,1327,706,2033,3280,61.98%,1534,416,1950
"Justice, 1st Court of Appeals District, Place 9",0636,1791,974,2765,3881,71.24%,2328,331,2659
"Justice, 1st Court of Appeals District, Place 9",0637,739,509,1248,2471,50.51%,292,859,1151
"Justice, 1st Court of Appeals District, Place 9",0638,740,684,1424,2078,68.53%,88,1273,1361
"Justice, 1st Court of Appeals District, Place 9",0639,829,711,1540,2501,61.58%,1193,292,1485
"Justice, 1st Court of Appeals District, Place 9",0640,1382,723,2105,3548,59.33%,1190,823,2013
"Justice, 1st Court of Appeals District, Place 9",0641,1265,878,2143,3375,63.50%,1293,750,2043
"Justice, 1st Court of Appeals District, Place 9",0642,873,447,1320,1779,74.20%,1063,194,1257
"Justice, 1st Court of Appeals District, Place 9",0643,2157,994,3151,5310,59.34%,1187,1815,3002
"Justice, 1st Court of Appeals District, Place 9",0644,2123,1204,3327,5261,63.24%,2054,1113,3167
"Justice, 1st Court of Appeals District, Place 9",0645,1639,895,2534,4035,62.80%,1150,1248,2398
"Justice, 1st Court of Appeals District, Place 9",0646,708,456,1164,2163,53.81%,323,784,1107
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0647,1771,1020,2791,5593,49.90%,646,1955,2601
"Justice, 1st Court of Appeals District, Place 9",0648,1590,668,2258,3197,70.63%,1564,592,2156
"Justice, 1st Court of Appeals District, Place 9",0649,1389,854,2243,4426,50.68%,597,1524,2121
"Justice, 1st Court of Appeals District, Place 9",0650,1328,939,2267,3151,71.95%,1643,517,2160
"Justice, 1st Court of Appeals District, Place 9",0651,2085,1070,3155,4931,63.98%,1940,1060,3000
"Justice, 1st Court of Appeals District, Place 9",0652,1050,653,1703,2633,64.68%,260,1380,1640
"Justice, 1st Court of Appeals District, Place 9",0653,0,8,8,0,0.00%,2,6,8
"Justice, 1st Court of Appeals District, Place 9",0654,2103,1344,3447,5765,59.79%,1724,1525,3249
"Justice, 1st Court of Appeals District, Place 9",0655,2613,1451,4064,6304,64.47%,2474,1369,3843
"Justice, 1st Court of Appeals District, Place 9",0656,1198,421,1619,2622,61.75%,50,1515,1565
"Justice, 1st Court of Appeals District, Place 9",0657,490,268,758,1200,63.17%,286,433,719
"Justice, 1st Court of Appeals District, Place 9",0658,985,708,1693,2824,59.95%,1029,598,1627
"Justice, 1st Court of Appeals District, Place 9",0659,2141,1091,3232,4588,70.44%,2272,824,3096
"Justice, 1st Court of Appeals District, Place 9",0660,2460,932,3392,5048,67.19%,321,2956,3277
"Justice, 1st Court of Appeals District, Place 9",0661,1614,1012,2626,4179,62.84%,1369,1117,2486
"Justice, 1st Court of Appeals District, Place 9",0662,2477,999,3476,4807,72.31%,2753,579,3332
"Justice, 1st Court of Appeals District, Place 9",0663,1302,913,2215,3232,68.53%,1190,860,2050
"Justice, 1st Court of Appeals District, Place 9",0664,681,607,1288,2801,45.98%,283,940,1223
"Justice, 1st Court of Appeals District, Place 9",0665,951,394,1345,2007,67.02%,1079,194,1273
"Justice, 1st Court of Appeals District, Place 9",0666,0,1,1,0,0.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 9",0657,989,547,1536,2181,70.43%,1150,302,1452
"Justice, 1st Court of Appeals District, Place 9",0668,927,655,1582,2458,64.36%,972,531,1503
"Justice, 1st Court of Appeals District, Place 9",0669,1606,823,2429,3243,74.90%,1681,625,2306
"Justice, 1st Court of Appeals District, Place 9",0670,1566,518,2084,2952,70.60%,1608,344,1952
"Justice, 1st Court of Appeals District, Place 9",0671,1090,773,1863,2942,63.32%,1060,686,1746
"Justice, 1st Court of Appeals District, Place 9",0672,2301,1078,3379,4710,71.74%,2219,1028,3247
"Justice, 1st Court of Appeals District, Place 9",0673,1376,643,2019,2988,67.57%,1545,362,1907
"Justice, 1st Court of Appeals District, Place 9",0674,2092,813,2905,4055,71.64%,2149,647,2796
"Justice, 1st Court of Appeals District, Place 9",0675,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0676,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0677,220,239,459,954,48.11%,125,305,430
"Justice, 1st Court of Appeals District, Place 9",0678,297,164,461,756,60.98%,301,124,425
"Justice, 1st Court of Appeals District, Place 9",0679,1468,661,2129,3331,63.91%,1547,458,2005
"Justice, 1st Court of Appeals District, Place 9",0680,57,22,79,181,43.65%,34,38,72
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0681,1,0,1,5,20.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 9",0682,1674,912,2586,4134,62.55%,1838,625,2463
"Justice, 1st Court of Appeals District, Place 9",0683,48,50,98,261,37.55%,25,67,92
"Justice, 1st Court of Appeals District, Place 9",0684,72,24,96,187,51.34%,58,31,89
"Justice, 1st Court of Appeals District, Place 9",0685,167,29,196,326,60.12%,88,96,184
"Justice, 1st Court of Appeals District, Place 9",0686,46,34,80,196,40.82%,16,58,74
"Justice, 1st Court of Appeals District, Place 9",0687,1084,641,1725,2497,69.08%,1126,489,1615
"Justice, 1st Court of Appeals District, Place 9",0688,1815,673,2488,3266,76.18%,1960,406,2366
"Justice, 1st Court of Appeals District, Place 9",0689,505,651,1156,2276,50.79%,521,538,1059
"Justice, 1st Court of Appeals District, Place 9",0690,1966,1116,3082,4184,73.66%,2367,584,2951
"Justice, 1st Court of Appeals District, Place 9",0691,10,2,12,34,35.29%,4,8,12
"Justice, 1st Court of Appeals District, Place 9",0692,1000,717,1717,2626,65.38%,1252,384,1636
"Justice, 1st Court of Appeals District, Place 9",0693,303,116,419,651,64.36%,105,281,386
"Justice, 1st Court of Appeals District, Place 9",0694,420,137,557,817,68.18%,365,163,528
"Justice, 1st Court of Appeals District, Place 9",0695,454,320,774,1646,47.02%,472,263,735
"Justice, 1st Court of Appeals District, Place 9",0696,600,373,973,2098,46.38%,595,337,932
"Justice, 1st Court of Appeals District, Place 9",0697,1516,941,2457,4307,57.05%,540,1826,2366
"Justice, 1st Court of Appeals District, Place 9",0698,1137,659,1796,2948,60.92%,171,1562,1733
"Justice, 1st Court of Appeals District, Place 9",0699,1031,566,1597,2288,69.80%,1008,462,1470
"Justice, 1st Court of Appeals District, Place 9",0700,531,287,818,1313,62.30%,642,135,777
"Justice, 1st Court of Appeals District, Place 9",0701,142,115,257,554,46.39%,134,110,244
"Justice, 1st Court of Appeals District, Place 9",0702,150,123,273,549,49.73%,32,228,260
"Justice, 1st Court of Appeals District, Place 9",0703,742,616,1358,1845,73.60%,964,296,1260
"Justice, 1st Court of Appeals District, Place 9",0704,1334,701,2035,2882,70.61%,1619,315,1934
"Justice, 1st Court of Appeals District, Place 9",0705,358,238,596,1520,39.21%,60,514,574
"Justice, 1st Court of Appeals District, Place 9",0706,222,135,357,529,67.49%,171,177,348
"Justice, 1st Court of Appeals District, Place 9",0707,284,1,36,420,707,59.41%,240,1,54,394
"Justice, 1st Court of Appeals District, Place 9",0708,109,95,204,568,35.92%,96,95,191
"Justice, 1st Court of Appeals District, Place 9",0709,2997,1297,4294,6239,68.83%,2503,1622,4125
"Justice, 1st Court of Appeals District, Place 9",0710,877,602,1479,2023,73.11%,845,523,1368
"Justice, 1st Court of Appeals District, Place 9",0711,1492,701,2193,3351,65.44%,1290,772,2062
"Justice, 1st Court of Appeals District, Place 9",0712,1200,858,2058,3348,61.47%,822,1172,1994
"Justice, 1st Court of Appeals District, Place 9",0713,665,436,1101,1827,60.26%,566,484,1050
"Justice, 1st Court of Appeals District, Place 9",0714,77,3,80,304,26.32%,51,23,74
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0715,405,328,731,1380,52.97%,355,335,890
"Justice, 1st Court of Appeals District, Place 9",0718,977,522,1599,2870,59.89%,1114,415,1529
"Justice, 1st Court of Appeals District, Place 9",0717,828,382,1188,1927,81.85%,149,989,1138
"Justice, 1st Court of Appeals District, Place 9",0718,1844,1019,2883,4050,70.89%,1884,788,2870
"Justice, 1st Court of Appeals District, Place 9",0719,508,280,788,1817,47.50%,411,304,715
"Justice, 1st Court of Appeals District, Place 9",0720,1575,1044,2819,3903,87.10%,1878,839,2517
"Justice, 1st Court of Appeals District, Place 9",0721,1334,837,1971,2842,89.35%,1298,555,1853
"Justice, 1st Court of Appeals District, Place 9",0722,1892,542,2534,4357,58.18%,159,2271,2430
"Justice, 1st Court of Appeals District, Place 9",0723,747,329,1078,1780,81.14%,214,809,1023
"Justice, 1st Court of Appeals District, Place 9",0724,325,170,495,718,89.13%,331,142,473
"Justice, 1st Court of Appeals District, Place 9",0725,953,329,1282,2124,80.38%,514,898,1210
"Justice, 1st Court of Appeals District, Place 9",0728,1141,304,1445,1987,72.72%,1239,142,1381
"Justice, 1st Court of Appeals District, Place 9",0727,931,488,1397,2488,58.15%,338,1007,1345
"Justice, 1st Court of Appeals District, Place 9",0728,343,208,551,881,82.54%,303,212,515
"Justice, 1st Court of Appeals District, Place 9",0729,208,93,301,448,87.49%,172,118,288
"Justice, 1st Court of Appeals District, Place 9",0730,802,437,1239,1830,78.01%,818,330,1148
"Justice, 1st Court of Appeals District, Place 9",0731,122,38,158,373,42.38%,30,117,147
"Justice, 1st Court of Appeals District, Place 9",0732,701,543,1244,1895,85.85%,728,430,1158
"Justice, 1st Court of Appeals District, Place 9",0733,25,82,87,172,50.58%,30,49,79
"Justice, 1st Court of Appeals District, Place 9",0734,3209,1114,4323,5952,72.83%,2887,1302,4189
"Justice, 1st Court of Appeals District, Place 9",0735,9,0,9,23,39.13%,9,0,9
"Justice, 1st Court of Appeals District, Place 9",0738,8,1,7,21,33.33%,0,8,8
"Justice, 1st Court of Appeals District, Place 9",0737,25,5,30,53,58.80%,25,5,30
"Justice, 1st Court of Appeals District, Place 9",0738,470,219,889,1294,53.25%,79,592,871
"Justice, 1st Court of Appeals District, Place 9",0739,1005,490,1495,2872,52.05%,851,789,1440
"Justice, 1st Court of Appeals District, Place 9",0740,233,205,438,935,48.84%,232,189,421
"Justice, 1st Court of Appeals District, Place 9",0741,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0742,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0743,27,4,31,199,15.58%,15,14,29
"Justice, 1st Court of Appeals District, Place 9",0744,848,509,1357,2024,87.05%,882,422,1284
"Justice, 1st Court of Appeals District, Place 9",0745,1088,542,1808,2398,87.11%,999,518,1517
"Justice, 1st Court of Appeals District, Place 9",0748,230,151,381,707,53.89%,179,189,348
"Justice, 1st Court of Appeals District, Place 9",0747,1200,873,2073,3490,59.40%,984,1028,1992
"Justice, 1st Court of Appeals District, Place 9",0748,421,307,728,1319,55.19%,317,370,887
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0749,99,57,156,359,43.45%,27,116,143
"Justice, 1st Court of Appeals District, Place 9",0750,264,147,411,720,57.08%,226,161,387
"Justice, 1st Court of Appeals District, Place 9",0751,1665,1254,2919,4451,65.58%,1919,870,2789
"Justice, 1st Court of Appeals District, Place 9",0752,571,277,848,1511,56.12%,595,205,800
"Justice, 1st Court of Appeals District, Place 9",0753,106,61,167,260,64.23%,113,50,163
"Justice, 1st Court of Appeals District, Place 9",0754,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0755,1048,896,1944,3569,54.47%,707,1140,1847
"Justice, 1st Court of Appeals District, Place 9",0756,582,300,882,1539,57.31%,303,533,836
"Justice, 1st Court of Appeals District, Place 9",0757,1416,690,2106,3498,60.21%,335,1704,2039
"Justice, 1st Court of Appeals District, Place 9",0758,1996,783,2779,3781,73.50%,2192,429,2621
"Justice, 1st Court of Appeals District, Place 9",0759,1109,590,1699,2625,64.72%,988,613,1601
"Justice, 1st Court of Appeals District, Place 9",0760,2346,647,2993,4154,72.05%,2467,377,2844
"Justice, 1st Court of Appeals District, Place 9",0761,917,219,1136,1464,77.60%,801,255,1056
"Justice, 1st Court of Appeals District, Place 9",0762,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0763,256,308,564,11,84,47.64%,187,347,534
"Justice, 1st Court of Appeals District, Place 9",0764,2270,1050,3320,4931,67.33%,2070,1105,3175
"Justice, 1st Court of Appeals District, Place 9",0765,1390,815,2205,3967,55.58%,756,1362,2118
"Justice, 1st Court of Appeals District, Place 9",0766,71,92,163,383,42.56%,39,104,143
"Justice, 1st Court of Appeals District, Place 9",0767,20,15,35,90,38.89%,22,10,32
"Justice, 1st Court of Appeals District, Place 9",0768,2854,1159,4013,5364,74.81%,3136,719,3855
"Justice, 1st Court of Appeals District, Place 9",0769,117,5,122,161,75.78%,6,112,118
"Justice, 1st Court of Appeals District, Place 9",0770,58,48,106,262,40.46%,44,55,99
"Justice, 1st Court of Appeals District, Place 9",0771,702,537,1239,2378,52.10%,602,567,1169
"Justice, 1st Court of Appeals District, Place 9",0772,2929,1002,3931,5617,69.98%,2888,868,3756
"Justice, 1st Court of Appeals District, Place 9",0773,892,550,1442,2648,54.46%,334,1025,1359
"Justice, 1st Court of Appeals District, Place 9",0774,117,74,191,301,63.46%,41,142,183
"Justice, 1st Court of Appeals District, Place 9",0775,33,1,34,83,40.96%,2,31,33
"Justice, 1st Court of Appeals District, Place 9",0776,1113,741,1854,2855,64.94%,1059,714,1773
"Justice, 1st Court of Appeals District, Place 9",0777,83,123,206,642,32.09%,53,145,198
"Justice, 1st Court of Appeals District, Place 9",0778,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0779,295,221,516,1146,45.03%,154,322,476
"Justice, 1st Court of Appeals District, Place 9",0780,136,114,250,579,43.18%,108,127,235
"Justice, 1st Court of Appeals District, Place 9",0781,1152,655,1807,3716,48.63%,661,965,1626
"Justice, 1st Court of Appeals District, Place 9",0782,851,532,1383,2188,63.21%,820,478,1298
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0783,103,43,146,265,55.09%,78,56,134
"Justice, 1st Court of Appeals District, Place 9",0784,428,156,584,1071,54.53%,9,558,567
"Justice, 1st Court of Appeals District, Place 9",0785,66,55,121,310,39.03%,64,55,119
"Justice, 1st Court of Appeals District, Place 9",0786,193,277,470,1297,36.24%,145,301,446
"Justice, 1st Court of Appeals District, Place 9",0787,154,76,230,487,47.23%,74,140,214
"Justice, 1st Court of Appeals District, Place 9",0788,156,58,214,481,44.49%,71,132,203
"Justice, 1st Court of Appeals District, Place 9",0789,3,1,4,4,100.00%,1,2,3
"Justice, 1st Court of Appeals District, Place 9",0790,1,0,1,4,25.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 9",0791,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0792,549,409,958,1834,52.24%,218,694,912
"Justice, 1st Court of Appeals District, Place 9",0793,889,338,1227,2437,50.35%,697,473,1170
"Justice, 1st Court of Appeals District, Place 9",0794,575,484,1059,2602,40.70%,79,945,1024
"Justice, 1st Court of Appeals District, Place 9",0795,265,255,520,1207,43.08%,152,322,474
"Justice, 1st Court of Appeals District, Place 9",0796,145,92,237,485,48.87%,116,108,224
"Justice, 1st Court of Appeals District, Place 9",0797,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0798,176,263,439,496,88.51%,127,270,397
"Justice, 1st Court of Appeals District, Place 9",0799,65,12,77,146,52.74%,16,57,73
"Justice, 1st Court of Appeals District, Place 9",0800,1188,795,1983,2817,70.39%,1311,565,1876
"Justice, 1st Court of Appeals District, Place 9",0801,68,55,123,253,48.62%,40,76,116
"Justice, 1st Court of Appeals District, Place 9",0802,98,58,156,299,52.17%,34,110,144
"Justice, 1st Court of Appeals District, Place 9",0803,1305,530,1935,2718,71.19%,1406,437,1843
"Justice, 1st Court of Appeals District, Place 9",0804,1807,960,2767,4348,63.64%,1642,990,2632
"Justice, 1st Court of Appeals District, Place 9",0805,1509,529,2038,2812,72.48%,1601,334,1935
"Justice, 1st Court of Appeals District, Place 9",0806,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0807,652,402,1054,2001,52.67%,159,849,1008
"Justice, 1st Court of Appeals District, Place 9",0808,41,26,67,84,79.76%,29,29,58
"Justice, 1st Court of Appeals District, Place 9",0809,21,e,27,86,31.40%,8,16,24
"Justice, 1st Court of Appeals District, Place 9",0810,30,48,78,215,36.28%,20,48,68
"Justice, 1st Court of Appeals District, Place 9",0811,39,106,145,271,53.51%,30,106,136
"Justice, 1st Court of Appeals District, Place 9",0812,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0813,1967,1258,3225,5423,59.47%,1517,1588,3105
"Justice, 1st Court of Appeals District, Place 9",0814,1773,955,2728,4503,60.58%,605,2015,2620
"Justice, 1st Court of Appeals District, Place 9",0815,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0816,20,13,33,76,43.42%,6,26,32
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0817,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0818,134,101,235,527,44.59%,47,181,228
"Justice, 1st Court of Appeals District, Place 9",0819,97,45,142,238,59.66%,86,37,123
"Justice, 1st Court of Appeals District, Place 9",0820,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0821,354,203,557,1206,46.19%,49,484,533
"Justice, 1st Court of Appeals District, Place 9",0822,584,282,866,1544,56.09%,24,817,841
"Justice, 1st Court of Appeals District, Place 9",0823,1850,1015,2865,4710,60.83%,1466,1268,2734
"Justice, 1st Court of Appeals District, Place 9",0824,984,471,1455,2729,53.32%,315,1083,1398
"Justice, 1st Court of Appeals District, Place 9",0825,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0826,153,89,242,342,70.76%,133,95,228
"Justice, 1st Court of Appeals District, Place 9",0827,169,186,355,997,35.61%,133,202,335
"Justice, 1st Court of Appeals District, Place 9",0828,1074,343,1417,1875,75.57%,1133,206,1339
"Justice, 1st Court of Appeals District, Place 9",0829,107,56,163,266,61.28%,32,126,158
"Justice, 1st Court of Appeals District, Place 9",0830,0,0,0,1,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0831,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0832,109,46,155,351,44.16%,45,100,145
"Justice, 1st Court of Appeals District, Place 9",0833,8,1,9,20,45.00%,0,9,9
"Justice, 1st Court of Appeals District, Place 9",0834,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0835,87,53,140,292,47.95%,36,97,133
"Justice, 1st Court of Appeals District, Place 9",0836,8,3,11,19,57.89%,0,9,9
"Justice, 1st Court of Appeals District, Place 9",0837,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 9",0838,0,0,0,0,0.00%,0,0,0
