Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0157,881,382,1263,2311,54.65%,41,1186,1227
"Justice, 1st Court of Appeals District, Place 9",0158,1304,435,1739,3016,57.66%,22,1673,1695
"Justice, 1st Court of Appeals District, Place 9",0159,313,187,500,976,51.23%,59,416,475
"Justice, 1st Court of Appeals District, Place 9",0160,246,140,386,688,56.10%,8,361,369
"Justice, 1st Court of Appeals District, Place 9",0161,395,190,585,1030,56.80%,7,560,567
"Justice, 1st Court of Appeals District, Place 9",0162,232,262,494,1249,39.55%,139,305,444
"Justice, 1st Court of Appeals District, Place 9",0163,778,635,1413,3054,46.27%,412,842,1254
"Justice, 1st Court of Appeals District, Place 9",0164,505,304,809,1434,56.42%,10,779,789
"Justice, 1st Court of Appeals District, Place 9",0165,918,557,1475,2284,64.58%,920,468,1388
"Justice, 1st Court of Appeals District, Place 9",0166,281,311,592,1016,58.27%,190,361,551
"Justice, 1st Court of Appeals District, Place 9",0167,5,2,7,23,30.43%,0,7,7
"Justice, 1st Court of Appeals District, Place 9",0168,188,126,314,519,60.50%,5,295,300
"Justice, 1st Court of Appeals District, Place 9",0169,1060,433,1493,2531,58.99%,18,1441,1459
"Justice, 1st Court of Appeals District, Place 9",0170,481,353,834,1887,44.20%,404,371,775
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0171,514,294,808,1613,50.09%,28,751,779
"Justice, 1st Court of Appeals District, Place 9",0172,161,147,308,600,51.33%,103,178,281
"Justice, 1st Court of Appeals District, Place 9",0173,1798,619,2417,3105,77.84%,1838,467,2305
"Justice, 1st Court of Appeals District, Place 9",0174,1554,767,2321,3159,73.47%,1541,622,2163
"Justice, 1st Court of Appeals District, Place 9",0175,1065,867,1932,2506,77.09%,994,770,1764
"Justice, 1st Court of Appeals District, Place 9",0176,627,530,1157,1581,73.18%,617,429,1046
"Justice, 1st Court of Appeals District, Place 9",0177,672,385,1057,1478,71.52%,639,352,991
"Justice, 1st Court of Appeals District, Place 9",0178,914,368,1282,1718,74.62%,853,322,1175
"Justice, 1st Court of Appeals District, Place 9",0179,449,321,770,1508,51.06%,347,372,719
"Justice, 1st Court of Appeals District, Place 9",0180,966,552,1518,2795,54.31%,39,1410,1449
"Justice, 1st Court of Appeals District, Place 9",0181,416,514,930,1968,47.26%,268,601,869
"Justice, 1st Court of Appeals District, Place 9",0182,1321,1081,2402,3289,73.03%,1443,731,2174
"Justice, 1st Court of Appeals District, Place 9",0183,970,943,1913,2451,78.05%,1281,483,1764
"Justice, 1st Court of Appeals District, Place 9",0184,214,256,470,969,48.50%,131,306,437
"Justice, 1st Court of Appeals District, Place 9",0185,592,494,1086,1910,56.86%,353,664,1017
"Justice, 1st Court of Appeals District, Place 9",0186,204,170,374,795,47.04%,38,309,347
"Justice, 1st Court of Appeals District, Place 9",0187,48,65,113,309,36.57%,30,77,107
"Justice, 1st Court of Appeals District, Place 9",0188,307,378,685,1616,42.39%,238,413,651
"Justice, 1st Court of Appeals District, Place 9",0189,492,473,965,1453,66.41%,506,371,877
"Justice, 1st Court of Appeals District, Place 9",0190,275,401,676,1720,39.30%,233,398,631
"Justice, 1st Court of Appeals District, Place 9",0191,197,313,510,1391,36.66%,177,309,486
"Justice, 1st Court of Appeals District, Place 9",0192,746,332,1078,2045,52.71%,36,1003,1039
"Justice, 1st Court of Appeals District, Place 9",0193,341,269,610,1050,58.10%,13,577,590
"Justice, 1st Court of Appeals District, Place 9",0194,706,504,1210,1735,69.74%,356,769,1125
"Justice, 1st Court of Appeals District, Place 9",0195,539,419,958,1721,55.67%,26,898,924
"Justice, 1st Court of Appeals District, Place 9",0196,121,55,176,323,54.49%,8,161,169
"Justice, 1st Court of Appeals District, Place 9",0197,1109,497,1606,2895,55.47%,33,1524,1557
"Justice, 1st Court of Appeals District, Place 9",0198,143,158,301,657,45.81%,7,283,290
"Justice, 1st Court of Appeals District, Place 9",0199,1407,773,2180,3159,69.01%,1637,440,2077
"Justice, 1st Court of Appeals District, Place 9",0200,1638,585,2223,3222,68.99%,1015,1021,2036
"Justice, 1st Court of Appeals District, Place 9",0201,229,1,25,354,728,48.63%,9,335,344
"Justice, 1st Court of Appeals District, Place 9",0202,488,332,820,1479,55.44%,20,766,786
"Justice, 1st Court of Appeals District, Place 9",0203,266,156,422,900,46.89%,85,313,398
"Justice, 1st Court of Appeals District, Place 9",0204,1491,914,2405,3462,69.47%,1352,870,2222
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0205,856,201,1057,1667,63.41%,22,1005,1027
"Justice, 1st Court of Appeals District, Place 9",0206,651,659,1310,2662,49.21%,395,831,1226
