Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
"Member, State Board of Education, District 4",0331,0,1,1,0,0.00%,1,0,1
"Member, State Board of Education, District 4",0334,255,114,369,755,48.87%,73,282,355
"Member, State Board of Education, District 4",0336,1818,588,2406,3161,76.12%,221,2113,2334
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
"Member, State Board of Education, District 4",0337,310,207,517,951,54.36%,91,410,501
"Member, State Board of Education, District 4",0339,369,373,742,1716,43.24%,172,507,679
"Member, State Board of Education, District 4",0341,246,316,562,1248,45.03%,158,382,540
"Member, State Board of Education, District 4",0342,2029,1113,3142,5718,54.95%,461,2582,3043
"Member, State Board of Education, District 4",0343,436,483,919,1904,48.27%,260,578,838
"Member, State Board of Education, District 4",0344,395,245,640,1207,53.02%,23,587,610
"Member, State Board of Education, District 4",0353,1544,703,2247,3697,60.78%,390,1778,2168
"Member, State Board of Education, District 4",0354,1476,517,1993,3193,62.42%,458,1458,1916
"Member, State Board of Education, District 4",0355,700,286,986,1384,71.24%,91,869,960
"Member, State Board of Education, District 4",0358,740,464,1204,2297,52.42%,94,1071,1165
"Member, State Board of Education, District 4",0359,706,482,1188,3008,39.49%,101,1039,1140
"Member, State Board of Education, District 4",0363,1346,687,2033,3291,61.77%,907,1064,1971
"Member, State Board of Education, District 4",0365,735,245,980,1302,75.27%,91,859,950
"Member, State Board of Education, District 4",0366,638,466,1104,2089,52.85%,252,809,1061
"Member, State Board of Education, District 4",0367,328,212,540,1019,52.99%,100,425,525
"Member, State Board of Education, District 4",0368,418,143,561,929,60.39%,152,392,544
"Member, State Board of Education, District 4",0369,107,53,160,490,32.65%,59,95,154
"Member, State Board of Education, District 4",0371,226,69,295,475,62.11%,6,281,287
"Member, State Board of Education, District 4",0372,498,231,729,1215,60.00%,92,608,700
"Member, State Board of Education, District 4",0373,61,16,77,159,48.43%,0,75,75
"Member, State Board of Education, District 4",0374,139,187,326,748,43.58%,107,202,309
"Member, State Board of Education, District 4",0375,577,524,1101,2607,42.23%,452,590,1042
"Member, State Board of Education, District 4",0376,629,334,963,1916,50.26%,398,507,905
"Member, State Board of Education, District 4",0379,800,338,1138,2017,56.42%,90,999,1089
"Member, State Board of Education, District 4",0381,957,424,1381,2715,50.87%,566,754,1320
"Member, State Board of Education, District 4",0384,1173,505,1678,2596,64.64%,334,1276,1610
"Member, State Board of Education, District 4",0389,283,261,544,975,55.79%,92,424,516
"Member, State Board of Education, District 4",0390,644,368,1012,1565,64.66%,124,850,974
"Member, State Board of Education, District 4",0392,737,197,934,1441,64.82%,8,905,913
"Member, State Board of Education, District 4",0394,166,176,342,860,39.77%,142,185,327
"Member, State Board of Education, District 4",0396,1157,219,1376,2073,66.38%,13,1319,1332
"Member, State Board of Education, District 4",0397,163,148,311,750,41.47%,123,161,284
"Member, State Board of Education, District 4",0401,723,284,1007,1876,53.68%,49,935,984
"Member, State Board of Education, District 4",0402,891,245,1136,1737,65.40%,54,1045,1099
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
"Member, State Board of Education, District 4",0405,0,1,1,0,0.00%,0,1,1
"Member, State Board of Education, District 4",0406,281,72,353,610,57.87%,6,330,336
"Member, State Board of Education, District 4",0408,154,179,333,933,35.69%,143,167,310
"Member, State Board of Education, District 4",0409,277,289,566,1371,41.28%,181,351,532
"Member, State Board of Education, District 4",0410,337,102,439,849,51.71%,83,342,425
"Member, State Board of Education, District 4",0411,542,462,1004,2302,43.61%,313,631,944
"Member, State Board of Education, District 4",0412,193,74,267,433,61.66%,15,241,256
"Member, State Board of Education, District 4",0413,1493,525,2018,3023,66.75%,754,1167,1921
"Member, State Board of Education, District 4",0417,777,619,1396,2465,56.63%,616,699,1315
"Member, State Board of Education, District 4",0418,1057,758,1815,3420,53.07%,676,1051,1727
"Member, State Board of Education, District 4",0422,1456,585,2041,3345,61.02%,43,1941,1984
