Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM Traci Jensen,LIB Gene Clark,GRN G C Molison,Totals
"Member, State Board of Education, District 6",0309,1385,612,1997,2529,78.96%,1455,412,28,9,1904
"Member, State Board of Education, District 6",0310,617,348,965,1437,67.15%,597,283,21,6,907
"Member, State Board of Education, District 6",0311,862,699,1561,2997,52.09%,631,733,39,18,1421
"Member, State Board of Education, District 6",0312,1600,718,2318,3669,63.18%,1175,935,55,29,2194
"Member, State Board of Education, District 6",0314,2494,1221,3715,5225,71.10%,2116,1355,78,30,3579
"Member, State Board of Education, District 6",0315,711,479,1190,1618,73.55%,634,433,31,12,1110
"Member, State Board of Education, District 6",0316,682,411,1093,1522,71.81%,534,445,29,18,1026
"Member, State Board of Education, District 6",0317,551,336,887,1469,60.38%,238,589,18,10,855
"Member, State Board of Education, District 6",0330,590,376,966,1849,52.24%,415,446,36,12,909
"Member, State Board of Education, District 6",0332,23,4,27,128,21.09%,8,14,2,1,25
"Member, State Board of Education, District 6",0335,285,246,531,1227,43.28%,144,321,16,2,483
"Member, State Board of Education, District 6",0338,1540,824,2364,4673,50.59%,618,1553,32,17,2220
"Member, State Board of Education, District 6",0345,428,357,785,1708,45.96%,145,569,26,7,747
"Member, State Board of Education, District 6",0350,1112,780,1892,2906,65.11%,687,988,65,24,1764
"Member, State Board of Education, District 6",0356,1382,618,2000,2836,70.52%,1070,737,70,17,1894
"Member, State Board of Education, District 6",0360,969,515,1484,2190,67.76%,722,578,51,13,1364
"Member, State Board of Education, District 6",0361,135,691,826,1585,52.11%,127,565,29,15,736
"Member, State Board of Education, District 6",0362,2131,1200,3331,4952,67.27%,2264,814,87,26,3191
"Member, State Board of Education, District 6",0364,912,602,1514,2539,59.63%,708,670,47,17,1442
"Member, State Board of Education, District 6",0370,3143,1178,4321,5781,74.74%,3099,935,100,24,4158
"Member, State Board of Education, District 6",0383,599,493,1092,2076,52.60%,322,695,25,5,1047
"Member, State Board of Education, District 6",0385,1099,621,1720,2175,79.08%,1146,428,27,11,1612
"Member, State Board of Education, District 6",0395,830,491,1321,1820,72.58%,838,346,46,18,1248
"Member, State Board of Education, District 6",0398,1438,840,2278,3816,59.70%,1046,1075,54,20,2195
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM Traci Jensen,LIB Gene Clark,GRN G C Molison,Totals
"Member, State Board of Education, District 6",0400,1048,506,1554,2238,69.44%,1046,394,28,18,1486
"Member, State Board of Education, District 6",0403,791,527,1318,1703,77.39%,652,504,27,14,1197
"Member, State Board of Education, District 6",0407,1317,1000,2317,3652,63.44%,1351,740,67,24,2182
"Member, State Board of Education, District 6",0421,124,92,216,467,46.25%,44,158,2,2,206
"Member, State Board of Education, District 6",0424,435,157,592,888,66.67%,312,238,21,5,576
"Member, State Board of Education, District 6",0425,227,234,461,875,52.69%,134,286,13,3,436
