Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Brett Busby,DEM Barbara Gardner,Totals
"Justice, 14th Court of Appeals District, Place 3",0585,1306,1189,2495,4230,58.98%,1453,939,2392
"Justice, 14th Court of Appeals District, Place 3",0587,933,465,1398,2174,64.31%,471,876,1347
"Justice, 14th Court of Appeals District, Place 3",0588,1536,871,2407,3468,69.41%,1651,656,2307
"Justice, 14th Court of Appeals District, Place 3",0589,1033,738,1771,3130,56.58%,895,798,1693
"Justice, 14th Court of Appeals District, Place 3",0590,1158,463,1621,2136,75.89%,1200,340,1540
"Justice, 14th Court of Appeals District, Place 3",0591,420,449,869,2114,41.11%,209,608,817
"Justice, 14th Court of Appeals District, Place 3",0592,370,288,658,1258,52.31%,141,488,629
"Justice, 14th Court of Appeals District, Place 3",0593,1149,999,2148,4059,52.92%,935,1110,2045
"Justice, 14th Court of Appeals District, Place 3",0594,1031,535,1566,2361,66.33%,431,1083,1514
"Justice, 14th Court of Appeals District, Place 3",0595,497,380,877,1647,53.25%,131,717,848
"Justice, 14th Court of Appeals District, Place 3",0596,946,690,1636,2848,57.44%,813,755,1568
"Justice, 14th Court of Appeals District, Place 3",0597,1067,719,1786,3267,54.67%,590,1129,1719
"Justice, 14th Court of Appeals District, Place 3",0598,335,103,438,724,60.50%,328,80,408
"Justice, 14th Court of Appeals District, Place 3",0599,1895,866,2761,4135,66.77%,890,1762,2652
"Justice, 14th Court of Appeals District, Place 3",0600,1383,869,2252,3820,58.95%,754,1393,2147
"Justice, 14th Court of Appeals District, Place 3",0601,2028,858,2886,3990,72.33%,2106,665,2771
"Justice, 14th Court of Appeals District, Place 3",0602,562,296,858,1237,69.36%,578,250,828
"Justice, 14th Court of Appeals District, Place 3",0603,1438,1163,2601,3917,66.40%,1524,983,2507
"Justice, 14th Court of Appeals District, Place 3",0604,1444,528,1972,2910,67.77%,1579,310,1889
"Justice, 14th Court of Appeals District, Place 3",0605,2227,889,3116,5251,59.34%,696,2300,2996
"Justice, 14th Court of Appeals District, Place 3",0606,420,122,542,1053,51.47%,5,520,525
"Justice, 14th Court of Appeals District, Place 3",0607,194,118,312,731,42.68%,19,278,297
"Justice, 14th Court of Appeals District, Place 3",0608,245,290,535,1256,42.60%,194,305,499
"Justice, 14th Court of Appeals District, Place 3",0609,1364,844,2208,3261,67.71%,1311,763,2074
"Justice, 14th Court of Appeals District, Place 3",0610,403,398,801,1825,43.89%,324,427,751
"Justice, 14th Court of Appeals District, Place 3",0611,1121,301,1422,2450,58.04%,36,1356,1392
"Justice, 14th Court of Appeals District, Place 3",0612,1700,579,2279,3272,69.65%,1660,486,2146
"Justice, 14th Court of Appeals District, Place 3",0613,495,309,804,1450,55.45%,122,654,776
"Justice, 14th Court of Appeals District, Place 3",0614,1631,812,2443,3932,62.13%,767,1568,2335
"Justice, 14th Court of Appeals District, Place 3",0615,931,404,1335,1926,69.31%,759,515,1274
"Justice, 14th Court of Appeals District, Place 3",0616,1352,970,2322,3378,68.74%,1540,662,2202
"Justice, 14th Court of Appeals District, Place 3",0617,1320,849,2169,3546,61.17%,740,1342,2082
"Justice, 14th Court of Appeals District, Place 3",0618,1922,1021,2943,5344,55.07%,1233,1584,2817
"Justice, 14th Court of Appeals District, Place 3",0619,2133,857,2990,4266,70.09%,2153,698,2851
"Justice, 14th Court of Appeals District, Place 3",0620,2384,856,3240,5271,61.47%,1496,1545,3041
"Justice, 14th Court of Appeals District, Place 3",0621,397,203,600,1173,51.15%,284,286,570
"Justice, 14th Court of Appeals District, Place 3",0622,1722,829,2551,4305,59.26%,1423,1010,2433
"Justice, 14th Court of Appeals District, Place 3",0623,1708,626,2334,3481,67.05%,1420,781,2201
"Justice, 14th Court of Appeals District, Place 3",0624,9,0,9,16,56.25%,4,5,9
"Justice, 14th Court of Appeals District, Place 3",0625,862,454,1316,1796,73.27%,702,507,1209
"Justice, 14th Court of Appeals District, Place 3",0626,1148,655,1803,2838,63.53%,847,847,1694
"Justice, 14th Court of Appeals District, Place 3",0627,795,647,1442,2964,48.65%,388,969,1357
"Justice, 14th Court of Appeals District, Place 3",0628,292,456,748,1600,46.75%,297,411,708
"Justice, 14th Court of Appeals District, Place 3",0629,175,127,302,629,48.01%,19,278,297
"Justice, 14th Court of Appeals District, Place 3",0630,2019,535,2554,3190,80.06%,211,2258,2469
"Justice, 14th Court of Appeals District, Place 3",0631,1489,392,1881,2733,68.83%,1290,498,1788
"Justice, 14th Court of Appeals District, Place 3",0632,12,9,21,231,9.09%,3,15,18
"Justice, 14th Court of Appeals District, Place 3",0633,1782,678,2460,3257,75.53%,1734,618,2352
"Justice, 14th Court of Appeals District, Place 3",0634,1020,734,1754,2922,60.03%,1054,621,1675
"Justice, 14th Court of Appeals District, Place 3",0635,1327,706,2033,3280,61.98%,1519,433,1952
"Justice, 14th Court of Appeals District, Place 3",0636,1791,974,2765,3881,71.24%,2316,347,2663
"Justice, 14th Court of Appeals District, Place 3",0637,739,509,1248,2471,50.51%,285,867,1152
"Justice, 14th Court of Appeals District, Place 3",0638,740,684,1424,2078,68.53%,85,1277,1362
"Justice, 14th Court of Appeals District, Place 3",0639,829,711,1540,2501,61.58%,1175,307,1482
"Justice, 14th Court of Appeals District, Place 3",0640,1382,723,2105,3548,59.33%,1164,849,2013
"Justice, 14th Court of Appeals District, Place 3",0641,1265,878,2143,3375,63.50%,1268,779,2047
"Justice, 14th Court of Appeals District, Place 3",0642,873,447,1320,1779,74.20%,1035,225,1260
"Justice, 14th Court of Appeals District, Place 3",0643,2157,994,3151,5310,59.34%,1157,1845,3002
"Justice, 14th Court of Appeals District, Place 3",0644,2123,1204,3327,5261,63.24%,2023,1142,3165
"Justice, 14th Court of Appeals District, Place 3",0645,1639,895,2534,4035,62.80%,1130,1268,2398
"Justice, 14th Court of Appeals District, Place 3",0646,708,456,1164,2163,53.81%,327,777,1104
"Justice, 14th Court of Appeals District, Place 3",0647,1771,1020,2791,5593,49.90%,672,1900,2572
"Justice, 14th Court of Appeals District, Place 3",0648,1590,668,2258,3197,70.63%,1530,627,2157
"Justice, 14th Court of Appeals District, Place 3",0649,1389,854,2243,4426,50.68%,589,1531,2120
"Justice, 14th Court of Appeals District, Place 3",0650,1328,939,2267,3151,71.95%,1616,543,2159
"Justice, 14th Court of Appeals District, Place 3",0651,2085,1070,3155,4931,63.98%,1906,1093,2999
"Justice, 14th Court of Appeals District, Place 3",0652,1050,653,1703,2633,64.68%,258,1380,1638
"Justice, 14th Court of Appeals District, Place 3",0653,0,8,8,0,0.00%,2,6,8
"Justice, 14th Court of Appeals District, Place 3",0654,2103,1344,3447,5765,59.79%,1683,1560,3243
"Justice, 14th Court of Appeals District, Place 3",0655,2613,1451,4064,6304,64.47%,2443,1405,3848
"Justice, 14th Court of Appeals District, Place 3",0656,1198,421,1619,2622,61.75%,44,1526,1570
"Justice, 14th Court of Appeals District, Place 3",0657,490,268,758,1200,63.17%,282,436,718
"Justice, 14th Court of Appeals District, Place 3",0658,985,708,1693,2824,59.95%,1007,620,1627
"Justice, 14th Court of Appeals District, Place 3",0659,2141,1091,3232,4588,70.44%,2231,862,3093
"Justice, 14th Court of Appeals District, Place 3",0660,2460,932,3392,5048,67.19%,304,2970,3274
"Justice, 14th Court of Appeals District, Place 3",0661,1614,1012,2626,4179,62.84%,1355,1132,2487
"Justice, 14th Court of Appeals District, Place 3",0662,2477,999,3476,4807,72.31%,2709,615,3324
"Justice, 14th Court of Appeals District, Place 3",0663,1302,913,2215,3232,68.53%,1171,879,2050
"Justice, 14th Court of Appeals District, Place 3",0664,681,607,1288,2801,45.98%,272,950,1222
"Justice, 14th Court of Appeals District, Place 3",0665,951,394,1345,2007,67.02%,1064,210,1274
"Justice, 14th Court of Appeals District, Place 3",0666,0,1,1,0,0.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 3",0657,989,547,1536,2181,70.43%,1138,313,1451
"Justice, 14th Court of Appeals District, Place 3",0668,927,655,1582,2458,64.36%,952,550,1502
"Justice, 14th Court of Appeals District, Place 3",0669,1606,823,2429,3243,74.90%,1639,663,2302
"Justice, 14th Court of Appeals District, Place 3",0670,1566,518,2084,2952,70.60%,1568,390,1958
"Justice, 14th Court of Appeals District, Place 3",0671,1090,773,1863,2942,63.32%,1036,711,1747
"Justice, 14th Court of Appeals District, Place 3",0672,2301,1078,3379,4710,71.74%,2174,1077,3251
"Justice, 14th Court of Appeals District, Place 3",0673,1376,643,2019,2988,67.57%,1516,390,1906
"Justice, 14th Court of Appeals District, Place 3",0674,2092,813,2905,4055,71.64%,2116,682,2798
"Justice, 14th Court of Appeals District, Place 3",0675,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0676,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0677,220,239,459,954,48.11%,121,312,433
"Justice, 14th Court of Appeals District, Place 3",0678,297,164,461,756,60.98%,289,134,423
"Justice, 14th Court of Appeals District, Place 3",0679,1468,661,2129,3331,63.91%,1524,479,2003
"Justice, 14th Court of Appeals District, Place 3",0680,57,22,79,181,43.65%,31,41,72
"Justice, 14th Court of Appeals District, Place 3",0681,1,0,1,5,20.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 3",0682,1674,912,2586,4134,62.55%,1794,668,2462
"Justice, 14th Court of Appeals District, Place 3",0683,48,50,98,261,37.55%,21,71,92
"Justice, 14th Court of Appeals District, Place 3",0684,72,24,96,187,51.34%,56,33,89
"Justice, 14th Court of Appeals District, Place 3",0685,167,29,196,326,60.12%,88,95,183
"Justice, 14th Court of Appeals District, Place 3",0686,46,34,80,196,40.82%,17,58,75
"Justice, 14th Court of Appeals District, Place 3",0687,1084,641,1725,2497,69.08%,1111,499,1610
"Justice, 14th Court of Appeals District, Place 3",0688,1815,673,2488,3266,76.18%,1943,426,2369
"Justice, 14th Court of Appeals District, Place 3",0689,505,651,1156,2276,50.79%,506,554,1060
"Justice, 14th Court of Appeals District, Place 3",0690,1966,1116,3082,4184,73.66%,2339,606,2945
"Justice, 14th Court of Appeals District, Place 3",0691,10,2,12,34,35.29%,4,8,12
"Justice, 14th Court of Appeals District, Place 3",0692,1000,717,1717,2626,65.38%,1221,413,1634
"Justice, 14th Court of Appeals District, Place 3",0693,303,116,419,651,64.36%,101,284,385
"Justice, 14th Court of Appeals District, Place 3",0694,420,137,557,817,68.18%,359,170,529
"Justice, 14th Court of Appeals District, Place 3",0695,454,320,774,1646,47.02%,457,280,737
"Justice, 14th Court of Appeals District, Place 3",0696,600,373,973,2098,46.38%,571,363,934
"Justice, 14th Court of Appeals District, Place 3",0697,1516,941,2457,4307,57.05%,535,1832,2367
"Justice, 14th Court of Appeals District, Place 3",0698,1137,659,1796,2948,60.92%,166,1565,1731
"Justice, 14th Court of Appeals District, Place 3",0699,1031,566,1597,2288,69.80%,977,489,1466
"Justice, 14th Court of Appeals District, Place 3",0700,531,287,818,1313,62.30%,635,141,776
"Justice, 14th Court of Appeals District, Place 3",0701,142,115,257,554,46.39%,120,124,244
"Justice, 14th Court of Appeals District, Place 3",0702,150,123,273,549,49.73%,26,234,260
"Justice, 14th Court of Appeals District, Place 3",0703,742,616,1358,1845,73.60%,932,329,1261
"Justice, 14th Court of Appeals District, Place 3",0704,1334,701,2035,2882,70.61%,1596,339,1935
"Justice, 14th Court of Appeals District, Place 3",0705,358,238,596,1520,39.21%,55,519,574
"Justice, 14th Court of Appeals District, Place 3",0706,222,135,357,529,67.49%,165,184,349
"Justice, 14th Court of Appeals District, Place 3",0707,284,1,36,420,707,59.41%,238,1,56,394
"Justice, 14th Court of Appeals District, Place 3",0708,109,95,204,568,35.92%,93,99,192
"Justice, 14th Court of Appeals District, Place 3",0709,2997,1297,4294,6239,68.83%,2461,1661,4122
"Justice, 14th Court of Appeals District, Place 3",0710,877,602,1479,2023,73.11%,835,530,1365
"Justice, 14th Court of Appeals District, Place 3",0711,1492,701,2193,3351,65.44%,1244,821,2065
"Justice, 14th Court of Appeals District, Place 3",0712,1200,858,2058,3348,61.47%,800,1193,1993
"Justice, 14th Court of Appeals District, Place 3",0713,665,436,1101,1827,60.26%,554,496,1050
"Justice, 14th Court of Appeals District, Place 3",0714,77,3,80,304,26.32%,50,25,75
"Justice, 14th Court of Appeals District, Place 3",0715,405,326,731,1380,52.97%,348,344,692
"Justice, 14th Court of Appeals District, Place 3",0716,977,622,1599,2670,59.89%,1090,440,1530
"Justice, 14th Court of Appeals District, Place 3",0717,826,362,1188,1927,61.65%,146,997,1143
"Justice, 14th Court of Appeals District, Place 3",0718,1844,1019,2863,4050,70.69%,1848,812,2660
"Justice, 14th Court of Appeals District, Place 3",0719,508,260,768,1617,47.50%,412,306,718
"Justice, 14th Court of Appeals District, Place 3",0720,1575,1044,2619,3903,67.10%,1836,679,2515
"Justice, 14th Court of Appeals District, Place 3",0721,1334,637,1971,2842,69.35%,1260,581,1841
"Justice, 14th Court of Appeals District, Place 3",0722,1892,642,2534,4357,58.16%,139,2298,2437
"Justice, 14th Court of Appeals District, Place 3",0723,747,329,1076,1760,61.14%,212,819,1031
"Justice, 14th Court of Appeals District, Place 3",0724,325,170,495,716,69.13%,326,144,470
"Justice, 14th Court of Appeals District, Place 3",0725,953,329,1282,2124,60.36%,510,703,1213
"Justice, 14th Court of Appeals District, Place 3",0726,1141,304,1445,1987,72.72%,1228,150,1378
"Justice, 14th Court of Appeals District, Place 3",0727,931,466,1397,2488,56.15%,327,1017,1344
"Justice, 14th Court of Appeals District, Place 3",0728,343,208,551,881,62.54%,293,222,515
"Justice, 14th Court of Appeals District, Place 3",0729,208,93,301,446,67.49%,171,116,287
"Justice, 14th Court of Appeals District, Place 3",0730,802,437,1239,1630,76.01%,800,347,1147
"Justice, 14th Court of Appeals District, Place 3",0731,122,36,158,373,42.36%,28,119,147
"Justice, 14th Court of Appeals District, Place 3",0732,701,543,1244,1895,65.65%,709,444,1153
"Justice, 14th Court of Appeals District, Place 3",0733,25,62,87,172,50.58%,26,53,79
"Justice, 14th Court of Appeals District, Place 3",0734,3209,1114,4323,5952,72.63%,2839,1329,4168
"Justice, 14th Court of Appeals District, Place 3",0735,9,0,9,23,39.1,3%,9,0,9
"Justice, 14th Court of Appeals District, Place 3",0736,6,1,7,21,33.33%,1,5,6
"Justice, 14th Court of Appeals District, Place 3",0737,25,5,30,53,56.60%,24,6,30
"Justice, 14th Court of Appeals District, Place 3",0738,470,219,689,1294,53.25%,71,600,671
"Justice, 14th Court of Appeals District, Place 3",0739,1005,490,1495,2872,52.05%,631,805,1436
"Justice, 14th Court of Appeals District, Place 3",0740,233,205,438,935,46.84%,227,194,421
"Justice, 14th Court of Appeals District, Place 3",0741,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0742,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0743,27,4,31,199,15.58%,12,17,29
"Justice, 14th Court of Appeals District, Place 3",0744,848,509,1357,2024,67.05%,844,435,1279
"Justice, 14th Court of Appeals District, Place 3",0745,1066,542,1608,2396,67.11%,978,528,1506
"Justice, 14th Court of Appeals District, Place 3",0746,230,151,381,707,53.89%,175,172,347
"Justice, 14th Court of Appeals District, Place 3",0747,1200,873,2073,3490,59.40%,934,1053,1987
"Justice, 14th Court of Appeals District, Place 3",0748,421,307,728,1319,55.19%,315,372,687
"Justice, 14th Court of Appeals District, Place 3",0749,99,57,156,359,43.45%,27,116,143
"Justice, 14th Court of Appeals District, Place 3",0750,264,147,411,720,57.08%,222,164,386
"Justice, 14th Court of Appeals District, Place 3",0751,1665,1254,2919,4451,65.58%,1891,895,2786
"Justice, 14th Court of Appeals District, Place 3",0752,571,277,848,1511,56.12%,578,224,802
"Justice, 14th Court of Appeals District, Place 3",0753,106,61,167,260,64.23%,106,57,163
"Justice, 14th Court of Appeals District, Place 3",0754,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0755,1048,896,1944,3569,54.47%,693,1151,1844
"Justice, 14th Court of Appeals District, Place 3",0756,582,300,882,1539,57.31%,289,546,835
"Justice, 14th Court of Appeals District, Place 3",0757,1416,690,2106,3498,60.21%,313,1727,2040
"Justice, 14th Court of Appeals District, Place 3",0758,1996,783,2779,3781,73.50%,2161,459,2620
"Justice, 14th Court of Appeals District, Place 3",0759,1109,590,1699,2625,64.72%,981,619,1600
"Justice, 14th Court of Appeals District, Place 3",0760,2346,647,2993,4154,72.05%,2413,430,2843
"Justice, 14th Court of Appeals District, Place 3",0761,917,219,1136,1464,77.60%,801,258,1059
"Justice, 14th Court of Appeals District, Place 3",0762,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0763,256,308,564,1184,47.64%,176,357,533
"Justice, 14th Court of Appeals District, Place 3",0764,2270,1050,3320,4931,67.33%,2035,1142,3177
"Justice, 14th Court of Appeals District, Place 3",0765,1390,815,2205,3967,55.58%,732,1381,2113
"Justice, 14th Court of Appeals District, Place 3",0766,71,92,163,383,42.56%,34,110,144
"Justice, 14th Court of Appeals District, Place 3",0767,20,15,35,90,38.89%,22,10,32
"Justice, 14th Court of Appeals District, Place 3",0768,2854,1159,4013,5364,74.81%,3090,759,3849
"Justice, 14th Court of Appeals District, Place 3",0769,117,5,122,161,75.78%,5,113,118
"Justice, 14th Court of Appeals District, Place 3",0770,58,48,106,262,40.46%,40,59,99
"Justice, 14th Court of Appeals District, Place 3",0771,702,537,1239,2378,52.10%,584,586,1170
"Justice, 14th Court of Appeals District, Place 3",0772,2929,1002,3931,5617,69.98%,2874,878,3752
"Justice, 14th Court of Appeals District, Place 3",0773,892,550,1442,2648,54.46%,338,1023,1361
"Justice, 14th Court of Appeals District, Place 3",0774,117,74,191,301,63.46%,41,144,185
"Justice, 14th Court of Appeals District, Place 3",0775,33,1,34,83,40.96%,1,32,33
"Justice, 14th Court of Appeals District, Place 3",0776,1113,741,1854,2855,64.94%,1042,733,1775
"Justice, 14th Court of Appeals District, Place 3",0777,83,123,206,642,32.09%,50,148,198
"Justice, 14th Court of Appeals District, Place 3",0778,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0779,295,221,516,1146,45.03%,154,326,480
"Justice, 14th Court of Appeals District, Place 3",0780,136,114,250,579,43.18%,106,128,234
"Justice, 14th Court of Appeals District, Place 3",0781,1152,655,1807,3716,48.63%,629,993,1622
"Justice, 14th Court of Appeals District, Place 3",0782,851,532,1383,2188,63.21%,807,495,1302
"Justice, 14th Court of Appeals District, Place 3",0783,103,43,146,265,55.09%,75,59,134
"Justice, 14th Court of Appeals District, Place 3",0784,428,156,584,1071,54.53%,6,559,565
"Justice, 14th Court of Appeals District, Place 3",0785,66,55,121,310,39.03%,63,56,119
"Justice, 14th Court of Appeals District, Place 3",0786,193,277,470,1297,36.24%,131,314,445
"Justice, 14th Court of Appeals District, Place 3",0787,154,76,230,487,47.23%,72,142,214
"Justice, 14th Court of Appeals District, Place 3",0788,156,58,214,481,44.49%,68,133,201
"Justice, 14th Court of Appeals District, Place 3",0789,3,1,4,4,100.00%,1,2,3
"Justice, 14th Court of Appeals District, Place 3",0790,1,0,1,4,25.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 3",0791,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0792,549,409,958,1834,52.24%,204,701,905
"Justice, 14th Court of Appeals District, Place 3",0793,889,338,1227,2437,50.35%,670,501,1171
"Justice, 14th Court of Appeals District, Place 3",0794,575,484,1059,2602,40.70%,71,951,1022
"Justice, 14th Court of Appeals District, Place 3",0795,265,255,520,1207,43.08%,145,331,476
"Justice, 14th Court of Appeals District, Place 3",0796,145,92,237,485,48.87%,112,111,223
"Justice, 14th Court of Appeals District, Place 3",0797,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0798,176,263,439,496,88.51%,124,274,398
"Justice, 14th Court of Appeals District, Place 3",0799,65,12,77,146,52.74%,16,57,73
"Justice, 14th Court of Appeals District, Place 3",0800,1188,795,1983,2817,70.39%,1300,582,1882
"Justice, 14th Court of Appeals District, Place 3",0801,68,55,123,253,48.62%,38,78,116
"Justice, 14th Court of Appeals District, Place 3",0802,98,58,156,299,52.17%,27,117,144
"Justice, 14th Court of Appeals District, Place 3",0803,1305,530,1935,2718,71.19%,1394,450,1844
"Justice, 14th Court of Appeals District, Place 3",0804,1807,960,2767,4348,63.64%,1607,1020,2627
"Justice, 14th Court of Appeals District, Place 3",0805,1509,529,2038,2812,72.48%,1575,360,1935
"Justice, 14th Court of Appeals District, Place 3",0806,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0807,652,402,1054,2001,52.67%,157,851,1008
"Justice, 14th Court of Appeals District, Place 3",0808,41,26,67,84,79.76%,30,28,58
"Justice, 14th Court of Appeals District, Place 3",0809,216,27,86,31.40%,8,16,24
"Justice, 14th Court of Appeals District, Place 3",0810,30,48,78,215,36.28%,18,50,68
"Justice, 14th Court of Appeals District, Place 3",0811,39,106,145,271,53.51%,27,109,136
"Justice, 14th Court of Appeals District, Place 3",0812,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0813,1967,1258,3225,5423,59.47%,1496,1606,3102
"Justice, 14th Court of Appeals District, Place 3",0814,1773,955,2728,4503,60.58%,589,2031,2620
"Justice, 14th Court of Appeals District, Place 3",0815,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0816,20,13,33,76,43.42%,5,27,32
"Justice, 14th Court of Appeals District, Place 3",0817,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0818,134,101,235,527,44.59%,45,183,228
"Justice, 14th Court of Appeals District, Place 3",0819,97,45,142,238,59.66%,85,38,123
"Justice, 14th Court of Appeals District, Place 3",0820,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0821,354,203,557,1206,46.19%,50,485,535
"Justice, 14th Court of Appeals District, Place 3",0822,584,282,866,1544,56.09%,23,819,842
"Justice, 14th Court of Appeals District, Place 3",0823,1850,1015,2865,4710,60.83%,1426,1307,2733
"Justice, 14th Court of Appeals District, Place 3",0824,984,471,1455,2729,53.32%,302,1095,1397
"Justice, 14th Court of Appeals District, Place 3",0825,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0826,153,89,242,342,70.76%,126,101,227
"Justice, 14th Court of Appeals District, Place 3",0827,169,186,355,997,35.61%,125,212,337
"Justice, 14th Court of Appeals District, Place 3",0828,1074,343,1417,1875,75.57%,1100,235,1335
"Justice, 14th Court of Appeals District, Place 3",0829,107,56,163,266,61.28%,32,126,158
"Justice, 14th Court of Appeals District, Place 3",0830,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0831,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0832,109,46,155,351,44.16%,45,101,146
"Justice, 14th Court of Appeals District, Place 3",0833,8,1,9,20,45.00%,0,9,9
"Justice, 14th Court of Appeals District, Place 3",0834,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0835,87,53,140,292,47.95%,36,96,132
"Justice, 14th Court of Appeals District, Place 3",0836,8,3,11,19,57.89%,1,8,9
"Justice, 14th Court of Appeals District, Place 3",0837,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0838,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0839,353,240,593,1122,52.85%,104,452,556
"Justice, 14th Court of Appeals District, Place 3",0840,712,251,963,1621,59.41%,308,618,926
"Justice, 14th Court of Appeals District, Place 3",0841,0,2,2,0,0.00%,0,2,2
"Justice, 14th Court of Appeals District, Place 3",0842,988,715,1703,3091,55.10%,704,921,1625
"Justice, 14th Court of Appeals District, Place 3",0843,0,2,2,0,0.00%,0,2,2
"Justice, 14th Court of Appeals District, Place 3",0844,2,4,6,1,3,46.1,5%,1,4,5
"Justice, 14th Court of Appeals District, Place 3",0845,85,10,95,100,95.00%,54,34,88
"Justice, 14th Court of Appeals District, Place 3",0846,70,29,99,210,47.14%,6,91,97
"Justice, 14th Court of Appeals District, Place 3",0847,795,321,1116,1804,61.86%,292,779,1071
"Justice, 14th Court of Appeals District, Place 3",0848,782,431,1213,1873,64.76%,364,793,1157
"Justice, 14th Court of Appeals District, Place 3",0849,553,514,1067,2073,51.47%,320,681,1001
"Justice, 14th Court of Appeals District, Place 3",0850,87,38,125,205,60.98%,47,72,119
"Justice, 14th Court of Appeals District, Place 3",0851,2192,816,3008,4317,69.68%,1896,966,2862
"Justice, 14th Court of Appeals District, Place 3",0852,0,4,4,2,200.00%,0,4,4
"Justice, 14th Court of Appeals District, Place 3",0853,1413,605,2018,2773,72.77%,1502,413,1915
"Justice, 14th Court of Appeals District, Place 3",0854,41,30,71,175,40.57%,4,65,69
"Justice, 14th Court of Appeals District, Place 3",0855,4,13,17,18,94.44%,8,9,17
"Justice, 14th Court of Appeals District, Place 3",0856,0,4,4,0,0.00%,1,2,3
"Justice, 14th Court of Appeals District, Place 3",0857,0,0,0,1,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0858,132,18,150,372,40.32%,4,141,145
"Justice, 14th Court of Appeals District, Place 3",0859,309,201,510,860,59.30%,103,397,500
"Justice, 14th Court of Appeals District, Place 3",0860,0,1,1,0,0.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 3",0861,705,319,1024,1786,57.33%,175,821,996
"Justice, 14th Court of Appeals District, Place 3",0862,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0863,210,69,279,620,45.00%,10,262,272
"Justice, 14th Court of Appeals District, Place 3",0864,497,609,1106,2464,44.89%,252,798,1050
"Justice, 14th Court of Appeals District, Place 3",0865,9,2,11,23,47.83%,0,11,11
"Justice, 14th Court of Appeals District, Place 3",0866,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0867,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0868,573,586,1159,2292,50.57%,335,765,1100
"Justice, 14th Court of Appeals District, Place 3",0869,153,76,229,473,48.41%,30,189,219
"Justice, 14th Court of Appeals District, Place 3",0870,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0871,3,0,3,4,75.00%,0,3,3
"Justice, 14th Court of Appeals District, Place 3",0872,13,5,18,66,27.27%,7,9,16
"Justice, 14th Court of Appeals District, Place 3",0873,253,125,378,701,53.92%,89,284,373
"Justice, 14th Court of Appeals District, Place 3",0874,1534,748,2282,3107,73.45%,1694,487,2181
"Justice, 14th Court of Appeals District, Place 3",0875,1719,927,2646,4031,65.64%,1211,1322,2533
"Justice, 14th Court of Appeals District, Place 3",0876,1629,639,2268,3013,75.27%,1608,574,2182
"Justice, 14th Court of Appeals District, Place 3",0877,1031,642,1673,2480,67.46%,674,952,1626
"Justice, 14th Court of Appeals District, Place 3",0878,853,350,1203,1641,73.31%,965,178,1143
"Justice, 14th Court of Appeals District, Place 3",0879,890,527,1417,2334,60.71%,631,730,1361
"Justice, 14th Court of Appeals District, Place 3",0880,1068,472,1540,2007,76.73%,1135,325,1460
"Justice, 14th Court of Appeals District, Place 3",0881,1510,877,2387,3619,65.96%,734,1572,2306
"Justice, 14th Court of Appeals District, Place 3",0882,940,457,1397,2328,60.01%,750,586,1336
"Justice, 14th Court of Appeals District, Place 3",0883,1918,1042,2960,4651,63.64%,495,2379,2874
"Justice, 14th Court of Appeals District, Place 3",0884,118,37,155,330,46.97%,19,129,148
