Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Brett Busby,DEM Barbara Gardner,Totals
"Justice, 14th Court of Appeals District, Place 3",0258,1577,888,2465,3286,75.02%,1712,561,2273
"Justice, 14th Court of Appeals District, Place 3",0259,1,1210,460,1670,2408,69.35%,29,1605,1634
"Justice, 14th Court of Appeals District, Place 3",0260,420,290,710,1187,59.81%,367,312,679
"Justice, 14th Court of Appeals District, Place 3",0261,176,133,309,749,41.26%,89,204,293
"Justice, 14th Court of Appeals District, Place 3",0262,1470,906,2376,4232,56.14%,1300,906,2206
"Justice, 14th Court of Appeals District, Place 3",0263,1785,719,2504,3319,75.44%,1814,583,2397
"Justice, 14th Court of Appeals District, Place 3",0264,936,639,1575,2939,53.59%,802,651,1453
"Justice, 14th Court of Appeals District, Place 3",0265,1936,674,2610,3617,72.16%,1847,578,2425
"Justice, 14th Court of Appeals District, Place 3",0266,552,542,1094,2119,51.63%,466,563,1029
"Justice, 14th Court of Appeals District, Place 3",0267,294,305,599,1346,44.50%,254,299,553
"Justice, 14th Court of Appeals District, Place 3",0268,931,810,1741,2387,72.94%,1013,575,1588
"Justice, 14th Court of Appeals District, Place 3",0269,1143,444,1587,1981,80.11%,1199,282,1481
"Justice, 14th Court of Appeals District, Place 3",0270,1401,870,2271,3517,64.57%,1230,871,2101
"Justice, 14th Court of Appeals District, Place 3",0271,1303,371,1674,2469,67.80%,12,1617,1629
"Justice, 14th Court of Appeals District, Place 3",0272,610,484,1094,2112,51.80%,394,647,1041
"Justice, 14th Court of Appeals District, Place 3",0273,1141,634,1775,2426,73.17%,1389,290,1679
"Justice, 14th Court of Appeals District, Place 3",0274,1049,364,1413,2063,68.49%,920,419,1339
"Justice, 14th Court of Appeals District, Place 3",0275,567,410,977,1730,56.47%,153,785,938
"Justice, 14th Court of Appeals District, Place 3",0276,1139,404,1543,2532,60.94%,11,1493,1504
"Justice, 14th Court of Appeals District, Place 3",0277,342,305,647,1473,43.92%,270,355,625
"Justice, 14th Court of Appeals District, Place 3",0278,756,607,1363,2405,56.67%,677,607,1284
"Justice, 14th Court of Appeals District, Place 3",0279,548,383,931,1899,49.03%,536,342,878
"Justice, 14th Court of Appeals District, Place 3",0280,303,360,663,1515,43.76%,217,402,619
"Justice, 14th Court of Appeals District, Place 3",0281,1087,903,1990,2610,76.25%,938,823,1761
"Justice, 14th Court of Appeals District, Place 3",0282,690,591,1281,1988,64.44%,731,477,1208
"Justice, 14th Court of Appeals District, Place 3",0283,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 3",0284,1136,595,1731,3262,53.07%,608,1029,1637
"Justice, 14th Court of Appeals District, Place 3",0285,988,509,1497,2505,59.76%,96,1349,1445
"Justice, 14th Court of Appeals District, Place 3",0286,2658,1053,3711,5719,64.89%,296,3263,3559
"Justice, 14th Court of Appeals District, Place 3",0287,647,542,1189,1616,73.58%,591,518,1109
"Justice, 14th Court of Appeals District, Place 3",0288,1036,380,1416,2259,62.68%,19,1354,1373
"Justice, 14th Court of Appeals District, Place 3",0289,374,397,771,1510,51.06%,296,418,714
"Justice, 14th Court of Appeals District, Place 3",0290,577,429,1006,1567,64.20%,745,227,972
