Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Theresa Chang,DEM Damon Crenshaw,Totals
"Judge, County Court at Law No. 2, Unexpired Term",0167,5,2,7,23,30.43%,0,7,7
"Judge, County Court at Law No. 2, Unexpired Term",0168,188,126,314,519,60.50%,4,296,300
"Judge, County Court at Law No. 2, Unexpired Term",0169,1059,433,1492,2531,58.95%,21,1433,1454
"Judge, County Court at Law No. 2, Unexpired Term",0170,481,353,834,1887,44.20%,391,379,770
"Judge, County Court at Law No. 2, Unexpired Term",0171,514,294,808,1613,50.09%,28,747,775
"Judge, County Court at Law No. 2, Unexpired Term",0172,161,147,308,600,51.33%,100,178,278
"Judge, County Court at Law No. 2, Unexpired Term",0173,1798,619,2417,3105,77.84%,1831,471,2302
"Judge, County Court at Law No. 2, Unexpired Term",0174,1554,767,2321,3159,73.47%,1582,571,2153
"Judge, County Court at Law No. 2, Unexpired Term",0175,1064,867,1931,2506,77.06%,1032,709,1741
"Judge, County Court at Law No. 2, Unexpired Term",0176,626,530,1156,1581,73.12%,626,408,1034
"Judge, County Court at Law No. 2, Unexpired Term",0177,672,385,1057,1478,71.52%,636,346,982
"Judge, County Court at Law No. 2, Unexpired Term",0178,913,368,1281,1718,74.56%,872,299,1171
"Judge, County Court at Law No. 2, Unexpired Term",0179,449,321,770,1508,51.06%,343,372,715
"Judge, County Court at Law No. 2, Unexpired Term",0180,966,552,1518,2795,54.31%,32,1417,1449
"Judge, County Court at Law No. 2, Unexpired Term",0181,416,514,930,1968,47.26%,258,608,866
"Judge, County Court at Law No. 2, Unexpired Term",0182,1321,1081,2402,3289,73.03%,1446,702,2148
"Judge, County Court at Law No. 2, Unexpired Term",0183,970,943,1913,2451,78.05%,1279,455,1734
"Judge, County Court at Law No. 2, Unexpired Term",0184,214,256,470,969,48.50%,135,299,434
"Judge, County Court at Law No. 2, Unexpired Term",0185,592,494,1086,1910,56.86%,354,663,1017
"Judge, County Court at Law No. 2, Unexpired Term",0186,204,170,374,795,47.04%,47,299,346
"Judge, County Court at Law No. 2, Unexpired Term",0187,48,65,113,309,36.57%,30,78,108
"Judge, County Court at Law No. 2, Unexpired Term",0188,307,378,685,1616,42.39%,242,409,651
"Judge, County Court at Law No. 2, Unexpired Term",0189,492,473,965,1453,66.41%,524,354,878
"Judge, County Court at Law No. 2, Unexpired Term",0190,275,401,676,1720,39.30%,227,406,633
"Judge, County Court at Law No. 2, Unexpired Term",0191,196,313,509,1391,36.59%,169,316,485
"Judge, County Court at Law No. 2, Unexpired Term",0192,746,332,1078,2045,52.71%,41,1003,1044
"Judge, County Court at Law No. 2, Unexpired Term",0193,341,269,610,1050,58.10%,12,575,587
"Judge, County Court at Law No. 2, Unexpired Term",0194,704,504,1208,1735,69.63%,385,740,1125
"Judge, County Court at Law No. 2, Unexpired Term",0195,539,419,958,1721,55.67%,28,895,923
"Judge, County Court at Law No. 2, Unexpired Term",0196,121,55,176,323,54.49%,10,158,168
"Judge, County Court at Law No. 2, Unexpired Term",0197,1109,497,1606,2895,55.47%,36,1515,1551
"Judge, County Court at Law No. 2, Unexpired Term",0198,143,158,301,657,45.81%,8,280,288
"Judge, County Court at Law No. 2, Unexpired Term",0199,1407,773,2180,3159,69.01%,1619,442,2061
"Judge, County Court at Law No. 2, Unexpired Term",0200,1638,585,2223,3222,68.99%,1065,958,2023
"Judge, County Court at Law No. 2, Unexpired Term",0201,229,125,354,728,48.63%,10,335,345
"Judge, County Court at Law No. 2, Unexpired Term",0202,488,332,820,1479,55.44%,19,765,784
"Judge, County Court at Law No. 2, Unexpired Term",0203,266,156,422,900,46.89%,84,314,398
"Judge, County Court at Law No. 2, Unexpired Term",0204,1489,914,2403,3462,69.41%,1382,842,2224
"Judge, County Court at Law No. 2, Unexpired Term",0205,856,201,1057,1667,63.41%,23,1006,1029
"Judge, County Court at Law No. 2, Unexpired Term",0206,651,659,1310,2662,49.21%,413,805,1218
"Judge, County Court at Law No. 2, Unexpired Term",0207,409,310,719,1144,62.85%,265,389,654
"Judge, County Court at Law No. 2, Unexpired Term",0208,806,364,1170,2201,53.16%,286,810,1096
"Judge, County Court at Law No. 2, Unexpired Term",0209,0,4,4,0,0.00%,4,0,4
"Judge, County Court at Law No. 2, Unexpired Term",0210,1013,542,1555,2300,67.61%,183,1287,1470
"Judge, County Court at Law No. 2, Unexpired Term",0211,710,686,1396,2797,49.91%,491,801,1292
"Judge, County Court at Law No. 2, Unexpired Term",0212,218,314,532,1266,42.02%,95,410,505
"Judge, County Court at Law No. 2, Unexpired Term",0213,1603,939,2542,3308,76.84%,1967,386,2353
"Judge, County Court at Law No. 2, Unexpired Term",0214,798,544,1342,1795,74.76%,839,381,1220
"Judge, County Court at Law No. 2, Unexpired Term",0215,844,786,1630,2168,75.18%,1020,475,1495
