Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0130,1201,523,1724,2240,76.96%,1209,407,1616
"County School Trustee, Position 3, At Large",0131,604,374,978,1721,56.83%,226,706,932
"County School Trustee, Position 3, At Large",0132,1119,397,1516,2449,61.90%,25,1437,1462
"County School Trustee, Position 3, At Large",0133,1083,940,2023,2605,77.66%,1136,704,1840
"County School Trustee, Position 3, At Large",0134,419,392,811,1444,56.16%,345,417,762
"County School Trustee, Position 3, At Large",0135,1424,634,2058,2750,74.84%,1228,652,1880
"County School Trustee, Position 3, At Large",0136,981,451,1432,2111,67.84%,49,1327,1376
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0137,305,193,498,740,67.30%,227,228,455
"County School Trustee, Position 3, At Large",0138,661,259,920,1749,52.60%,17,868,885
"County School Trustee, Position 3, At Large",0139,1290,747,2037,2746,74.18%,921,927,1848
"County School Trustee, Position 3, At Large",0140,1311,683,1994,3104,64.24%,269,1611,1880
"County School Trustee, Position 3, At Large",0141,181,143,324,872,37.16%,190,110,300
"County School Trustee, Position 3, At Large",0142,212,171,383,870,44.02%,95,263,358
"County School Trustee, Position 3, At Large",0143,2993,660,3653,4598,79.45%,2494,1009,3503
"County School Trustee, Position 3, At Large",0144,476,204,680,1143,59.49%,7,651,658
"County School Trustee, Position 3, At Large",0145,663,245,908,1580,57.47%,14,874,888
"County School Trustee, Position 3, At Large",0146,759,614,1373,1953,70.30%,575,704,1279
"County School Trustee, Position 3, At Large",0147,1255,485,1740,2813,61.86%,192,1500,1692
"County School Trustee, Position 3, At Large",0148,908,924,1832,2467,74.26%,684,988,1672
"County School Trustee, Position 3, At Large",0149,2859,1322,4181,6103,68.51%,1815,2205,4020
"County School Trustee, Position 3, At Large",0150,539,207,746,1212,61.55%,17,708,725
"County School Trustee, Position 3, At Large",0151,316,148,464,846,54.85%,17,425,442
"County School Trustee, Position 3, At Large",0152,483,602,1085,2701,40.17%,216,809,1025
"County School Trustee, Position 3, At Large",0153,328,437,765,1755,43.59%,181,524,705
"County School Trustee, Position 3, At Large",0154,593,360,953,2133,44.68%,192,664,856
"County School Trustee, Position 3, At Large",0155,1957,834,2791,4087,68.29%,1814,826,2640
"County School Trustee, Position 3, At Large",0156,1427,457,1884,3134,60.11%,49,1758,1807
"County School Trustee, Position 3, At Large",0157,881,382,1263,2311,54.65%,42,1185,1227
"County School Trustee, Position 3, At Large",0158,1304,435,1739,3016,57.66%,26,1674,1700
"County School Trustee, Position 3, At Large",0159,313,187,500,976,51.23%,61,413,474
"County School Trustee, Position 3, At Large",0160,246,140,386,688,56.10%,11,359,370
"County School Trustee, Position 3, At Large",0161,395,190,585,1030,56.80%,8,558,566
