Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0620,2382,856,3238,5271,61.43%,1475,1568,3043
"County School Trustee, Position 3, At Large",0621,397,203,600,1173,51.15%,279,289,568
"County School Trustee, Position 3, At Large",0622,1722,829,2551,4305,59.26%,1426,997,2423
"County School Trustee, Position 3, At Large",0623,1708,626,2334,3481,67.05%,1423,782,2205
"County School Trustee, Position 3, At Large",0624,9,0,9,16,56.25%,4,5,9
"County School Trustee, Position 3, At Large",0625,862,454,1316,1796,73.27%,705,510,1215
"County School Trustee, Position 3, At Large",0626,1148,655,1803,2838,63.53%,835,854,1689
"County School Trustee, Position 3, At Large",0627,795,647,1442,2964,48.65%,391,965,1356
"County School Trustee, Position 3, At Large",0628,292,456,748,1600,46.75%,298,412,710
"County School Trustee, Position 3, At Large",0629,175,127,302,629,48.01%,19,277,296
"County School Trustee, Position 3, At Large",0630,2018,535,2553,3190,80.03%,212,2250,2462
"County School Trustee, Position 3, At Large",0631,1489,392,1881,2733,68.83%,1288,498,1786
"County School Trustee, Position 3, At Large",0632,12,9,21,231,9.09%,6,12,18
"County School Trustee, Position 3, At Large",0633,1782,678,2460,3257,75.53%,1718,621,2339
"County School Trustee, Position 3, At Large",0634,1020,734,1754,2922,60.03%,1052,618,1670
"County School Trustee, Position 3, At Large",0635,1326,706,2032,3280,61.95%,1485,463,1948
"County School Trustee, Position 3, At Large",0636,1791,974,2765,3881,71.24%,2301,351,2652
"County School Trustee, Position 3, At Large",0637,739,509,1248,2471,50.51%,267,884,1151
"County School Trustee, Position 3, At Large",0638,740,684,1424,2078,68.53%,83,1278,1361
"County School Trustee, Position 3, At Large",0639,828,711,1539,2501,61.54%,1167,303,1470
"County School Trustee, Position 3, At Large",0640,1382,723,2105,3548,59.33%,1159,847,2006
"County School Trustee, Position 3, At Large",0641,1265,878,2143,3375,63.50%,1271,778,2049
"County School Trustee, Position 3, At Large",0642,871,447,1318,1779,74.09%,1039,216,1255
"County School Trustee, Position 3, At Large",0643,2157,994,3151,5310,59.34%,1158,1842,3000
"County School Trustee, Position 3, At Large",0644,2123,1204,3327,5261,63.24%,2012,1137,3149
"County School Trustee, Position 3, At Large",0645,1639,895,2534,4035,62.80%,1115,1276,2391
"County School Trustee, Position 3, At Large",0646,708,456,1164,2163,53.81%,316,786,1102
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0647,1770,1020,2790,5593,49.88%,677,1905,2582
"County School Trustee, Position 3, At Large",0648,1590,668,2258,3197,70.63%,1522,639,2161
"County School Trustee, Position 3, At Large",0649,1389,854,2243,4426,50.68%,592,1527,2119
"County School Trustee, Position 3, At Large",0650,1328,939,2267,3151,71.95%,1604,554,2158
"County School Trustee, Position 3, At Large",0651,2085,1070,3155,4931,63.98%,1900,1100,3000
"County School Trustee, Position 3, At Large",0652,1049,653,1702,2633,64.64%,266,1381,1647
"County School Trustee, Position 3, At Large",0653,0,8,8,0,0.00%,2,6,8
"County School Trustee, Position 3, At Large",0654,2103,1344,3447,5765,59.79%,1680,1572,3252
"County School Trustee, Position 3, At Large",0655,2612,1451,4063,6304,64.45%,2457,1389,3846
"County School Trustee, Position 3, At Large",0656,1198,421,1619,2622,61.75%,48,1523,1571
"County School Trustee, Position 3, At Large",0657,490,268,758,1200,63.17%,290,430,720
"County School Trustee, Position 3, At Large",0658,985,708,1693,2824,59.95%,983,645,1628
"County School Trustee, Position 3, At Large",0659,2141,1091,3232,4588,70.44%,2195,903,3098
"County School Trustee, Position 3, At Large",0660,2460,932,3392,5048,67.19%,311,2960,3271
"County School Trustee, Position 3, At Large",0661,1614,1012,2626,4179,62.84%,1338,1145,2483
"County School Trustee, Position 3, At Large",0662,2477,999,3476,4807,72.31%,2702,627,3329
"County School Trustee, Position 3, At Large",0663,1302,913,2215,3232,68.53%,1137,915,2052
"County School Trustee, Position 3, At Large",0664,681,607,1288,2801,45.98%,273,948,1221
"County School Trustee, Position 3, At Large",0665,951,394,1345,2007,67.02%,1063,216,1279
"County School Trustee, Position 3, At Large",0666,0,1,1,0,0.00%,0,1,1
"County School Trustee, Position 3, At Large",0657,989,547,1536,2181,70.43%,1109,336,1445
"County School Trustee, Position 3, At Large",0668,927,655,1582,2458,64.36%,949,566,1515
"County School Trustee, Position 3, At Large",0669,1606,823,2429,3243,74.90%,1641,659,2300
"County School Trustee, Position 3, At Large",0670,1566,518,2084,2952,70.60%,1532,438,1970
"County School Trustee, Position 3, At Large",0671,1090,773,1863,2942,63.32%,1040,710,1750
"County School Trustee, Position 3, At Large",0672,2301,1078,3379,4710,71.74%,2180,1071,3251
"County School Trustee, Position 3, At Large",0673,1376,643,2019,2988,67.57%,1528,384,1912
"County School Trustee, Position 3, At Large",0674,2092,813,2905,4055,71.64%,2078,741,2819
"County School Trustee, Position 3, At Large",0675,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0676,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0677,220,239,459,954,48.11%,118,314,432
"County School Trustee, Position 3, At Large",0678,297,164,461,756,60.98%,296,133,429
"County School Trustee, Position 3, At Large",0679,1466,661,2127,3331,63.85%,1511,498,2009
"County School Trustee, Position 3, At Large",0680,56,22,78,181,43.09%,33,37,70
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0681,1,0,1,5,20.00%,0,1,1
"County School Trustee, Position 3, At Large",0682,1673,912,2585,4134,62.53%,1803,667,2470
"County School Trustee, Position 3, At Large",0683,48,50,98,261,37.55%,22,70,92
"County School Trustee, Position 3, At Large",0684,72,24,96,187,51.34%,56,33,89
"County School Trustee, Position 3, At Large",0685,167,29,196,326,60.12%,85,99,184
"County School Trustee, Position 3, At Large",0686,46,34,80,196,40.82%,17,58,75
"County School Trustee, Position 3, At Large",0687,1084,641,1725,2497,69.08%,1105,499,1604
"County School Trustee, Position 3, At Large",0688,1815,673,2488,3266,76.18%,1918,448,2366
"County School Trustee, Position 3, At Large",0689,505,651,1156,2276,50.79%,516,549,1065
"County School Trustee, Position 3, At Large",0690,1965,1116,3081,4184,73.64%,2350,597,2947
"County School Trustee, Position 3, At Large",0691,10,2,12,34,35.29%,4,8,12
"County School Trustee, Position 3, At Large",0692,999,717,1716,2626,65.35%,1212,426,1638
"County School Trustee, Position 3, At Large",0693,303,116,419,651,64.36%,99,285,384
"County School Trustee, Position 3, At Large",0694,420,137,557,817,68.18%,350,178,528
"County School Trustee, Position 3, At Large",0695,454,320,774,1646,47.02%,457,280,737
"County School Trustee, Position 3, At Large",0696,600,373,973,2098,46.38%,566,364,930
"County School Trustee, Position 3, At Large",0697,1516,941,2457,4307,57.05%,525,1839,2364
"County School Trustee, Position 3, At Large",0698,1137,659,1796,2948,60.92%,168,1562,1730
"County School Trustee, Position 3, At Large",0699,1031,566,1597,2288,69.80%,979,501,1480
"County School Trustee, Position 3, At Large",0700,531,287,818,1313,62.30%,639,145,784
"County School Trustee, Position 3, At Large",0701,142,115,257,554,46.39%,124,123,247
"County School Trustee, Position 3, At Large",0702,150,123,273,549,49.73%,26,234,260
"County School Trustee, Position 3, At Large",0703,742,616,1358,1845,73.60%,925,339,1264
"County School Trustee, Position 3, At Large",0704,1334,701,2035,2882,70.61%,1599,332,1931
"County School Trustee, Position 3, At Large",0705,358,238,596,1520,39.21%,56,518,574
"County School Trustee, Position 3, At Large",0706,222,135,357,529,67.49%,161,184,345
"County School Trustee, Position 3, At Large",0707,284,136,420,707,59.41%,230,160,390
"County School Trustee, Position 3, At Large",0708,109,95,204,568,35.92%,93,99,192
"County School Trustee, Position 3, At Large",0709,2996,1297,4293,6239,68.81%,2462,1663,4125
"County School Trustee, Position 3, At Large",0710,877,602,1479,2023,73.11%,812,546,1358
"County School Trustee, Position 3, At Large",0711,1492,701,2193,3351,65.44%,1255,806,2061
"County School Trustee, Position 3, At Large",0712,1200,858,2058,3348,61.47%,798,1198,1996
"County School Trustee, Position 3, At Large",0713,665,436,1101,1827,60.26%,554,494,1048
"County School Trustee, Position 3, At Large",0714,77,3,80,304,26.32%,48,25,73
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0715,405,326,731,1380,52.97%,349,338,687
"County School Trustee, Position 3, At Large",0716,977,622,1599,2670,59.89%,1096,431,1527
"County School Trustee, Position 3, At Large",0717,826,362,1188,1927,61.65%,149,991,1140
"County School Trustee, Position 3, At Large",0718,1844,1019,2863,4050,70.69%,1811,862,2673
"County School Trustee, Position 3, At Large",0719,508,260,768,1617,47.50%,406,313,719
"County School Trustee, Position 3, At Large",0720,1575,1044,2619,3903,67.10%,1836,684,2520
"County School Trustee, Position 3, At Large",0721,1334,637,1971,2842,69.35%,1256,588,1844
"County School Trustee, Position 3, At Large",0722,1892,642,2534,4357,58.16%,151,2288,2439
"County School Trustee, Position 3, At Large",0723,747,329,1076,1760,61.14%,209,820,1029
"County School Trustee, Position 3, At Large",0724,325,170,495,716,69.13%,329,144,473
"County School Trustee, Position 3, At Large",0725,953,329,1282,2124,60.36%,506,706,1212
"County School Trustee, Position 3, At Large",0726,1141,304,1445,1987,72.72%,1225,158,1383
"County School Trustee, Position 3, At Large",0727,931,466,1397,2488,56.15%,318,1022,1340
"County School Trustee, Position 3, At Large",0728,343,208,551,881,62.54%,294,220,514
"County School Trustee, Position 3, At Large",0729,208,93,301,446,67.49%,173,114,287
"County School Trustee, Position 3, At Large",0730,800,437,1237,1630,75.89%,794,346,1140
"County School Trustee, Position 3, At Large",0731,121,36,157,373,42.09%,25,120,145
"County School Trustee, Position 3, At Large",0732,701,543,1244,1895,65.65%,716,448,1164
"County School Trustee, Position 3, At Large",0733,25,62,87,172,50.58%,28,52,80
"County School Trustee, Position 3, At Large",0734,3209,1114,4323,5952,72.63%,2834,1326,4160
"County School Trustee, Position 3, At Large",0735,9,0,9,23,39.1,3%,9,0,9
"County School Trustee, Position 3, At Large",0736,6,1,7,21,33.33%,1,5,6
"County School Trustee, Position 3, At Large",0737,25,5,30,53,56.60%,24,6,30
"County School Trustee, Position 3, At Large",0738,470,219,689,1294,53.25%,79,589,668
"County School Trustee, Position 3, At Large",0739,1005,490,1495,2872,52.05%,636,803,1439
"County School Trustee, Position 3, At Large",0740,233,205,438,935,46.84%,233,187,420
"County School Trustee, Position 3, At Large",0741,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0742,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0743,27,4,31,199,15.58%,13,16,29
"County School Trustee, Position 3, At Large",0744,848,509,1357,2024,67.05%,831,447,1278
"County School Trustee, Position 3, At Large",0745,1066,542,1608,2396,67.11%,970,551,1521
"County School Trustee, Position 3, At Large",0746,230,151,381,707,53.89%,171,175,346
"County School Trustee, Position 3, At Large",0747,1200,873,2073,3490,59.40%,938,1058,1996
"County School Trustee, Position 3, At Large",0748,420,307,727,1319,55.12%,309,371,680
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0749,99,57,156,359,43.45%,27,117,144
"County School Trustee, Position 3, At Large",0750,264,147,411,720,57.08%,225,165,390
"County School Trustee, Position 3, At Large",0751,1664,1254,2918,4451,65.56%,1886,893,2779
"County School Trustee, Position 3, At Large",0752,571,277,848,1511,56.12%,581,225,806
"County School Trustee, Position 3, At Large",0753,106,61,167,260,64.23%,107,55,162
"County School Trustee, Position 3, At Large",0754,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0755,1048,896,1944,3569,54.47%,699,1150,1849
"County School Trustee, Position 3, At Large",0756,582,300,882,1539,57.31%,290,545,835
"County School Trustee, Position 3, At Large",0757,1416,690,2106,3498,60.21%,320,1717,2037
"County School Trustee, Position 3, At Large",0758,1996,783,2779,3781,73.50%,2107,524,2631
"County School Trustee, Position 3, At Large",0759,1109,590,1699,2625,64.72%,979,613,1592
"County School Trustee, Position 3, At Large",0760,2346,647,2993,4154,72.05%,2378,478,2856
"County School Trustee, Position 3, At Large",0761,917,219,1136,1464,77.60%,784,277,1061
"County School Trustee, Position 3, At Large",0762,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0763,255,308,563,1184,47.55%,186,344,530
"County School Trustee, Position 3, At Large",0764,2270,1050,3320,4931,67.33%,2019,1157,3176
"County School Trustee, Position 3, At Large",0765,1390,815,2205,3967,55.58%,737,1363,2100
"County School Trustee, Position 3, At Large",0766,71,92,163,383,42.56%,34,110,144
"County School Trustee, Position 3, At Large",0767,20,15,35,90,38.89%,24,8,32
"County School Trustee, Position 3, At Large",0768,2854,1159,4013,5364,74.81%,3087,769,3856
"County School Trustee, Position 3, At Large",0769,117,5,122,161,75.78%,5,111,116
"County School Trustee, Position 3, At Large",0770,58,48,106,262,40.46%,44,57,101
"County School Trustee, Position 3, At Large",0771,701,537,1238,2378,52.06%,597,571,1168
"County School Trustee, Position 3, At Large",0772,2927,1002,3929,5617,69.95%,2836,920,3756
"County School Trustee, Position 3, At Large",0773,892,550,1442,2648,54.46%,339,1025,1364
"County School Trustee, Position 3, At Large",0774,116,74,190,301,63.12%,40,144,184
"County School Trustee, Position 3, At Large",0775,33,1,34,83,40.96%,0,33,33
"County School Trustee, Position 3, At Large",0776,1113,741,1854,2855,64.94%,1045,733,1778
"County School Trustee, Position 3, At Large",0777,83,123,206,642,32.09%,49,149,198
"County School Trustee, Position 3, At Large",0778,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0779,295,221,516,1146,45.03%,154,327,481
"County School Trustee, Position 3, At Large",0780,136,114,250,579,43.18%,103,135,238
"County School Trustee, Position 3, At Large",0781,1152,655,1807,3716,48.63%,629,997,1626
"County School Trustee, Position 3, At Large",0782,851,532,1383,2188,63.21%,801,489,1290
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0783,103,43,146,265,55.09%,80,59,139
"County School Trustee, Position 3, At Large",0784,428,156,584,1071,54.53%,7,556,563
"County School Trustee, Position 3, At Large",0785,66,55,121,310,39.03%,65,54,119
"County School Trustee, Position 3, At Large",0786,193,277,470,1297,36.24%,137,310,447
"County School Trustee, Position 3, At Large",0787,154,76,230,487,47.23%,69,143,212
"County School Trustee, Position 3, At Large",0788,156,58,214,481,44.49%,71,133,204
"County School Trustee, Position 3, At Large",0789,3,1,4,4,100.00%,0,2,2
"County School Trustee, Position 3, At Large",0790,1,0,1,4,25.00%,0,1,1
"County School Trustee, Position 3, At Large",0791,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0792,549,409,958,1834,52.24%,210,697,907
"County School Trustee, Position 3, At Large",0793,889,338,1227,2437,50.35%,669,504,1173
"County School Trustee, Position 3, At Large",0794,575,484,1059,2602,40.70%,79,942,1021
"County School Trustee, Position 3, At Large",0795,265,255,520,1207,43.08%,147,319,466
"County School Trustee, Position 3, At Large",0796,145,92,237,485,48.87%,112,110,222
"County School Trustee, Position 3, At Large",0797,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0798,176,263,439,496,88.51%,119,278,397
"County School Trustee, Position 3, At Large",0799,65,12,77,146,52.74%,15,58,73
"County School Trustee, Position 3, At Large",0800,1188,795,1983,2817,70.39%,1277,595,1872
"County School Trustee, Position 3, At Large",0801,68,55,123,253,48.62%,36,81,117
"County School Trustee, Position 3, At Large",0802,98,58,156,299,52.17%,32,112,144
"County School Trustee, Position 3, At Large",0803,1305,530,1935,2718,71.19%,1391,450,1841
"County School Trustee, Position 3, At Large",0804,1806,960,2766,4348,63.62%,1592,1036,2628
"County School Trustee, Position 3, At Large",0805,1509,529,2038,2812,72.48%,1569,360,1929
"County School Trustee, Position 3, At Large",0806,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0807,652,402,1054,2001,52.67%,147,856,1003
"County School Trustee, Position 3, At Large",0808,41,26,67,84,79.76%,27,32,59
"County School Trustee, Position 3, At Large",0809,21,e,27,86,31.40%,8,16,24
"County School Trustee, Position 3, At Large",0810,30,48,78,215,36.28%,17,54,71
"County School Trustee, Position 3, At Large",0811,39,106,145,271,53.51%,27,107,134
"County School Trustee, Position 3, At Large",0812,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0813,1967,1258,3225,5423,59.47%,1499,1608,3107
"County School Trustee, Position 3, At Large",0814,1772,955,2727,4503,60.56%,576,2028,2604
"County School Trustee, Position 3, At Large",0815,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0816,20,13,33,76,43.42%,6,26,32
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0817,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0818,134,101,235,527,44.59%,44,183,227
"County School Trustee, Position 3, At Large",0819,97,45,142,238,59.66%,83,40,123
"County School Trustee, Position 3, At Large",0820,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0821,354,203,557,1206,46.19%,41,493,534
"County School Trustee, Position 3, At Large",0822,584,282,866,1544,56.09%,24,816,840
"County School Trustee, Position 3, At Large",0823,1849,1015,2864,4710,60.81%,1422,1309,2731
"County School Trustee, Position 3, At Large",0824,984,471,1455,2729,53.32%,302,1101,1403
"County School Trustee, Position 3, At Large",0825,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0826,153,89,242,342,70.76%,131,95,226
"County School Trustee, Position 3, At Large",0827,169,186,355,997,35.61%,130,208,338
"County School Trustee, Position 3, At Large",0828,1074,343,1417,1875,75.57%,1098,247,1345
"County School Trustee, Position 3, At Large",0829,107,56,163,266,61.28%,34,126,160
"County School Trustee, Position 3, At Large",0830,0,0,0,1,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0831,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0832,109,46,155,351,44.16%,40,105,145
"County School Trustee, Position 3, At Large",0833,8,1,9,20,45.00%,0,9,9
"County School Trustee, Position 3, At Large",0834,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0835,87,53,140,292,47.95%,36,98,134
"County School Trustee, Position 3, At Large",0836,8,3,11,19,57.89%,0,9,9
"County School Trustee, Position 3, At Large",0837,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0838,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0839,353,240,593,1122,52.85%,106,447,553
"County School Trustee, Position 3, At Large",0840,712,251,963,1621,59.41%,314,614,928
"County School Trustee, Position 3, At Large",0841,0,2,2,0,0.00%,0,2,2
"County School Trustee, Position 3, At Large",0842,987,715,1702,3091,55.06%,723,902,1625
"County School Trustee, Position 3, At Large",0843,0,2,2,0,0.00%,0,2,2
"County School Trustee, Position 3, At Large",0844,2,4,6,1,3,46.1,5%,1,4,5
"County School Trustee, Position 3, At Large",0845,85,10,95,100,95.00%,52,36,88
"County School Trustee, Position 3, At Large",0846,70,29,99,210,47.14%,5,91,96
"County School Trustee, Position 3, At Large",0847,795,321,1116,1804,61.86%,291,783,1074
"County School Trustee, Position 3, At Large",0848,782,431,1213,1873,64.76%,357,803,1160
"County School Trustee, Position 3, At Large",0849,553,514,1067,2073,51.47%,323,678,1001
"County School Trustee, Position 3, At Large",0850,87,38,125,205,60.98%,48,71,119
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0851,2192,816,3008,4317,69.68%,1889,973,2862
"County School Trustee, Position 3, At Large",0852,0,4,4,2,200.00%,0,4,4
"County School Trustee, Position 3, At Large",0853,1412,605,2017,2773,72.74%,1485,427,1912
"County School Trustee, Position 3, At Large",0854,41,30,71,175,40.57%,4,65,69
"County School Trustee, Position 3, At Large",0855,4,13,17,18,94.44%,8,9,17
"County School Trustee, Position 3, At Large",0856,0,4,4,0,0.00%,1,2,3
"County School Trustee, Position 3, At Large",0857,0,0,0,1,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0858,132,18,150,372,40.32%,4,141,145
"County School Trustee, Position 3, At Large",0859,309,201,510,860,59.30%,97,402,499
"County School Trustee, Position 3, At Large",0860,0,1,1,0,0.00%,1,0,1
"County School Trustee, Position 3, At Large",0861,705,319,1024,1786,57.33%,172,822,994
"County School Trustee, Position 3, At Large",0862,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0863,210,69,279,620,45.00%,10,262,272
"County School Trustee, Position 3, At Large",0864,497,609,1106,2464,44.89%,263,783,1046
"County School Trustee, Position 3, At Large",0865,9,2,11,23,47.83%,0,11,11
"County School Trustee, Position 3, At Large",0866,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0867,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0868,573,586,1159,2292,50.57%,334,768,1102
"County School Trustee, Position 3, At Large",0869,153,76,229,473,48.41%,33,189,222
"County School Trustee, Position 3, At Large",0870,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0871,3,0,3,4,75.00%,0,3,3
"County School Trustee, Position 3, At Large",0872,13,5,18,66,27.27%,9,7,16
"County School Trustee, Position 3, At Large",0873,253,125,378,701,53.92%,88,282,370
"County School Trustee, Position 3, At Large",0874,1534,748,2282,3107,73.45%,1701,483,2184
"County School Trustee, Position 3, At Large",0875,1719,927,2646,4031,65.64%,1222,1315,2537
"County School Trustee, Position 3, At Large",0876,1629,639,2268,3013,75.27%,1574,592,2166
"County School Trustee, Position 3, At Large",0877,1030,642,1672,2480,67.42%,680,937,1617
"County School Trustee, Position 3, At Large",0878,853,350,1203,1641,73.31%,978,170,1148
"County School Trustee, Position 3, At Large",0879,890,527,1417,2334,60.71%,631,730,1361
"County School Trustee, Position 3, At Large",0880,1068,472,1540,2007,76.73%,1135,321,1456
"County School Trustee, Position 3, At Large",0881,1510,877,2387,3619,65.96%,737,1567,2304
"County School Trustee, Position 3, At Large",0882,940,457,1397,2328,60.01%,748,592,1340
"County School Trustee, Position 3, At Large",0883,1918,1042,2960,4651,63.64%,497,2377,2874
"County School Trustee, Position 3, At Large",0884,118,37,155,330,46.97%,20,130,150
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0885,1222,541,1763,2466,71.49%,1009,682,1691
"County School Trustee, Position 3, At Large",0886,301,154,455,713,63.81%,221,189,410
"County School Trustee, Position 3, At Large",0887,138,83,221,313,70.61%,119,74,193
"County School Trustee, Position 3, At Large",0888,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0889,22,0,22,61,36.07%,13,8,21
"County School Trustee, Position 3, At Large",0890,319,118,437,994,43.96%,151,259,410
"County School Trustee, Position 3, At Large",0891,539,392,931,1413,65.89%,341,531,872
"County School Trustee, Position 3, At Large",0892,193,130,323,696,46.41%,83,213,296
"County School Trustee, Position 3, At Large",0893,1,0,1,5,20.00%,0,1,1
"County School Trustee, Position 3, At Large",0894,0,31,31,0,0.00%,7,21,28
"County School Trustee, Position 3, At Large",0895,335,325,660,784,84.18%,253,337,590
"County School Trustee, Position 3, At Large",0896,670,303,973,1437,67.71%,357,531,888
"County School Trustee, Position 3, At Large",0897,742,375,1117,1624,68.78%,598,470,1068
"County School Trustee, Position 3, At Large",0898,0,0,0,2,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0899,4,0,4,8,50.00%,0,4,4
"County School Trustee, Position 3, At Large",0900,5,0,5,12,41.67%,1,3,4
"County School Trustee, Position 3, At Large",0901,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0902,865,621,1486,2065,71.96%,815,558,1373
"County School Trustee, Position 3, At Large",0903,10,1,11,41,26.83%,6,4,10
"County School Trustee, Position 3, At Large",0904,0,1,1,1,100.00%,0,1,1
"County School Trustee, Position 3, At Large",0905,290,168,458,908,50.44%,171,247,418
"County School Trustee, Position 3, At Large",0906,12,6,18,26,69.23%,9,8,17
"County School Trustee, Position 3, At Large",0907,60,43,103,134,76.87%,21,80,101
"County School Trustee, Position 3, At Large",0908,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0909,5,7,12,19,63.16%,5,6,11
"County School Trustee, Position 3, At Large",0910,55,34,89,226,39.38%,35,49,84
"County School Trustee, Position 3, At Large",0911,227,79,306,570,53.68%,190,98,288
"County School Trustee, Position 3, At Large",0912,675,221,896,1235,72.55%,536,299,835
"County School Trustee, Position 3, At Large",0913,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0914,169,67,236,221,106.79%,177,43,220
"County School Trustee, Position 3, At Large",0915,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0916,604,182,786,1045,75.22%,631,116,747
"County School Trustee, Position 3, At Large",0917,280,137,417,481,86.69%,277,106,383
"County School Trustee, Position 3, At Large",0918,489,135,624,883,70.67%,457,129,586
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,DEM Diane Trautman,Totals
"County School Trustee, Position 3, At Large",0919,0,3,3,3,100.00%,1,2,3
"County School Trustee, Position 3, At Large",0920,6,0,6,13,46.15%,6,0,6
"County School Trustee, Position 3, At Large",0921,71,9,80,87,91.95%,62,18,80
"County School Trustee, Position 3, At Large",0922,0,2,2,0,0.00%,1,1,2
"County School Trustee, Position 3, At Large",0923,663,87,750,826,90.80%,559,163,722
"County School Trustee, Position 3, At Large",0924,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0925,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0926,351,1,20,481,621,77.46%,359,98,457
"County School Trustee, Position 3, At Large",0927,84,74,158,262,60.31%,76,74,150
"County School Trustee, Position 3, At Large",0928,4,2,6,9,66.67%,0,6,6
"County School Trustee, Position 3, At Large",0929,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0930,200,77,277,567,48.85%,4,265,269
"County School Trustee, Position 3, At Large",0931,48,53,101,122,82.79%,45,43,88
"County School Trustee, Position 3, At Large",0932,0,5,5,0,0.00%,1,4,5
"County School Trustee, Position 3, At Large",0933,233,1,21,354,566,62.54%,87,249,336
"County School Trustee, Position 3, At Large",0934,12,1,13,41,31.71%,5,8,13
"County School Trustee, Position 3, At Large",0935,8,17,25,65,38.46%,12,12,24
"County School Trustee, Position 3, At Large",0936,12,10,22,70,31.43%,7,12,19
"County School Trustee, Position 3, At Large",0937,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 3, At Large",0938,73,14,87,256,33.98%,23,62,85
"County School Trustee, Position 3, At Large",0939,1,0,1,1,100.00%,0,1,1
"County School Trustee, Position 3, At Large",0940,1,0,1,13,7.69%,0,1,1
"County School Trustee, Position 3, At Large",0941,13,9,22,25,88.00%,20,2,22
