Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Hastings,"DEM Alfred (""Al"") Bennett",Totals
"District Judge, 61st Judicial District",0263,1785,719,2504,3319,75.44%,1816,575,2391
"District Judge, 61st Judicial District",0264,936,639,1575,2939,53.59%,806,646,1452
"District Judge, 61st Judicial District",0265,1936,674,2610,3617,72.16%,1778,635,2413
"District Judge, 61st Judicial District",0266,552,542,1094,2119,51.63%,481,553,1034
"District Judge, 61st Judicial District",0267,294,305,599,1346,44.50%,262,291,553
"District Judge, 61st Judicial District",0268,931,810,1741,2387,72.94%,982,588,1570
"District Judge, 61st Judicial District",0269,1143,444,1587,1981,80.11%,1116,362,1478
"District Judge, 61st Judicial District",0270,1401,870,2271,3517,64.57%,1222,875,2097
"District Judge, 61st Judicial District",0271,1303,371,1674,2469,67.80%,12,1617,1629
"District Judge, 61st Judicial District",0272,610,484,1094,2112,51.80%,397,635,1032
"District Judge, 61st Judicial District",0273,1139,634,1773,2426,73.08%,1337,329,1666
"District Judge, 61st Judicial District",0274,1049,364,1413,2063,68.49%,863,467,1330
"District Judge, 61st Judicial District",0275,567,410,977,1730,56.47%,156,777,933
"District Judge, 61st Judicial District",0276,1139,404,1543,2532,60.94%,8,1501,1509
"District Judge, 61st Judicial District",0277,342,305,647,1473,43.92%,271,353,624
"District Judge, 61st Judicial District",0278,756,607,1363,2405,56.67%,676,606,1282
"District Judge, 61st Judicial District",0279,548,383,931,1899,49.03%,544,336,880
"District Judge, 61st Judicial District",0280,303,360,663,1515,43.76%,220,399,619
"District Judge, 61st Judicial District",0281,1087,903,1990,2610,76.25%,881,869,1750
"District Judge, 61st Judicial District",0282,690,591,1281,1988,64.44%,708,500,1208
"District Judge, 61st Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 61st Judicial District",0284,1135,595,1730,3262,53.03%,633,1010,1643
"District Judge, 61st Judicial District",0285,988,509,1497,2505,59.76%,99,1343,1442
"District Judge, 61st Judicial District",0286,2657,1053,3710,5719,64.87%,298,3251,3549
"District Judge, 61st Judicial District",0287,647,542,1189,1616,73.58%,596,506,1102
"District Judge, 61st Judicial District",0288,1036,380,1416,2259,62.68%,18,1351,1369
"District Judge, 61st Judicial District",0289,374,397,771,1510,51.06%,300,412,712
"District Judge, 61st Judicial District",0290,577,429,1006,1567,64.20%,756,214,970
"District Judge, 61st Judicial District",0291,541,298,839,1203,69.74%,381,402,783
"District Judge, 61st Judicial District",0292,477,236,713,1272,56.05%,85,601,686
"District Judge, 61st Judicial District",0293,620,557,1177,1733,67.92%,499,587,1086
"District Judge, 61st Judicial District",0294,989,298,1287,2107,61.08%,10,1241,1251
"District Judge, 61st Judicial District",0295,314,189,503,862,58.35%,6,482,488
"District Judge, 61st Judicial District",0296,602,432,1034,1693,61.08%,575,365,940
"District Judge, 61st Judicial District",0297,576,445,1021,1978,51.62%,371,574,945
"District Judge, 61st Judicial District",0298,847,475,1322,2083,63.47%,697,528,1225
"District Judge, 61st Judicial District",0299,328,213,541,1231,43.95%,171,334,505
"District Judge, 61st Judicial District",0300,3013,922,3935,5040,78.08%,2951,752,3703
"District Judge, 61st Judicial District",0301,450,655,1105,2397,46.10%,393,648,1041
"District Judge, 61st Judicial District",0302,713,635,1348,2724,49.49%,701,558,1259
"District Judge, 61st Judicial District",0303,1772,755,2527,3172,79.67%,1832,533,2365
"District Judge, 61st Judicial District",0304,970,648,1618,2266,71.40%,829,641,1470
"District Judge, 61st Judicial District",0305,1319,858,2177,3621,60.12%,793,1284,2077
"District Judge, 61st Judicial District",0306,1013,323,1336,1847,72.33%,915,333,1248
"District Judge, 61st Judicial District",0307,1242,876,2118,2931,72.26%,1417,572,1989
"District Judge, 61st Judicial District",0308,444,238,682,1266,53.87%,177,467,644
"District Judge, 61st Judicial District",0309,1385,612,1997,2529,78.96%,1508,364,1872
"District Judge, 61st Judicial District",0310,517,348,965,1437,67.15%,622,276,898
"District Judge, 61st Judicial District",0311,862,699,1561,2997,52.09%,646,747,1393
"District Judge, 61st Judicial District",0312,1600,718,2318,3669,63.18%,1209,964,2173
"District Judge, 61st Judicial District",0313,22,1,23,60,38.33%,12,8,20
"District Judge, 61st Judicial District",0314,2494,1221,3715,5225,71.10%,2216,1342,3558
"District Judge, 61st Judicial District",0315,711,479,1190,1618,73.55%,663,433,1096
"District Judge, 61st Judicial District",0316,682,411,1093,1522,71.81%,555,440,995
"District Judge, 61st Judicial District",0317,551,336,887,1469,60.38%,257,587,844
"District Judge, 61st Judicial District",0318,1708,611,2319,3531,65.68%,91,2148,2239
"District Judge, 61st Judicial District",0319,965,290,1255,2081,60.31%,71,1137,1208
"District Judge, 61st Judicial District",0320,464,300,764,1505,50.76%,320,395,715
"District Judge, 61st Judicial District",0321,442,305,748,2029,36.87%,247,462,709
"District Judge, 61st Judicial District",0322,397,237,634,1322,47.96%,155,452,607
"District Judge, 61st Judicial District",0323,482,332,814,1719,47.35%,317,431,748
"District Judge, 61st Judicial District",0324,967,718,1685,2339,72.04%,1034,510,1544
"District Judge, 61st Judicial District",0325,656,397,1053,2251,46.78%,228,771,999
"District Judge, 61st Judicial District",0326,202,128,330,678,48.67%,128,171,299
"District Judge, 61st Judicial District",0327,725,244,970,1751,55.40%,14,924,938
"District Judge, 61st Judicial District",0328,344,270,614,1361,45.11%,224,357,581
"District Judge, 61st Judicial District",0329,405,307,712,1367,52.08%,209,451,660
"District Judge, 61st Judicial District",0330,590,376,966,1849,52.24%,423,475,898
"District Judge, 61st Judicial District",0331,0,1,1,0,0.00%,1,0,1
"District Judge, 61st Judicial District",0332,23,4,27,128,21.09%,9,16,25
"District Judge, 61st Judicial District",0333,1018,939,1957,2901,67.46%,1359,480,1839
"District Judge, 61st Judicial District",0334,255,114,369,755,48.87%,74,280,354
"District Judge, 61st Judicial District",0335,285,246,531,1227,43.28%,157,319,476
"District Judge, 61st Judicial District",0336,1818,588,2406,3161,76.12%,203,2123,2326
"District Judge, 61st Judicial District",0337,309,207,516,951,54.26%,85,417,502
