Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0902,868,621,1489,2065,72.11%,875,224,140,1239
"Justice, Supreme Court, Place 4",0903,10,1,11,41,26.83%,7,1,1,9
"Justice, Supreme Court, Place 4",0904,0,1,1,1,100.00%,0,1,0,1
"Justice, Supreme Court, Place 4",0905,290,158,458,908,50.44%,200,59,36,295
"Justice, Supreme Court, Place 4",0906,12,6,18,26,69.23%,11,1,3,15
"Justice, Supreme Court, Place 4",0907,61,43,104,134,77.61%,24,25,11,60
"Justice, Supreme Court, Place 4",0908,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0909,5,7,12,19,63.16%,7,3,0,10
"Justice, Supreme Court, Place 4",0910,55,34,89,226,39.38%,36,9,10,55
"Justice, Supreme Court, Place 4",0911,227,79,306,570,53.68%,202,31,15,248
"Justice, Supreme Court, Place 4",0912,677,221,898,1235,72.71%,559,79,55,693
"Justice, Supreme Court, Place 4",0913,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0914,173,67,240,221,108.60%,188,20,8,216
"Justice, Supreme Court, Place 4",0915,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0916,505,182,787,1045,75.31%,644,43,18,705
"Justice, Supreme Court, Place 4",0917,282,137,419,481,87.11%,297,48,25,370
"Justice, Supreme Court, Place 4",0918,489,135,624,883,70.67%,488,35,35,558
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0919,0,3,3,3,100.00%,1,2,0,3
"Justice, Supreme Court, Place 4",0920,6,0,6,13,46.15%,6,0,0,6
"Justice, Supreme Court, Place 4",0921,71,9,80,87,91.95%,63,6,7,76
"Justice, Supreme Court, Place 4",0922,0,2,2,0,0.00%,1,0,0,1
"Justice, Supreme Court, Place 4",0923,666,87,753,826,91.16%,587,50,23,660
"Justice, Supreme Court, Place 4",0924,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0925,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0926,351,120,481,621,77.46%,372,23,22,417
"Justice, Supreme Court, Place 4",0927,84,74,158,262,60.31%,80,21,13,114
"Justice, Supreme Court, Place 4",0928,4,2,6,9,66.67%,0,1,1,2
"Justice, Supreme Court, Place 4",0929,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0930,200,77,277,567,48.85%,14,37,14,65
"Justice, Supreme Court, Place 4",0931,48,53,101,122,82.79%,59,15,9,83
"Justice, Supreme Court, Place 4",0932,0,5,5,0,0.00%,3,1,1,5
"Justice, Supreme Court, Place 4",0933,235,121,357,566,63.07%,115,78,46,239
"Justice, Supreme Court, Place 4",0934,12,1,13,41,31.71%,5,6,0,11
"Justice, Supreme Court, Place 4",0935,8,17,25,65,38.46%,15,4,2,21
"Justice, Supreme Court, Place 4",0936,12,10,22,70,31.43%,7,1,0,8
"Justice, Supreme Court, Place 4",0937,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0938,73,14,87,256,33.98%,29,14,14,57
"Justice, Supreme Court, Place 4",0939,1,0,1,1,100.00%,0,1,0,1
"Justice, Supreme Court, Place 4",0940,1,0,1,13,7.69%,0,0,0,0
"Justice, Supreme Court, Place 4",0941,13,9,22,25,88.00%,21,0,0,21
"Justice, Supreme Court, Place 4",0942,68,24,92,159,57.86%,72,5,4,81
"Justice, Supreme Court, Place 4",0943,297,63,360,536,67.16%,264,25,13,302
"Justice, Supreme Court, Place 4",0944,30,6,36,39,92.31%,30,3,0,33
"Justice, Supreme Court, Place 4",0945,4,7,11,16,68.75%,2,2,0,4
"Justice, Supreme Court, Place 4",0946,3,3,6,14,42.86%,0,0,1,1
"Justice, Supreme Court, Place 4",0947,320,292,612,822,74.45%,327,78,80,485
"Justice, Supreme Court, Place 4",0948,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0949,59,37,96,201,47.76%,48,11,17,76
"Justice, Supreme Court, Place 4",0950,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0951,79,44,123,218,56.42%,33,27,14,74
"Justice, Supreme Court, Place 4",0952,24,16,40,70,57.14%,24,5,5,34
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0953,59,52,111,420,26.43%,10,26,11,47
"Justice, Supreme Court, Place 4",0954,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0955,5,20,25,18,138.89%,15,2,3,20
"Justice, Supreme Court, Place 4",0956,5,2,7,12,58.33%,4,0,2,6
"Justice, Supreme Court, Place 4",0957,261,115,376,551,68.24%,76,57,21,154
"Justice, Supreme Court, Place 4",0958,289,266,555,989,56.12%,128,73,34,235
"Justice, Supreme Court, Place 4",0959,0,4,4,0,0.00%,0,1,0,1
"Justice, Supreme Court, Place 4",0960,364,143,507,586,86.52%,156,75,44,275
"Justice, Supreme Court, Place 4",0961,23,11,34,53,64.15%,7,7,2,16
"Justice, Supreme Court, Place 4",0962,24,13,37,73,50.68%,6,12,7,25
"Justice, Supreme Court, Place 4",0963,130,69,199,353,56.37%,115,19,8,142
"Justice, Supreme Court, Place 4",0964,950,447,1397,1571,88.92%,882,168,74,1124
"Justice, Supreme Court, Place 4",0965,93,27,120,355,33.80%,82,9,6,97
"Justice, Supreme Court, Place 4",0966,305,160,465,1073,43.34%,140,88,36,264
"Justice, Supreme Court, Place 4",0967,48,15,63,98,64.29%,27,13,4,44
"Justice, Supreme Court, Place 4",0968,243,83,326,517,63.06%,83,58,30,171
"Justice, Supreme Court, Place 4",0969,335,82,417,584,71.40%,8,65,49,122
"Justice, Supreme Court, Place 4",0970,212,76,288,704,40.91%,44,28,26,98
"Justice, Supreme Court, Place 4",0971,27,21,48,129,37.21%,4,8,4,16
"Justice, Supreme Court, Place 4",0972,10,7,17,29,58.62%,11,1,2,14
"Justice, Supreme Court, Place 4",0973,49,24,73,107,68.22%,45,9,10,64
"Justice, Supreme Court, Place 4",0974,101,71,172,299,57.53%,114,12,25,151
"Justice, Supreme Court, Place 4",0975,72,41,113,170,66.47%,54,17,12,83
"Justice, Supreme Court, Place 4",0976,159,131,290,684,42.40%,182,27,11,220
"Justice, Supreme Court, Place 4",0977,105,83,188,535,35.14%,76,20,7,103
"Justice, Supreme Court, Place 4",0978,201,102,303,506,59.88%,64,59,25,148
"Justice, Supreme Court, Place 4",0979,5,e,11,26,42.31%,11,0,0,11
"Justice, Supreme Court, Place 4",0980,596,356,952,1323,71.96%,721,77,32,830
"Justice, Supreme Court, Place 4",0981,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0982,534,218,752,1021,73.65%,587,52,24,663
"Justice, Supreme Court, Place 4",0983,41,28,69,165,41.82%,43,10,7,60
"Justice, Supreme Court, Place 4",0984,43,49,92,198,46.46%,7,23,12,42
"Justice, Supreme Court, Place 4",0985,172,67,239,336,71.13%,135,29,24,188
"Justice, Supreme Court, Place 4",0986,129,86,215,404,53.22%,25,44,18,87
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0987,465,191,656,1138,57.64%,74,81,44,199
"Justice, Supreme Court, Place 4",0988,44,21,65,111,58.56%,55,2,1,58
"Justice, Supreme Court, Place 4",0989,18,8,26,36,72.22%,11,5,1,17
"Justice, Supreme Court, Place 4",0990,37,15,52,154,33.77%,22,6,2,30
"Justice, Supreme Court, Place 4",0991,0,0,0,1,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0992,310,202,512,1015,50.44%,306,52,30,388
"Justice, Supreme Court, Place 4",0993,272,91,363,551,65.88%,287,24,19,330
"Justice, Supreme Court, Place 4",0994,6,5,11,8,137.50%,2,2,3,7
"Justice, Supreme Court, Place 4",0995,598,190,788,1269,62.10%,77,123,82,282
"Justice, Supreme Court, Place 4",0996,297,125,422,699,60.37%,246,44,20,310
"Justice, Supreme Court, Place 4",0997,432,328,760,1439,52.81%,154,149,70,373
"Justice, Supreme Court, Place 4",0998,15,9,24,35,68.57%,20,0,1,21
"Justice, Supreme Court, Place 4",0999,30,16,46,65,70.77%,36,1,1,38
"Justice, Supreme Court, Place 4",1000,105,0,105,458,22.93%,24,15,12,51
"Justice, Supreme Court, Place 4",1001,496,294,790,1566,50.45%,187,125,67,379
"Justice, Supreme Court, Place 4",1002,465,314,779,1738,44.82%,108,146,81,335
"Justice, Supreme Court, Place 4",1003,0,0,0,1,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",1004,225,153,378,656,57.62%,198,56,30,284
"Justice, Supreme Court, Place 4",1005,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",1006,3,0,3,5,60.00%,3,0,0,3
"Justice, Supreme Court, Place 4",1007,556,295,851,1371,62.07%,242,146,71,459
"Justice, Supreme Court, Place 4",1008,86,21,107,150,71.33%,84,6,7,97
"Justice, Supreme Court, Place 4",1009,3,1,4,8,50.00%,4,0,0,4
"Justice, Supreme Court, Place 4",1010,125,74,199,317,62.78%,40,46,24,110
"Justice, Supreme Court, Place 4",1011,12,3,15,29,51.72%,7,1,1,9
"Justice, Supreme Court, Place 4",1012,395,318,713,1235,57.73%,215,83,32,330
"Justice, Supreme Court, Place 4",1013,8,14,22,60,36.67%,16,1,0,17
"Justice, Supreme Court, Place 4",1,014,9,7,1,6,36,44.44%,3,1,3,7
"Justice, Supreme Court, Place 4",1015,11,7,18,29,62.07%,4,1,2,7
"Justice, Supreme Court, Place 4",1016,593,364,957,1626,58.86%,464,156,74,694
"Justice, Supreme Court, Place 4",1017,127,50,177,232,76.29%,61,32,9,102
"Justice, Supreme Court, Place 4",1018,209,92,301,468,64.32%,148,35,19,202
"Justice, Supreme Court, Place 4",1019,427,4,431,1518,28.39%,25,84,39,148
"Justice, Supreme Court, Place 4",1020,0,0,0,1,0.00%,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",1021,1,0,1,2,50.00%,0,0,0,0
"Justice, Supreme Court, Place 4",1022,190,30,220,426,51.64%,176,12,8,196
"Justice, Supreme Court, Place 4",1023,898,401,1299,1964,66.14%,887,134,71,1092
"Justice, Supreme Court, Place 4",1024,113,77,190,259,73.36%,101,27,22,150
"Justice, Supreme Court, Place 4",1025,4,0,4,18,22.22%,1,0,0,1
"Justice, Supreme Court, Place 4",1026,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",1027,0,1,1,1,100.00%,0,0,0,0
"Justice, Supreme Court, Place 4",1028,0,1,1,0,0.00%,1,0,0,1
"Justice, Supreme Court, Place 4",1029,1023,641,1664,1802,92.34%,1292,110,69,1471
"Justice, Supreme Court, Place 4",1030,398,105,503,655,76.79%,442,21,9,472
"Justice, Supreme Court, Place 4",1031,3,3,6,6,100.00%,5,0,0,5
"Justice, Supreme Court, Place 4",1032,59,80,139,241,57.68%,101,7,7,115
"Justice, Supreme Court, Place 4",1033,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",1034,0,0,0,1,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",1035,24,13,37,139,26.62%,9,5,2,16
"Justice, Supreme Court, Place 4",1036,144,46,190,433,43.88%,148,9,4,161
"Justice, Supreme Court, Place 4",1037,27,16,43,73,58.90%,22,4,3,29
"Justice, Supreme Court, Place 4",1038,133,43,176,266,66.17%,12,11,14,37
"Justice, Supreme Court, Place 4",1039,3,5,8,20,40.00%,3,2,0,5
"Justice, Supreme Court, Place 4",1040,195,146,341,607,56.18%,175,64,20,259
"Justice, Supreme Court, Place 4",1041,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",1042,228,50,278,498,55.82%,86,44,24,154
"Justice, Supreme Court, Place 4",1043,12,2,14,31,45.16%,3,2,1,6
"Justice, Supreme Court, Place 4",1044,29,5,34,59,57.63%,7,4,4,15
"Justice, Supreme Court, Place 4",1045,615,321,936,1439,65.05%,161,189,91,441
"Justice, Supreme Court, Place 4",1046,19,18,37,54,68.52%,8,5,3,16
"Justice, Supreme Court, Place 4",1047,554,288,852,1242,68.60%,297,167,70,534
"Justice, Supreme Court, Place 4",1048,3,1,4,18,22.22%,2,0,0,2
"Justice, Supreme Court, Place 4",1049,57,71,128,266,48.12%,48,17,12,77
"Justice, Supreme Court, Place 4",1050,148,153,301,506,59.49%,82,42,34,158
"Justice, Supreme Court, Place 4",1051,0,12,12,0,0.00%,10,1,1,12
"Justice, Supreme Court, Place 4",1052,0,2,2,0,0.00%,1,0,0,1
"Justice, Supreme Court, Place 4",1053,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",1054,0,0,0,1,0.00%,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",1055,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",1056,4,0,4,6,66.67%,1,0,1,2
"Justice, Supreme Court, Place 4",1057,34,7,41,115,35.65%,3,5,4,12
"Justice, Supreme Court, Place 4",1058,540,246,786,1190,66.05%,158,119,63,340
"Justice, Supreme Court, Place 4",1059,7,3,10,23,43.48%,3,0,1,4
"Justice, Supreme Court, Place 4",1060,13,4,17,49,34.69%,10,2,0,12
"Justice, Supreme Court, Place 4",1061,666,300,966,1613,59.89%,557,119,51,727
"Justice, Supreme Court, Place 4",1062,59,25,85,168,50.60%,24,18,5,47
"Justice, Supreme Court, Place 4",1063,226,63,289,792,36.49%,37,39,23,99
"Justice, Supreme Court, Place 4",1064,45,1,46,120,38.33%,32,8,2,42
"Justice, Supreme Court, Place 4",Totals:,775751,427100,1202851,1942566,,609382,144440,87359,841181
