Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0245,2344,1115,3459,5240,66.01%,2316,332,151,2799
"Justice, Supreme Court, Place 4",0246,1584,624,2208,2999,73.62%,1541,196,85,1822
"Justice, Supreme Court, Place 4",0247,422,403,825,1607,51.34%,36,103,68,207
"Justice, Supreme Court, Place 4",0248,408,405,813,2122,38.31%,227,117,39,383
"Justice, Supreme Court, Place 4",0249,1031,481,1512,2676,56.50%,1020,138,59,1217
"Justice, Supreme Court, Place 4",0250,306,247,553,951,58.15%,22,67,35,124
"Justice, Supreme Court, Place 4",0251,809,529,1338,2072,64.58%,91,172,74,337
"Justice, Supreme Court, Place 4",0252,1111,356,1467,2350,62.43%,53,166,58,277
"Justice, Supreme Court, Place 4",0253,923,325,1248,2252,55.42%,51,132,78,261
"Justice, Supreme Court, Place 4",0254,220,282,502,1476,34.01%,153,63,33,249
"Justice, Supreme Court, Place 4",0255,996,797,1793,2411,74.37%,891,283,232,1406
"Justice, Supreme Court, Place 4",0256,1060,766,1826,3226,56.60%,828,244,209,1281
"Justice, Supreme Court, Place 4",0257,554,571,1125,2403,46.82%,301,173,88,562
"Justice, Supreme Court, Place 4",0258,1578,888,2466,3286,75.05%,1833,172,144,2149
"Justice, Supreme Court, Place 4",0259,1210,460,1670,2408,69.35%,75,199,99,373
"Justice, Supreme Court, Place 4",0260,420,290,710,1187,59.81%,401,91,45,537
"Justice, Supreme Court, Place 4",0261,176,133,309,749,41.26%,107,49,23,179
"Justice, Supreme Court, Place 4",0262,1472,906,2378,4232,56.19%,1411,283,201,1895
"Justice, Supreme Court, Place 4",0263,1787,719,2506,3319,75.50%,1868,191,86,2145
"Justice, Supreme Court, Place 4",0264,938,639,1577,2939,53.66%,882,178,121,1181
"Justice, Supreme Court, Place 4",0265,1937,674,2611,3617,72.19%,1929,207,109,2245
"Justice, Supreme Court, Place 4",0266,552,542,1094,2119,51.63%,545,125,83,753
"Justice, Supreme Court, Place 4",0267,294,305,599,1346,44.50%,293,62,27,382
"Justice, Supreme Court, Place 4",0268,932,810,1742,2387,72.98%,1120,160,143,1423
"Justice, Supreme Court, Place 4",0269,1143,444,1587,1981,80.11%,1267,105,44,1416
"Justice, Supreme Court, Place 4",0270,1403,870,2273,3517,64.63%,1336,269,200,1805
"Justice, Supreme Court, Place 4",0271,1303,371,1674,2469,67.80%,75,245,156,476
"Justice, Supreme Court, Place 4",0272,614,484,1098,2112,51.99%,438,240,117,795
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0273,1141,634,1775,2426,73.17%,1427,114,69,1610
"Justice, Supreme Court, Place 4",0274,1054,364,1418,2063,68.73%,967,154,110,1231
"Justice, Supreme Court, Place 4",0275,570,410,980,1730,56.65%,196,142,96,434
"Justice, Supreme Court, Place 4",0276,1139,404,1543,2532,60.94%,53,243,121,417
"Justice, Supreme Court, Place 4",0277,342,305,647,1473,43.92%,307,68,44,419
"Justice, Supreme Court, Place 4",0278,756,607,1363,2405,56.67%,783,116,72,971
"Justice, Supreme Court, Place 4",0279,548,383,931,1899,49.03%,593,79,56,728
"Justice, Supreme Court, Place 4",0280,303,360,663,1515,43.76%,269,99,38,406
"Justice, Supreme Court, Place 4",0281,1088,903,1991,2610,76.28%,1117,204,229,1550
"Justice, Supreme Court, Place 4",0282,691,591,1282,1988,64.49%,775,159,97,1031
"Justice, Supreme Court, Place 4",0283,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0284,1136,595,1731,3262,53.07%,716,239,169,1124
"Justice, Supreme Court, Place 4",0285,989,509,1498,2505,59.80%,184,212,154,550
"Justice, Supreme Court, Place 4",0286,2659,1053,3712,5719,64.91%,521,756,396,1673
"Justice, Supreme Court, Place 4",0287,547,542,1189,1616,73.58%,648,158,151,957
"Justice, Supreme Court, Place 4",0288,1036,380,1416,2259,62.68%,59,206,129,394
"Justice, Supreme Court, Place 4",0289,374,397,771,1510,51.06%,352,87,59,498
"Justice, Supreme Court, Place 4",0290,577,429,1006,1567,64.20%,773,67,35,875
"Justice, Supreme Court, Place 4",0291,541,298,839,1203,69.74%,436,110,84,630
"Justice, Supreme Court, Place 4",0292,478,236,714,1272,56.13%,109,132,69,310
"Justice, Supreme Court, Place 4",0293,520,557,1177,1733,67.92%,573,158,154,885
"Justice, Supreme Court, Place 4",0294,989,298,1287,2107,61.08%,49,195,110,354
"Justice, Supreme Court, Place 4",0295,315,189,504,862,58.47%,19,65,47,131
"Justice, Supreme Court, Place 4",0296,603,432,1035,1693,61.13%,618,110,78,806
"Justice, Supreme Court, Place 4",0297,579,445,1024,1978,51.77%,426,122,90,638
"Justice, Supreme Court, Place 4",0298,849,475,1324,2083,63.56%,742,196,121,1059
