Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
"State Senator, District 13",0865,9,2,11,23,47.83%,11,11
"State Senator, District 13",0866,0,0,0,0,0.00%,0,0
"State Senator, District 13",0867,0,0,0,0,0.00%,0,0
"State Senator, District 13",0869,153,75,229,473,48.41%,196,196
"State Senator, District 13",0890,319,118,437,994,43.96%,285,285
"State Senator, District 13",0892,193,130,323,696,46.41%,229,229
"State Senator, District 13",0893,1,0,1,5,20.00%,1,1
"State Senator, District 13",0900,5,0,5,12,41.67%,4,4
"State Senator, District 13",0929,0,0,0,0,0.00%,0,0
"State Senator, District 13",0938,73,14,87,256,33.98%,62,62
"State Senator, District 13",0947,320,292,612,822,74.45%,304,304
"State Senator, District 13",0948,0,0,0,0,0.00%,0,0
"State Senator, District 13",0949,59,37,96,201,47.76%,56,56
"State Senator, District 13",0962,24,13,37,73,50.68%,29,29
"State Senator, District 13",0969,335,82,417,584,71.40%,403,403
"State Senator, District 13",0985,172,67,239,336,71.13%,140,140
"State Senator, District 13",0986,129,86,215,404,53.22%,184,184
"State Senator, District 13",0990,37,15,52,154,33.77%,36,36
"State Senator, District 13",0994,6,5,11,8,137.50%,9,9
"State Senator, District 13",0995,596,190,786,1269,61.94%,742,742
"State Senator, District 13",1000,105,0,105,458,22.93%,82,82
"State Senator, District 13",1001,496,294,790,1566,50.45%,644,644
"State Senator, District 13",1002,464,314,778,1738,44.76%,680,680
"State Senator, District 13",1010,124,74,198,317,62.46%,167,167
"State Senator, District 13",1019,427,4,431,1518,28.39%,402,402
"State Senator, District 13",1020,0,0,0,1,0.00%,0,0
"State Senator, District 13",Totals:,117902,58272,176174,307788,,148250,148250
