Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0256,1059,766,1825,3226,56.57%,686,1005,1691
"District Judge, 129th Judicial District",0257,553,571,1124,2403,46.77%,245,834,1079
"District Judge, 129th Judicial District",0258,1577,888,2465,3286,75.02%,1786,487,2273
"District Judge, 129th Judicial District",0259,1,1210,460,1670,2408,69.35%,25,1605,1630
"District Judge, 129th Judicial District",0260,420,290,710,1187,59.81%,373,301,674
"District Judge, 129th Judicial District",0261,176,133,309,749,41.26%,86,208,294
"District Judge, 129th Judicial District",0262,1470,906,2376,4232,56.14%,1364,838,2202
"District Judge, 129th Judicial District",0263,1785,719,2504,3319,75.44%,1837,556,2393
"District Judge, 129th Judicial District",0264,936,639,1575,2939,53.59%,828,624,1452
"District Judge, 129th Judicial District",0265,1936,674,2610,3617,72.16%,1917,500,2417
"District Judge, 129th Judicial District",0266,552,542,1094,2119,51.63%,477,556,1033
"District Judge, 129th Judicial District",0267,294,305,599,1346,44.50%,256,302,558
"District Judge, 129th Judicial District",0268,931,810,1741,2387,72.94%,1046,517,1563
"District Judge, 129th Judicial District",0269,1143,444,1587,1981,80.11%,1236,242,1478
"District Judge, 129th Judicial District",0270,1401,870,2271,3517,64.57%,1232,869,2101
"District Judge, 129th Judicial District",0271,1303,371,1674,2469,67.80%,18,1608,1626
"District Judge, 129th Judicial District",0272,610,484,1094,2112,51.80%,405,629,1034
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0273,1139,634,1773,2426,73.08%,1406,253,1659
"District Judge, 129th Judicial District",0274,1049,364,1413,2063,68.49%,932,394,1326
"District Judge, 129th Judicial District",0275,567,410,977,1730,56.47%,149,788,937
"District Judge, 129th Judicial District",0276,1139,404,1543,2532,60.94%,9,1496,1505
"District Judge, 129th Judicial District",0277,342,305,647,1473,43.92%,275,352,627
"District Judge, 129th Judicial District",0278,756,607,1363,2405,56.67%,665,621,1286
"District Judge, 129th Judicial District",0279,548,383,931,1899,49.03%,542,338,880
"District Judge, 129th Judicial District",0280,303,360,663,1515,43.76%,210,405,615
