Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0246,1584,624,2208,2999,73.62%,1441,654,2095
"District Judge, 215th Judicial District",0247,421,403,824,1607,51.28%,12,789,801
"District Judge, 215th Judicial District",0248,408,405,813,2122,38.31%,182,584,766
"District Judge, 215th Judicial District",0249,1028,481,1509,2676,56.39%,956,472,1428
"District Judge, 215th Judicial District",0250,306,247,553,951,58.15%,7,538,545
"District Judge, 215th Judicial District",0251,809,529,1338,2072,64.58%,52,1238,1290
"District Judge, 215th Judicial District",0252,1111,356,1467,2350,62.43%,19,1407,1426
"District Judge, 215th Judicial District",0253,923,325,1248,2252,55.42%,14,1214,1228
"District Judge, 215th Judicial District",0254,220,282,502,1476,34.01%,115,348,463
"District Judge, 215th Judicial District",0255,995,797,1792,2411,74.33%,819,818,1637
"District Judge, 215th Judicial District",0256,1059,766,1825,3226,56.57%,681,987,1668
"District Judge, 215th Judicial District",0257,553,571,1124,2403,46.77%,247,818,1065
"District Judge, 215th Judicial District",0258,1577,888,2465,3286,75.02%,1744,489,2233
"District Judge, 215th Judicial District",0259,1210,460,1670,2408,69.35%,20,1610,1630
"District Judge, 215th Judicial District",0260,420,290,710,1187,59.81%,364,309,673
"District Judge, 215th Judicial District",0261,176,133,309,749,41.26%,92,200,292
"District Judge, 215th Judicial District",0262,1470,906,2376,4232,56.14%,1323,866,2189
"District Judge, 215th Judicial District",0263,1785,719,2504,3319,75.44%,1821,568,2389
"District Judge, 215th Judicial District",0264,936,639,1575,2939,53.59%,808,634,1442
"District Judge, 215th Judicial District",0265,1936,674,2610,3617,72.16%,1867,511,2378
"District Judge, 215th Judicial District",0266,552,542,1094,2119,51.63%,460,567,1027
"District Judge, 215th Judicial District",0267,294,305,599,1346,44.50%,250,302,552
"District Judge, 215th Judicial District",0268,931,810,1741,2387,72.94%,1012,523,1535
"District Judge, 215th Judicial District",0269,1143,444,1587,1981,80.11%,1223,240,1463
"District Judge, 215th Judicial District",0270,1401,870,2271,3517,64.57%,1212,859,2071
"District Judge, 215th Judicial District",0271,1303,371,1674,2469,67.80%,10,1621,1631
"District Judge, 215th Judicial District",0272,610,484,1094,2112,51.80%,392,638,1030
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0273,1139,634,1773,2426,73.08%,1382,261,1643
"District Judge, 215th Judicial District",0274,1049,364,1413,2063,68.49%,921,395,1316
"District Judge, 215th Judicial District",0275,567,410,977,1730,56.47%,156,774,930
"District Judge, 215th Judicial District",0276,1139,404,1543,2532,60.94%,8,1500,1508
"District Judge, 215th Judicial District",0277,342,305,647,1473,43.92%,267,352,619
"District Judge, 215th Judicial District",0278,756,607,1363,2405,56.67%,685,597,1282
"District Judge, 215th Judicial District",0279,548,383,931,1899,49.03%,537,336,873
"District Judge, 215th Judicial District",0280,303,360,663,1515,43.76%,209,406,615
"District Judge, 215th Judicial District",0281,1087,903,1990,2610,76.25%,944,764,1708
"District Judge, 215th Judicial District",0282,690,591,1281,1988,64.44%,734,469,1203
