Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Nathan Hecht,DEM Michele Petty,LIB Mark Ash,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 6",0175,1066,867,1933,2506,77.13%,946,803,39,24,1812
"Justice, Supreme Court, Place 6",0176,627,530,1157,1581,73.18%,617,417,30,13,1077
"Justice, Supreme Court, Place 6",0177,676,385,1061,1478,71.79%,606,359,43,3,1011
"Justice, Supreme Court, Place 6",0178,914,368,1282,1718,74.62%,822,340,38,8,1208
"Justice, Supreme Court, Place 6",0179,449,321,770,1508,51.06%,317,366,29,10,722
"Justice, Supreme Court, Place 6",0180,966,552,1518,2795,54.31%,33,1410,4,11,1458
"Justice, Supreme Court, Place 6",0181,418,514,932,1968,47.36%,255,610,15,13,893
"Justice, Supreme Court, Place 6",0182,1326,1081,2407,3289,73.18%,1398,753,54,31,2236
"Justice, Supreme Court, Place 6",0183,973,943,1916,2451,78.17%,1253,500,39,12,1804
"Justice, Supreme Court, Place 6",0184,214,256,470,969,48.50%,121,300,3,8,432
"Justice, Supreme Court, Place 6",0185,593,494,1087,1910,56.91%,321,683,15,8,1027
"Justice, Supreme Court, Place 6",0186,204,170,374,795,47.04%,35,307,3,3,348
"Justice, Supreme Court, Place 6",0187,48,65,113,309,36.57%,27,80,1,3,111
"Justice, Supreme Court, Place 6",0188,307,378,685,1616,42.39%,225,408,17,8,658
"Justice, Supreme Court, Place 6",0189,493,473,966,1453,66.48%,483,351,39,23,896
"Justice, Supreme Court, Place 6",0190,275,401,676,1720,39.30%,209,404,15,14,642
"Justice, Supreme Court, Place 6",0191,197,313,510,1391,36.66%,163,314,5,8,490
"Justice, Supreme Court, Place 6",0192,746,332,1078,2045,52.71%,32,1000,6,6,1044
"Justice, Supreme Court, Place 6",0193,341,269,610,1050,58.10%,10,574,1,5,590
"Justice, Supreme Court, Place 6",0194,709,504,1213,1735,69.91%,328,754,42,27,1151
"Justice, Supreme Court, Place 6",0195,539,419,958,1721,55.67%,25,892,10,4,931
"Justice, Supreme Court, Place 6",0196,121,55,176,323,54.49%,7,160,2,0,169
"Justice, Supreme Court, Place 6",0197,1109,497,1606,2895,55.47%,31,1509,11,8,1559
"Justice, Supreme Court, Place 6",0198,143,158,301,657,45.81%,4,282,3,1,290
"Justice, Supreme Court, Place 6",0199,1408,773,2181,3159,69.04%,1563,457,61,22,2103
"Justice, Supreme Court, Place 6",0200,1643,585,2228,3222,69.15%,982,999,77,34,2092
"Justice, Supreme Court, Place 6",0201,229,1,25,354,728,48.63%,9,330,1,4,344
"Justice, Supreme Court, Place 6",0202,488,332,820,1479,55.44%,15,757,3,10,785
"Justice, Supreme Court, Place 6",0203,266,156,422,900,46.89%,77,311,8,6,402
"Justice, Supreme Court, Place 6",0204,1495,914,2410,3462,69.61%,1301,884,59,34,2278
"Justice, Supreme Court, Place 6",0205,656,201,1057,1667,63.41%,15,1003,7,2,1027
"Justice, Supreme Court, Place 6",0206,652,659,1311,2662,49.25%,353,606,49,36,1244
"Justice, Supreme Court, Place 6",0207,410,310,720,1144,62.94%,221,414,19,16,670
"Justice, Supreme Court, Place 6",0206,606,364,1172,2201,53.25%,272,790,22,17,1101
"Justice, Supreme Court, Place 6",0209,0,4,4,0,0.00%,4,0,0,0,4
"Justice, Supreme Court, Place 6",0210,1016,542,1560,2300,67.63%,151,1296,26,25,1496
"Justice, Supreme Court, Place 6",0211,710,666,1396,2797,49.91%,449,609,25,22,1305
"Justice, Supreme Court, Place 6",0212,219,314,533,1266,42.10%,91,397,9,5,502
"Justice, Supreme Court, Place 6",0213,1603,939,2542,3306,76.64%,1959,424,36,14,2433
"Justice, Supreme Court, Place 6",0214,600,544,1344,1795,74.67%,796,401,37,21,1255
"Justice, Supreme Court, Place 6",0215,645,766,1631,2166,75.23%,953,519,49,19,1540
"Justice, Supreme Court, Place 6",0216,764,320,1104,1917,57.59%,74,960,12,4,1070
"Justice, Supreme Court, Place 6",0217,1399,651,2050,2637,77.74%,1316,540,46,19,1925
"Justice, Supreme Court, Place 6",0216,690,606,1296,2274,57.06%,357,603,31,20,1211
"Justice, Supreme Court, Place 6",0219,1119,587,1706,2654,64.26%,116,1474,16,16,1626
"Justice, Supreme Court, Place 6",0220,711,353,1064,2360,45.06%,666,266,17,17,1010
"Justice, Supreme Court, Place 6",0221,700,611,1311,2469,52.67%,493,675,30,16,1216
"Justice, Supreme Court, Place 6",0222,1001,792,1793,2364,75.21%,632,755,35,26,1650
"Justice, Supreme Court, Place 6",0223,1361,760,2121,3526,60.12%,555,1346,77,27,2007
"Justice, Supreme Court, Place 6",0224,696,649,1547,2259,66.46%,703,693,31,19,1446
"Justice, Supreme Court, Place 6",0225,1113,720,1633,3155,56.10%,740,990,34,12,1776
"Justice, Supreme Court, Place 6",0226,529,545,1074,2393,44.66%,196,746,23,17,964
"Justice, Supreme Court, Place 6",0227,949,451,1400,1767,79.23%,1052,226,32,7,1319
"Justice, Supreme Court, Place 6",0226,564,165,749,1073,69.60%,23,691,4,9,727
"Justice, Supreme Court, Place 6",0229,152,207,359,611,44.27%,97,231,4,6,340
"Justice, Supreme Court, Place 6",0230,421,153,574,1096,52.37%,11,532,4,4,551
"Justice, Supreme Court, Place 6",0231,563,471,1034,2219,46.60%,232,704,25,19,960
