Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Nathan Hecht,DEM Michele Petty,LIB Mark Ash,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 6",0900,5,0,5,12,41.67%,0,4,0,0,4
"Justice, Supreme Court, Place 6",0901,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0902,868,621,1489,2065,72.11%,800,515,54,27,1396
"Justice, Supreme Court, Place 6",0903,10,1,11,41,26.83%,5,5,0,0,10
"Justice, Supreme Court, Place 6",0904,0,1,1,1,100.00%,0,1,0,0,1
"Justice, Supreme Court, Place 6",0905,290,158,458,908,50.44%,160,250,12,5,427
"Justice, Supreme Court, Place 6",0906,12,6,18,26,69.23%,9,9,0,0,18
"Justice, Supreme Court, Place 6",0907,61,43,104,134,77.61%,20,79,2,1,102
"Justice, Supreme Court, Place 6",0908,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0909,5,7,12,19,63.16%,5,6,1,0,12
"Justice, Supreme Court, Place 6",0910,55,34,89,226,39.38%,30,47,6,1,84
"Justice, Supreme Court, Place 6",0911,227,79,306,570,53.68%,190,92,5,3,290
"Justice, Supreme Court, Place 6",0912,677,221,898,1235,72.71%,520,291,19,16,846
"Justice, Supreme Court, Place 6",0913,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0914,173,67,240,221,108.60%,181,43,6,2,232
"Justice, Supreme Court, Place 6",0915,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0916,505,182,787,1045,75.31%,620,121,18,2,761
"Justice, Supreme Court, Place 6",0917,282,137,419,481,87.11%,284,91,15,7,397
"Justice, Supreme Court, Place 6",0918,489,135,624,883,70.67%,478,100,11,4,593
"Justice, Supreme Court, Place 6",0919,0,3,3,3,100.00%,2,1,0,0,3
"Justice, Supreme Court, Place 6",0920,6,0,6,13,46.15%,6,0,0,0,6
"Justice, Supreme Court, Place 6",0921,71,9,80,87,91.95%,57,21,2,0,80
"Justice, Supreme Court, Place 6",0922,0,2,2,0,0.00%,1,1,0,0,2
"Justice, Supreme Court, Place 6",0923,666,87,753,826,91.16%,556,160,11,3,730
"Justice, Supreme Court, Place 6",0924,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0925,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0926,351,120,481,621,77.46%,347,98,10,4,459
"Justice, Supreme Court, Place 6",0927,84,74,158,262,60.31%,73,73,5,1,152
"Justice, Supreme Court, Place 6",0928,4,2,6,9,66.67%,0,5,0,1,6
"Justice, Supreme Court, Place 6",0929,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0930,200,77,277,567,48.85%,4,263,0,2,269
"Justice, Supreme Court, Place 6",0931,48,53,101,122,82.79%,54,39,0,0,93
"Justice, Supreme Court, Place 6",0932,0,5,5,0,0.00%,1,4,0,0,5
"Justice, Supreme Court, Place 6",0933,235,1,21,357,566,63.07%,86,249,5,4,344
"Justice, Supreme Court, Place 6",0934,12,1,13,41,31.71%,4,8,1,0,13
"Justice, Supreme Court, Place 6",0935,8,17,25,65,38.46%,10,12,1,1,24
"Justice, Supreme Court, Place 6",0936,12,10,22,70,31.43%,6,13,0,0,19
"Justice, Supreme Court, Place 6",0937,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0938,73,14,87,256,33.98%,21,57,3,1,82
"Justice, Supreme Court, Place 6",0939,1,0,1,1,100.00%,0,1,0,0,1
"Justice, Supreme Court, Place 6",0940,1,0,1,13,7.69%,0,1,0,0,1
"Justice, Supreme Court, Place 6",0941,13,9,22,25,88.00%,20,1,1,0,22
"Justice, Supreme Court, Place 6",0942,68,24,92,159,57.86%,72,11,1,1,85
"Justice, Supreme Court, Place 6",0943,297,63,360,536,67.16%,257,81,4,0,342
"Justice, Supreme Court, Place 6",0944,30,6,36,39,92.31%,30,3,0,0,33
"Justice, Supreme Court, Place 6",0945,4,7,11,16,68.75%,0,10,0,0,10
"Justice, Supreme Court, Place 6",0946,3,3,6,14,42.86%,0,4,0,0,4
"Justice, Supreme Court, Place 6",0947,320,292,612,822,74.45%,297,235,19,10,561
"Justice, Supreme Court, Place 6",0948,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0949,59,37,96,201,47.76%,42,45,3,2,92
"Justice, Supreme Court, Place 6",0950,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0951,79,44,123,218,56.42%,22,95,1,0,118
"Justice, Supreme Court, Place 6",0952,24,16,40,70,57.14%,22,16,1,0,39
"Justice, Supreme Court, Place 6",0953,59,52,111,420,26.43%,7,102,1,0,110
"Justice, Supreme Court, Place 6",0954,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0955,5,20,25,18,138.89%,14,9,0,0,23
"Justice, Supreme Court, Place 6",0956,5,2,7,12,58.33%,3,3,0,1,7
"Justice, Supreme Court, Place 6",0957,261,115,376,551,68.24%,52,303,1,6,362
"Justice, Supreme Court, Place 6",0958,289,266,555,989,56.12%,113,406,5,3,527
"Justice, Supreme Court, Place 6",0959,0,4,4,0,0.00%,0,4,0,0,4
"Justice, Supreme Court, Place 6",0960,364,143,507,586,86.52%,123,357,11,4,495
"Justice, Supreme Court, Place 6",0961,23,11,34,53,64.15%,7,27,0,0,34
"Justice, Supreme Court, Place 6",0962,24,13,37,73,50.68%,9,23,0,3,35
"Justice, Supreme Court, Place 6",0963,130,69,199,353,56.37%,103,79,2,4,188
"Justice, Supreme Court, Place 6",0964,950,447,1397,1571,88.92%,817,510,18,8,1353
"Justice, Supreme Court, Place 6",0965,93,27,120,355,33.80%,73,38,2,1,114
"Justice, Supreme Court, Place 6",0966,305,160,465,1073,43.34%,118,308,15,5,446
"Justice, Supreme Court, Place 6",0967,48,15,63,98,64.29%,25,37,1,0,63
"Justice, Supreme Court, Place 6",0968,243,83,326,517,63.06%,60,253,2,1,316
"Justice, Supreme Court, Place 6",0969,335,82,417,584,71.40%,1,400,2,0,403
"Justice, Supreme Court, Place 6",0970,212,76,288,704,40.91%,28,238,0,3,269
"Justice, Supreme Court, Place 6",0971,27,21,48,129,37.21%,1,46,0,0,47
"Justice, Supreme Court, Place 6",0972,10,7,17,29,58.62%,12,4,1,0,17
"Justice, Supreme Court, Place 6",0973,49,24,73,107,68.22%,36,31,1,3,71
"Justice, Supreme Court, Place 6",0974,101,71,172,299,57.53%,104,59,5,1,169
"Justice, Supreme Court, Place 6",0975,72,41,113,170,66.47%,53,48,1,4,106
"Justice, Supreme Court, Place 6",0976,159,131,290,684,42.40%,157,111,2,5,275
"Justice, Supreme Court, Place 6",0977,105,83,188,535,35.14%,63,110,2,4,179
"Justice, Supreme Court, Place 6",0978,201,102,303,506,59.88%,50,238,1,5,294
"Justice, Supreme Court, Place 6",0979,56,11,26,42.31%,11,0,0,0,11
"Justice, Supreme Court, Place 6",0980,596,356,952,1323,71.96%,669,218,16,6,909
"Justice, Supreme Court, Place 6",0981,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0982,534,218,752,1021,73.65%,563,129,22,8,722
"Justice, Supreme Court, Place 6",0983,41,28,69,165,41.82%,37,26,0,2,65
"Justice, Supreme Court, Place 6",0984,43,49,92,198,46.46%,6,83,0,0,89
"Justice, Supreme Court, Place 6",0985,172,67,239,336,71.13%,119,99,7,1,226
"Justice, Supreme Court, Place 6",0986,129,86,215,404,53.22%,19,181,2,1,203
"Justice, Supreme Court, Place 6",0987,465,191,656,1138,57.64%,45,590,3,1,639
"Justice, Supreme Court, Place 6",0988,44,21,65,111,58.56%,50,11,0,2,63
"Justice, Supreme Court, Place 6",0989,18,8,26,36,72.22%,11,13,0,1,25
"Justice, Supreme Court, Place 6",0990,37,15,52,154,33.77%,15,30,1,0,46
"Justice, Supreme Court, Place 6",0991,0,0,0,1,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0992,310,202,512,1015,50.44%,275,203,13,5,496
"Justice, Supreme Court, Place 6",0993,272,91,363,551,65.88%,279,55,10,3,347
"Justice, Supreme Court, Place 6",0994,6,5,11,8,137.50%,2,8,1,0,11
"Justice, Supreme Court, Place 6",0995,598,190,788,1269,62.10%,32,719,7,7,765
"Justice, Supreme Court, Place 6",0996,297,125,422,699,60.37%,218,167,9,7,401
"Justice, Supreme Court, Place 6",0997,432,328,760,1439,52.81%,120,607,14,2,743
"Justice, Supreme Court, Place 6",0998,15,9,24,35,68.57%,16,7,0,0,23
"Justice, Supreme Court, Place 6",0999,30,16,46,65,70.77%,36,8,0,1,45
"Justice, Supreme Court, Place 6",1000,105,0,105,458,22.93%,17,83,0,1,101
"Justice, Supreme Court, Place 6",1001,496,294,790,1566,50.45%,138,601,6,6,751
"Justice, Supreme Court, Place 6",1002,465,314,779,1738,44.82%,80,656,10,5,751
"Justice, Supreme Court, Place 6",1003,0,0,0,1,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",1004,225,153,378,656,57.62%,184,134,17,8,343
"Justice, Supreme Court, Place 6",1005,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",1006,3,0,3,5,60.00%,3,0,0,0,3
"Justice, Supreme Court, Place 6",1007,556,295,851,1371,62.07%,189,611,19,8,827
"Justice, Supreme Court, Place 6",1008,86,21,107,150,71.33%,78,23,1,2,104
"Justice, Supreme Court, Place 6",1009,3,1,4,8,50.00%,4,0,0,0,4
"Justice, Supreme Court, Place 6",1010,125,74,199,317,62.78%,27,158,3,1,189
"Justice, Supreme Court, Place 6",1011,12,3,15,29,51.72%,6,6,0,1,13
"Justice, Supreme Court, Place 6",1012,395,318,713,1235,57.73%,179,499,6,4,688
"Justice, Supreme Court, Place 6",1013,8,14,22,60,36.67%,15,7,0,0,22
"Justice, Supreme Court, Place 6",1014,9,7,16,36,44.44%,3,13,0,0,16
"Justice, Supreme Court, Place 6",1015,11,7,18,29,62.07%,4,13,0,0,17
"Justice, Supreme Court, Place 6",1016,593,364,957,1626,58.86%,400,488,18,11,917
"Justice, Supreme Court, Place 6",1017,127,50,177,232,76.29%,45,123,4,1,173
"Justice, Supreme Court, Place 6",1018,209,92,301,468,64.32%,136,151,4,2,293
"Justice, Supreme Court, Place 6",1019,427,4,431,1518,28.39%,14,398,0,3,415
"Justice, Supreme Court, Place 6",1020,0,0,0,1,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",1021,1,0,1,2,50.00%,0,1,0,0,1
"Justice, Supreme Court, Place 6",1022,190,30,220,426,51.64%,167,42,2,2,213
"Justice, Supreme Court, Place 6",1023,898,401,1299,1964,66.14%,812,395,21,17,1245
"Justice, Supreme Court, Place 6",1024,113,77,190,259,73.36%,90,73,10,4,177
"Justice, Supreme Court, Place 6",1025,4,0,4,18,22.22%,1,3,0,0,4
"Justice, Supreme Court, Place 6",1026,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",1027,0,1,1,1,100.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",1028,0,1,1,0,0.00%,1,0,0,0,1
"Justice, Supreme Court, Place 6",1029,1023,641,1664,1802,92.34%,1240,308,39,9,1596
"Justice, Supreme Court, Place 6",1030,398,105,503,655,76.79%,433,51,8,0,492
"Justice, Supreme Court, Place 6",1031,3,3,6,6,100.00%,5,1,0,0,6
"Justice, Supreme Court, Place 6",1032,59,80,139,241,57.68%,93,33,3,1,130
"Justice, Supreme Court, Place 6",1033,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",1034,0,0,0,1,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",1035,24,13,37,139,26.62%,3,33,0,0,36
"Justice, Supreme Court, Place 6",1036,144,46,190,433,43.88%,142,34,4,4,184
"Justice, Supreme Court, Place 6",1037,27,16,43,73,58.90%,21,15,1,0,37
"Justice, Supreme Court, Place 6",1038,133,43,176,266,66.17%,10,160,1,2,173
"Justice, Supreme Court, Place 6",1039,3,5,8,20,40.00%,1,7,0,0,8
"Justice, Supreme Court, Place 6",1040,195,146,341,607,56.18%,164,141,10,7,322
"Justice, Supreme Court, Place 6",1041,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",1042,228,50,278,498,55.82%,77,192,4,3,276
"Justice, Supreme Court, Place 6",1043,12,2,14,31,45.16%,3,11,0,0,14
"Justice, Supreme Court, Place 6",1044,29,5,34,59,57.63%,7,26,0,1,34
"Justice, Supreme Court, Place 6",1045,615,321,936,1439,65.05%,110,784,8,12,914
"Justice, Supreme Court, Place 6",1046,19,18,37,54,68.52%,5,31,0,1,37
"Justice, Supreme Court, Place 6",1047,554,288,852,1242,68.60%,240,566,13,6,825
"Justice, Supreme Court, Place 6",1048,3,1,4,18,22.22%,2,2,0,0,4
"Justice, Supreme Court, Place 6",1049,57,71,128,266,48.12%,35,84,1,2,122
"Justice, Supreme Court, Place 6",1050,148,153,301,506,59.49%,60,222,4,3,289
"Justice, Supreme Court, Place 6",1,051,0,1,2,1,2,0,0.00%,9,3,0,0,1,2
"Justice, Supreme Court, Place 6",1052,0,2,2,0,0.00%,1,1,0,0,2
"Justice, Supreme Court, Place 6",1053,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",1054,0,0,0,1,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",1055,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",1056,4,0,4,6,66.67%,0,4,0,0,4
"Justice, Supreme Court, Place 6",1057,34,7,41,115,35.65%,1,36,1,0,38
"Justice, Supreme Court, Place 6",1058,540,246,786,1190,66.05%,113,632,9,7,761
"Justice, Supreme Court, Place 6",1059,7,3,10,23,43.48%,2,8,0,0,10
"Justice, Supreme Court, Place 6",1060,13,4,17,49,34.69%,9,7,0,0,16
"Justice, Supreme Court, Place 6",1061,666,300,966,1613,59.89%,502,401,22,12,937
"Justice, Supreme Court, Place 6",1062,59,25,85,168,50.60%,18,61,2,1,82
"Justice, Supreme Court, Place 6",1063,226,63,289,792,36.49%,28,248,2,4,282
"Justice, Supreme Court, Place 6",1064,45,1,46,120,38.33%,33,9,2,0,44
"Justice, Supreme Court, Place 6",Totals:,775751,427100,1202851,1942566,,547092,565929,24665,12328,1150014
