Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Richard Risinger,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0137,305,193,498,740,67.30%,228,222,450
"District Judge, 80th Judicial District",0138,661,259,920,1749,52.60%,20,862,882
"District Judge, 80th Judicial District",0139,1290,747,2037,2746,74.18%,916,936,1852
"District Judge, 80th Judicial District",0140,1311,683,1994,3104,64.24%,276,1592,1868
"District Judge, 80th Judicial District",0141,181,143,324,872,37.16%,188,114,302
"District Judge, 80th Judicial District",0142,212,171,383,870,44.02%,97,259,356
"District Judge, 80th Judicial District",0143,2993,660,3653,4598,79.45%,2510,988,3498
"District Judge, 80th Judicial District",0144,476,204,680,1143,59.49%,10,649,659
"District Judge, 80th Judicial District",0145,663,245,908,1580,57.47%,14,875,889
"District Judge, 80th Judicial District",0146,759,614,1373,1953,70.30%,570,695,1265
"District Judge, 80th Judicial District",0147,1255,485,1740,2813,61.86%,198,1501,1699
"District Judge, 80th Judicial District",0148,908,924,1832,2467,74.26%,683,983,1666
"District Judge, 80th Judicial District",0149,2859,1322,4181,6103,68.51%,1832,2164,3996
"District Judge, 80th Judicial District",0150,539,207,746,1212,61.55%,16,711,727
"District Judge, 80th Judicial District",0151,316,148,464,846,54.85%,20,418,438
"District Judge, 80th Judicial District",0152,483,602,1085,2701,40.17%,225,800,1025
"District Judge, 80th Judicial District",0153,328,437,765,1755,43.59%,185,525,710
"District Judge, 80th Judicial District",0154,593,360,953,2133,44.68%,197,658,855
"District Judge, 80th Judicial District",0155,1957,834,2791,4087,68.29%,1827,809,2636
"District Judge, 80th Judicial District",0156,1427,457,1884,3134,60.11%,48,1755,1803
"District Judge, 80th Judicial District",0157,881,382,1263,2311,54.65%,41,1188,1229
"District Judge, 80th Judicial District",0158,1304,435,1739,3016,57.66%,21,1675,1696
"District Judge, 80th Judicial District",0159,313,187,500,976,51.23%,61,416,477
"District Judge, 80th Judicial District",0160,246,140,386,688,56.10%,10,359,369
"District Judge, 80th Judicial District",0161,395,190,585,1030,56.80%,7,560,567
"District Judge, 80th Judicial District",0162,232,262,494,1249,39.55%,135,311,446
"District Judge, 80th Judicial District",0163,778,635,1413,3054,46.27%,391,857,1248
"District Judge, 80th Judicial District",0164,505,304,809,1434,56.42%,11,778,789
"District Judge, 80th Judicial District",0165,918,557,1475,2284,64.58%,893,493,1386
"District Judge, 80th Judicial District",0166,281,311,592,1016,58.27%,185,360,545
"District Judge, 80th Judicial District",0167,5,2,7,23,30.43%,0,7,7
"District Judge, 80th Judicial District",0168,188,126,314,519,60.50%,7,294,301
"District Judge, 80th Judicial District",0169,1059,433,1492,2531,58.95%,18,1438,1456
"District Judge, 80th Judicial District",0170,481,353,834,1887,44.20%,394,377,771
"District Judge, 80th Judicial District",0171,514,294,808,1613,50.09%,29,748,777
"District Judge, 80th Judicial District",0172,161,147,308,600,51.33%,97,182,279
"District Judge, 80th Judicial District",0173,1798,619,2417,3105,77.84%,1824,475,2299
"District Judge, 80th Judicial District",0174,1554,767,2321,3159,73.47%,1512,639,2151
"District Judge, 80th Judicial District",0175,1064,867,1931,2506,77.06%,913,839,1752
"District Judge, 80th Judicial District",0176,626,530,1156,1581,73.12%,543,499,1042
"District Judge, 80th Judicial District",0177,672,385,1057,1478,71.52%,610,374,984
"District Judge, 80th Judicial District",0178,913,368,1281,1718,74.56%,777,395,1172
"District Judge, 80th Judicial District",0179,449,321,770,1508,51.06%,335,382,717
"District Judge, 80th Judicial District",0180,966,552,1518,2795,54.31%,35,1411,1446
"District Judge, 80th Judicial District",0181,416,514,930,1968,47.26%,258,606,864
"District Judge, 80th Judicial District",0182,1321,1081,2402,3289,73.03%,1355,800,2155
"District Judge, 80th Judicial District",0183,970,943,1913,2451,78.05%,1160,592,1752
"District Judge, 80th Judicial District",0184,214,256,470,969,48.50%,122,306,428
"District Judge, 80th Judicial District",0185,592,494,1086,1910,56.86%,334,676,1010
"District Judge, 80th Judicial District",0186,204,1,70,374,795,47.04%,44,304,348
"District Judge, 80th Judicial District",0187,48,65,113,309,36.57%,22,85,107
"District Judge, 80th Judicial District",0188,307,378,685,1616,42.39%,242,412,654
"District Judge, 80th Judicial District",0189,492,473,965,1453,66.41%,495,378,873
"District Judge, 80th Judicial District",0190,275,401,676,1720,39.30%,224,409,633
"District Judge, 80th Judicial District",0191,196,313,509,1391,36.59%,175,311,486
"District Judge, 80th Judicial District",0192,746,332,1078,2045,52.71%,33,1009,1042
"District Judge, 80th Judicial District",0193,341,269,610,1050,58.10%,13,574,587
"District Judge, 80th Judicial District",0194,704,504,1208,1735,69.63%,333,786,1119
"District Judge, 80th Judicial District",0195,539,419,958,1721,55.67%,29,893,922
"District Judge, 80th Judicial District",0196,121,55,176,323,54.49%,7,162,169
"District Judge, 80th Judicial District",0197,1109,497,1606,2895,55.47%,35,1527,1562
"District Judge, 80th Judicial District",0198,143,158,301,657,45.81%,7,282,289
"District Judge, 80th Judicial District",0199,1407,773,2180,3159,69.01%,1590,480,2070
"District Judge, 80th Judicial District",0200,1638,585,2223,3222,68.99%,975,1052,2027
"District Judge, 80th Judicial District",0201,229,125,354,728,48.63%,11,335,346
"District Judge, 80th Judicial District",0202,488,332,820,1479,55.44%,14,772,786
"District Judge, 80th Judicial District",0203,266,156,422,900,46.89%,83,315,398
"District Judge, 80th Judicial District",0204,1489,914,2403,3462,69.41%,1317,910,2227
"District Judge, 80th Judicial District",0205,856,201,1057,1667,63.41%,19,1006,1025
"District Judge, 80th Judicial District",0206,651,659,1310,2662,49.21%,396,826,1222
"District Judge, 80th Judicial District",0207,409,310,719,1144,62.85%,229,428,657
"District Judge, 80th Judicial District",0208,806,364,1170,2201,53.16%,296,798,1094
"District Judge, 80th Judicial District",0209,0,4,4,0,0.00%,4,0,4
"District Judge, 80th Judicial District",0210,1013,542,1555,2300,67.61%,160,1309,1469
"District Judge, 80th Judicial District",0211,710,686,1396,2797,49.91%,478,805,1283
"District Judge, 80th Judicial District",0212,218,314,532,1266,42.02%,90,414,504
