Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Steve Radack,DEM Glorice McPherson,Totals
"County Commissioner, Precinct 3",0875,1719,927,2646,4031,65.64%,1270,1278,2548
"County Commissioner, Precinct 3",0877,1030,642,1672,2480,67.42%,712,910,1622
"County Commissioner, Precinct 3",0879,890,527,1417,2334,60.71%,659,708,1367
"County Commissioner, Precinct 3",0901,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 3",0906,12,6,18,26,69.23%,10,8,18
"County Commissioner, Precinct 3",0917,280,137,417,481,86.69%,315,82,397
"County Commissioner, Precinct 3",0918,489,135,624,883,70.67%,502,94,596
"County Commissioner, Precinct 3",0919,0,3,3,3,100.00%,1,2,3
"County Commissioner, Precinct 3",09206,0,6,13,46.15%,6,0,6
"County Commissioner, Precinct 3",0921,71,9,80,87,91.95%,66,14,80
"County Commissioner, Precinct 3",0923,663,87,750,826,90.80%,577,149,726
"County Commissioner, Precinct 3",0938,73,14,87,256,33.98%,31,54,85
"County Commissioner, Precinct 3",0941,13,9,22,25,88.00%,21,0,21
"County Commissioner, Precinct 3",0942,68,24,92,159,57.86%,75,13,88
"County Commissioner, Precinct 3",0943,296,63,359,536,66.98%,265,72,337
"County Commissioner, Precinct 3",0944,306,36,39,92.31%,28,5,33
"County Commissioner, Precinct 3",0951,79,44,123,218,56.42%,26,94,120
"County Commissioner, Precinct 3",0952,24,1e,40,70,57.14%,22,14,36
"County Commissioner, Precinct 3",0971,27,21,48,129,37.21%,1,47,48
"County Commissioner, Precinct 3",0979,5,6,11,26,42.31%,11,0,11
"County Commissioner, Precinct 3",0980,595,356,951,1323,71.88%,701,206,907
"County Commissioner, Precinct 3",0981,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 3",0984,43,49,92,198,46.46%,7,82,89
"County Commissioner, Precinct 3",0985,172,57,239,336,71.13%,133,92,225
"County Commissioner, Precinct 3",0986,129,86,215,404,53.22%,19,184,203
"County Commissioner, Precinct 3",0990,37,15,52,154,33.77%,17,30,47
"County Commissioner, Precinct 3",0992,309,202,511,1015,50.34%,289,205,494
"County Commissioner, Precinct 3",0993,272,91,363,551,65.88%,290,58,348
"County Commissioner, Precinct 3",1001,496,294,790,1566,50.45%,162,590,752
"County Commissioner, Precinct 3",1002,464,314,778,1738,44.76%,92,654,746
"County Commissioner, Precinct 3",1003,0,0,0,1,0.00%,0,0,0
"County Commissioner, Precinct 3",1005,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 3",1006,3,0,3,5,60.00%,3,0,3
"County Commissioner, Precinct 3",1021,1,0,1,2,50.00%,0,1,1
"County Commissioner, Precinct 3",1022,190,30,220,426,51.64%,173,38,211
"County Commissioner, Precinct 3",1052,0,2,2,0,0.00%,1,0,1
"County Commissioner, Precinct 3",1054,0,0,0,1,0.00%,0,0,0
"County Commissioner, Precinct 3",1061,665,300,965,1613,59.83%,526,407,933
"County Commissioner, Precinct 3",Totals:,210487,115294,325781,501988,,192258,117869,310127
