Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Louis Guthrie,DEM Adrian Garcia,GRN Remington Alessi,Totals
Sheriff,0214,798,544,1342,1795,74.76%,722,508,32,1262
Sheriff,0215,844,786,1630,2168,75.18%,845,661,35,1541
Sheriff,0216,784,320,1104,1917,57.59%,62,997,13,1072
Sheriff,0217,1396,651,2047,2637,77.63%,1112,772,41,1925
Sheriff,0218,690,608,1298,2274,57.08%,286,914,37,1237
Sheriff,0219,1117,587,1704,2654,64.20%,110,1480,33,1623
Sheriff,0220,711,353,1064,2360,45.08%,660,355,17,1032
Sheriff,0221,699,611,1310,2489,52.63%,450,768,30,1248
Sheriff,0222,1000,792,1792,2384,75.17%,695,940,43,1678
Sheriff,0223,1350,760,2110,3528,59.81%,537,1357,83,1977
Sheriff,0224,894,649,1543,2259,68.30%,621,783,38,1442
Sheriff,0225,1109,720,1829,3155,57.97%,701,1034,30,1765
Sheriff,0226,529,545,1074,2393,44.88%,165,835,19,1019
Sheriff,0227,947,451,1398,1767,79.12%,879,426,18,1323
Sheriff,0228,583,165,748,1073,69.71%,23,697,14,734
Sheriff,0229,152,207,359,811,44.27%,85,256,6,347
Sheriff,0230,421,153,574,1096,52.37%,10,538,4,552
Sheriff,0231,562,471,1033,2219,46.55%,203,781,25,1009
Sheriff,0232,685,546,1231,1696,72.58%,602,536,19,1157
Sheriff,0233,1826,1063,2889,4132,69.92%,1345,1297,85,2727
Sheriff,0234,2088,885,2973,3854,77.14%,1962,822,25,2809
Sheriff,0235,466,242,708,1305,54.25%,25,658,9,692
Sheriff,0236,779,342,1121,2144,52.29%,18,1060,4,1082
Sheriff,0237,793,441,1234,2181,56.58%,14,1189,7,1210
Sheriff,0238,640,422,1062,1901,55.87%,16,1001,12,1029
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Louis Guthrie,DEM Adrian Garcia,GRN Remington Alessi,Totals
Sheriff,0239,765,357,1122,1997,56.18%,22,1060,8,1090
Sheriff,0240,1157,402,1559,2688,58.00%,14,1485,15,1514
Sheriff,0241,494,479,973,2296,42.38%,319,608,13,940
Sheriff,0242,363,323,686,1570,43.69%,325,331,11,667
Sheriff,0243,254,50,304,452,67.26%,2,292,5,299
Sheriff,0244,1100,656,1756,2912,60.30%,830,849,30,1709
Sheriff,0245,2340,1115,3455,5240,65.94%,2181,1124,54,3359
Sheriff,0246,1584,624,2208,2999,73.62%,1388,735,28,2151
Sheriff,0247,421,403,824,1607,51.28%,11,779,13,803
Sheriff,0248,408,405,813,2122,38.31%,157,603,18,778
Sheriff,0249,1028,481,1509,2676,56.39%,933,498,26,1457
Sheriff,0250,306,247,553,951,58.15%,11,528,4,543
Sheriff,0251,809,529,1338,2072,64.58%,52,1237,9,1298
Sheriff,0252,1111,356,1467,2350,62.43%,16,1407,8,1431
Sheriff,0253,923,325,1248,2252,55.42%,14,1209,6,1229
Sheriff,0254,220,282,502,1476,34.01%,94,381,5,480
Sheriff,0255,995,797,1792,2411,74.33%,725,945,38,1708
Sheriff,0256,1059,766,1825,3226,56.57%,621,1066,51,1738
Sheriff,0257,553,571,1124,2403,46.77%,225,862,10,1097
Sheriff,0258,1577,888,2465,3286,75.02%,1612,687,43,2342
Sheriff,0259,1210,460,1670,2408,69.35%,21,1613,10,1644
Sheriff,0260,420,290,710,1187,59.81%,349,320,14,683
Sheriff,0261,176,133,309,749,41.26%,76,219,5,300
Sheriff,0262,1470,906,2376,4232,56.14%,1225,955,70,2250
Sheriff,0263,1785,719,2504,3319,75.44%,1754,651,28,2433
Sheriff,0264,936,639,1575,2939,53.59%,765,698,29,1492
Sheriff,0265,1936,674,2610,3617,72.16%,1721,734,34,2489
Sheriff,0266,552,542,1094,2119,51.63%,410,623,23,1056
Sheriff,0267,294,305,599,1346,44.50%,250,315,8,573
Sheriff,0268,931,810,1741,2387,72.94%,930,656,24,1610
Sheriff,0269,1143,444,1587,1981,80.11%,1043,441,16,1500
Sheriff,0270,1401,870,2271,3517,64.57%,1107,1009,59,2175
Sheriff,0271,1303,371,1674,2469,67.80%,15,1604,15,1634
Sheriff,0272,610,484,1094,2112,51.80%,368,636,44,1048
