Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., PROPOSITION",0312,1600,718,2318,3669,63.18%,1191,673,1864
"Houston |.S.D., PROPOSITION",0313,22,1,23,60,38.33%,7,9,16
"Houston |.S.D., PROPOSITION",0315,711,479,1190,1618,73.55%,575,463,1038
"Houston |.S.D., PROPOSITION",0316,582,411,1093,1522,71.81%,603,377,980
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., PROPOSITION",0317,551,336,887,1469,60.38%,566,158,724
"Houston |.S.D., PROPOSITION",0318,1708,511,2319,3531,65.68%,1439,414,1853
"Houston |.S.D., PROPOSITION",0319,965,290,1255,2081,60.31%,774,224,998
"Houston |.S.D., PROPOSITION",0320,406,267,673,1317,51.10%,349,186,535
"Houston |.S.D., PROPOSITION",0321,336,218,554,1396,39.68%,291,148,439
"Houston |.S.D., PROPOSITION",0322,112,100,212,519,40.85%,131,26,157
"Houston |.S.D., PROPOSITION",0323,482,332,814,1719,47.35%,414,265,679
"Houston |.S.D., PROPOSITION",0324,967,718,1685,2339,72.04%,770,735,1505
"Houston |.S.D., PROPOSITION",0325,656,397,1053,2251,46.78%,577,227,804
"Houston |.S.D., PROPOSITION",0326,202,128,330,678,48.67%,161,99,260
"Houston |.S.D., PROPOSITION",0327,726,244,970,1751,55.40%,501,150,651
"Houston |.S.D., PROPOSITION",0329,381,301,682,1282,53.20%,357,174,531
"Houston |.S.D., PROPOSITION",0331,0,1,1,0,0.00%,1,0,1
"Houston |.S.D., PROPOSITION",0335,285,246,531,1227,43.28%,282,86,368
"Houston |.S.D., PROPOSITION",0336,1818,588,2406,3161,76.12%,1561,370,1931
"Houston |.S.D., PROPOSITION",0337,309,207,516,951,54.26%,314,89,403
"Houston |.S.D., PROPOSITION",0339,369,373,742,1716,43.24%,449,140,589
"Houston |.S.D., PROPOSITION",0341,246,316,562,1248,45.03%,331,105,436
"Houston |.S.D., PROPOSITION",0343,436,483,919,1904,48.27%,507,208,715
"Houston |.S.D., PROPOSITION",0344,395,245,640,1207,53.02%,340,77,417
"Houston |.S.D., PROPOSITION",0345,428,357,785,1708,45.96%,493,112,605
"Houston |.S.D., PROPOSITION",0350,1112,780,1892,2906,65.11%,1139,445,1584
"Houston |.S.D., PROPOSITION",0355,700,286,986,1384,71.24%,582,172,754
"Houston |.S.D., PROPOSITION",0356,1382,618,2000,2836,70.52%,1001,695,1696
"Houston |.S.D., PROPOSITION",0359,111,39,150,532,28.20%,92,24,116
"Houston |.S.D., PROPOSITION",0360,969,515,1484,2190,67.76%,831,422,1253
"Houston |.S.D., PROPOSITION",0361,135,691,826,1585,52.11%,626,63,689
"Houston |.S.D., PROPOSITION",0365,734,245,979,1302,75.19%,539,250,789
"Houston |.S.D., PROPOSITION",0367,328,212,540,1019,52.99%,346,108,454
"Houston |.S.D., PROPOSITION",0369,107,53,160,490,32.65%,94,28,122
"Houston |.S.D., PROPOSITION",0372,498,231,729,1215,60.00%,429,145,574
"Houston |.S.D., PROPOSITION",0373,51,1e,77,159,48.43%,31,19,50
"Houston |.S.D., PROPOSITION",0374,139,187,326,748,43.58%,158,78,236
"Houston |.S.D., PROPOSITION",0379,800,338,1138,2017,56.42%,619,253,872
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., PROPOSITION",0384,1172,505,1677,2596,64.60%,939,373,1312
"Houston |.S.D., PROPOSITION",0389,283,261,544,975,55.79%,343,67,410
"Houston |.S.D., PROPOSITION",0390,644,368,1012,1565,64.66%,648,188,836
"Houston |.S.D., PROPOSITION",0392,737,197,934,1441,64.82%,553,150,703
"Houston |.S.D., PROPOSITION",0395,830,491,1321,1820,72.58%,626,520,1146
"Houston |.S.D., PROPOSITION",0402,891,245,1136,1737,65.40%,610,269,879
"Houston |.S.D., PROPOSITION",0403,791,527,1318,1703,77.39%,716,452,1168
"Houston |.S.D., PROPOSITION",0406,281,72,353,610,57.87%,167,55,222
"Houston |.S.D., PROPOSITION",0412,193,74,267,433,61.66%,152,41,193
"Houston |.S.D., PROPOSITION",0421,124,92,216,467,46.25%,118,39,157
"Houston |.S.D., PROPOSITION",0422,1456,585,2041,3345,61.02%,1237,319,1556
"Houston |.S.D., PROPOSITION",0424,0,0,0,0,0.00%,0,0,0
"Houston |.S.D., PROPOSITION",0425,194,215,409,750,54.53%,192,106,298
"Houston |.S.D., PROPOSITION",0426,415,283,698,1224,57.03%,317,255,572
"Houston |.S.D., PROPOSITION",0427,184,172,356,729,48.83%,161,112,273
"Houston |.S.D., PROPOSITION",0430,403,335,738,1654,44.62%,373,117,490
"Houston |.S.D., PROPOSITION",0431,819,403,1222,3188,38.33%,713,200,913
"Houston |.S.D., PROPOSITION",0432,311,271,582,1344,43.30%,354,118,472
"Houston |.S.D., PROPOSITION",0433,139,106,245,573,42.76%,142,41,183
"Houston |.S.D., PROPOSITION",0434,628,371,999,1386,72.08%,509,311,820
"Houston |.S.D., PROPOSITION",0435,1534,768,2302,3097,74.33%,1132,756,1888
"Houston |.S.D., PROPOSITION",0436,1334,709,2043,3012,67.83%,1054,657,1711
"Houston |.S.D., PROPOSITION",0446,69,52,121,262,46.18%,68,36,104
"Houston |.S.D., PROPOSITION",0447,271,108,379,583,65.01%,240,75,315
"Houston |.S.D., PROPOSITION",0448,1239,869,2108,3081,68.42%,1021,829,1850
"Houston |.S.D., PROPOSITION",0450,324,181,505,717,70.43%,243,207,450
"Houston |.S.D., PROPOSITION",0453,559,475,1034,1885,54.85%,566,228,794
"Houston |.S.D., PROPOSITION",0455,748,216,964,1679,57.42%,494,134,628
"Houston |.S.D., PROPOSITION",0458,908,271,1179,1893,62.28%,692,202,894
"Houston |.S.D., PROPOSITION",0461,1953,828,2781,3733,74.50%,1281,1024,2305
"Houston |.S.D., PROPOSITION",0462,1299,835,2134,3245,65.76%,1139,633,1772
"Houston |.S.D., PROPOSITION",0472,370,337,707,1027,68.84%,440,185,625
"Houston |.S.D., PROPOSITION",0489,783,378,1161,1823,63.69%,639,325,964
"Houston |.S.D., PROPOSITION",0490,876,439,1315,1944,67.64%,731,361,1092
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., PROPOSITION",0491,667,489,1156,1782,64.87%,572,369,941
"Houston |.S.D., PROPOSITION",0492,1049,499,1548,2313,66.93%,765,527,1292
"Houston |.S.D., PROPOSITION",0493,858,400,1258,1804,69.73%,605,485,1090
"Houston |.S.D., PROPOSITION",0498,2,0,2,3,66.67%,0,2,2
"Houston |.S.D., PROPOSITION",0499,1301,517,1818,2304,78.91%,748,831,1579
"Houston |.S.D., PROPOSITION",0501,653,487,1140,1647,69.22%,666,326,992
"Houston |.S.D., PROPOSITION",0504,1129,538,1667,2197,75.88%,736,716,1452
"Houston |.S.D., PROPOSITION",0505,1209,829,2038,3654,55.77%,1047,654,1701
"Houston |.S.D., PROPOSITION",0506,1459,801,2260,3350,67.46%,1403,452,1855
"Houston |.S.D., PROPOSITION",0507,34,22,56,168,33.33%,24,7,31
"Houston |.S.D., PROPOSITION",0510,1492,682,2174,3511,61.92%,1130,596,1726
"Houston |.S.D., PROPOSITION",0525,1380,610,1990,2947,67.53%,1114,427,1541
