Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0851,2194,816,3010,4317,69.72%,2004,381,2385
"Judge, Court of Criminal Appeals, Place 8",0852,0,4,4,2,200.00%,1,0,1
"Judge, Court of Criminal Appeals, Place 8",0853,1414,605,2019,2773,72.81%,1577,177,1754
"Judge, Court of Criminal Appeals, Place 8",0854,41,30,71,175,40.57%,8,12,20
"Judge, Court of Criminal Appeals, Place 8",0855,4,13,17,18,94.44%,9,1,10
"Judge, Court of Criminal Appeals, Place 8",0856,0,4,4,0,0.00%,2,1,3
"Judge, Court of Criminal Appeals, Place 8",0857,0,0,0,1,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0858,132,18,150,372,40.32%,9,20,29
"Judge, Court of Criminal Appeals, Place 8",0859,309,201,510,860,59.30%,134,92,226
"Judge, Court of Criminal Appeals, Place 8",0860,0,1,1,0,0.00%,0,1,1
"Judge, Court of Criminal Appeals, Place 8",0861,705,319,1024,1786,57.33%,235,181,416
"Judge, Court of Criminal Appeals, Place 8",0862,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0863,210,69,279,620,45.00%,18,53,71
"Judge, Court of Criminal Appeals, Place 8",0864,497,609,1106,2464,44.89%,369,140,509
"Judge, Court of Criminal Appeals, Place 8",0865,9,2,11,23,47.83%,0,2,2
"Judge, Court of Criminal Appeals, Place 8",0866,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0867,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0868,573,586,1159,2292,50.57%,401,178,579
"Judge, Court of Criminal Appeals, Place 8",0869,153,76,229,473,48.41%,45,52,97
"Judge, Court of Criminal Appeals, Place 8",0870,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0871,3,0,3,4,75.00%,0,3,3
"Judge, Court of Criminal Appeals, Place 8",0872,13,5,18,66,27.27%,10,2,12
"Judge, Court of Criminal Appeals, Place 8",0873,253,125,378,701,53.92%,120,79,199
"Judge, Court of Criminal Appeals, Place 8",0874,1535,748,2283,3107,73.48%,1760,231,1991
"Judge, Court of Criminal Appeals, Place 8",0875,1721,927,2648,4031,65.69%,1409,495,1904
"Judge, Court of Criminal Appeals, Place 8",0876,1630,639,2269,3013,75.31%,1685,234,1919
"Judge, Court of Criminal Appeals, Place 8",0877,1032,642,1674,2480,67.50%,795,384,1179
"Judge, Court of Criminal Appeals, Place 8",0878,853,350,1203,1641,73.31%,993,103,1096
"Judge, Court of Criminal Appeals, Place 8",0879,890,527,1417,2334,60.71%,752,257,1009
"Judge, Court of Criminal Appeals, Place 8",0880,1070,472,1542,2007,76.83%,1217,132,1349
"Judge, Court of Criminal Appeals, Place 8",0881,1511,877,2388,3619,65.99%,920,552,1472
"Judge, Court of Criminal Appeals, Place 8",0882,941,457,1398,2328,60.05%,829,238,1067
"Judge, Court of Criminal Appeals, Place 8",0883,1920,1042,2962,4651,63.69%,719,635,1354
"Judge, Court of Criminal Appeals, Place 8",0884,119,37,156,330,47.27%,27,16,43
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0885,1222,541,1763,2466,71.49%,1113,233,1346
"Judge, Court of Criminal Appeals, Place 8",0886,301,154,455,713,63.81%,251,104,355
"Judge, Court of Criminal Appeals, Place 8",0887,142,83,225,313,71.88%,120,50,170
"Judge, Court of Criminal Appeals, Place 8",0888,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0889,22,0,22,61,36.07%,15,2,17
"Judge, Court of Criminal Appeals, Place 8",0890,325,118,443,994,44.57%,189,109,298
"Judge, Court of Criminal Appeals, Place 8",0891,540,392,932,1413,65.96%,437,199,636
"Judge, Court of Criminal Appeals, Place 8",0892,195,130,325,696,46.70%,112,75,187
"Judge, Court of Criminal Appeals, Place 8",0893,1,0,1,5,20.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0894,0,31,31,0,0.00%,4,15,19
"Judge, Court of Criminal Appeals, Place 8",0895,337,325,662,784,84.44%,355,1,32,487
"Judge, Court of Criminal Appeals, Place 8",0896,670,303,973,1437,67.71%,456,243,699
"Judge, Court of Criminal Appeals, Place 8",0897,742,375,1117,1624,68.78%,644,151,795
"Judge, Court of Criminal Appeals, Place 8",0898,0,0,0,2,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0899,4,0,4,8,50.00%,1,0,1
"Judge, Court of Criminal Appeals, Place 8",0900,5,0,5,12,41.67%,2,1,3
"Judge, Court of Criminal Appeals, Place 8",0901,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0902,868,621,1489,2065,72.11%,916,301,1217
"Judge, Court of Criminal Appeals, Place 8",0903,10,1,11,41,26.83%,8,1,9
"Judge, Court of Criminal Appeals, Place 8",0904,0,1,1,1,100.00%,0,1,1
"Judge, Court of Criminal Appeals, Place 8",0905,290,1,es,458,908,50.44%,240,64,304
"Judge, Court of Criminal Appeals, Place 8",0906,12,6,18,26,69.23%,12,2,14
"Judge, Court of Criminal Appeals, Place 8",0907,61,43,104,134,77.61%,28,32,60
"Judge, Court of Criminal Appeals, Place 8",0908,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0909,5,7,12,19,63.16%,10,1,11
"Judge, Court of Criminal Appeals, Place 8",0910,55,34,89,226,39.38%,41,12,53
"Judge, Court of Criminal Appeals, Place 8",0911,227,79,306,570,53.68%,202,40,242
"Judge, Court of Criminal Appeals, Place 8",0912,677,221,898,1235,72.71%,564,115,679
"Judge, Court of Criminal Appeals, Place 8",0913,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0914,173,67,240,221,108.60%,186,26,212
"Judge, Court of Criminal Appeals, Place 8",0915,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0916,505,182,787,1045,75.31%,642,62,704
"Judge, Court of Criminal Appeals, Place 8",0917,282,137,419,481,87.11%,303,61,364
"Judge, Court of Criminal Appeals, Place 8",0918,489,135,624,883,70.67%,504,50,554
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0919,0,3,3,3,100.00%,3,0,3
"Judge, Court of Criminal Appeals, Place 8",0920,6,0,6,13,46.15%,6,0,6
"Judge, Court of Criminal Appeals, Place 8",0921,71,9,80,87,91.95%,64,12,76
"Judge, Court of Criminal Appeals, Place 8",0922,0,2,2,0,0.00%,1,0,1
"Judge, Court of Criminal Appeals, Place 8",0923,666,87,753,826,91.16%,601,53,654
"Judge, Court of Criminal Appeals, Place 8",0924,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0925,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0926,351,120,481,621,77.46%,377,36,413
"Judge, Court of Criminal Appeals, Place 8",0927,84,74,158,262,60.31%,82,32,114
"Judge, Court of Criminal Appeals, Place 8",0928,4,2,6,9,66.67%,0,2,2
"Judge, Court of Criminal Appeals, Place 8",0929,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0930,200,77,277,567,48.85%,14,47,61
"Judge, Court of Criminal Appeals, Place 8",0931,48,53,101,122,82.79%,60,19,79
"Judge, Court of Criminal Appeals, Place 8",0932,0,5,5,0,0.00%,2,2,4
"Judge, Court of Criminal Appeals, Place 8",0933,235,121,357,566,63.07%,124,106,230
"Judge, Court of Criminal Appeals, Place 8",0934,12,1,13,41,31.71%,6,5,11
"Judge, Court of Criminal Appeals, Place 8",0935,8,17,25,65,38.46%,18,3,21
"Judge, Court of Criminal Appeals, Place 8",0936,12,10,22,70,31.43%,6,3,9
"Judge, Court of Criminal Appeals, Place 8",0937,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0938,73,14,87,256,33.98%,35,19,54
"Judge, Court of Criminal Appeals, Place 8",0939,1,0,1,1,100.00%,0,1,1
"Judge, Court of Criminal Appeals, Place 8",0940,1,0,1,13,7.69%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0941,13,9,22,25,88.00%,21,0,21
"Judge, Court of Criminal Appeals, Place 8",0942,68,24,92,159,57.86%,71,9,80
"Judge, Court of Criminal Appeals, Place 8",0943,297,63,360,536,67.16%,266,29,295
"Judge, Court of Criminal Appeals, Place 8",0944,30,6,36,39,92.31%,31,2,33
"Judge, Court of Criminal Appeals, Place 8",0945,4,7,11,16,68.75%,2,2,4
"Judge, Court of Criminal Appeals, Place 8",0946,3,3,6,14,42.86%,0,1,1
"Judge, Court of Criminal Appeals, Place 8",0947,320,292,612,822,74.45%,346,123,469
"Judge, Court of Criminal Appeals, Place 8",0948,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0949,59,37,96,201,47.76%,50,21,71
"Judge, Court of Criminal Appeals, Place 8",0950,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0951,79,44,123,218,56.42%,33,39,72
"Judge, Court of Criminal Appeals, Place 8",0952,24,16,40,70,57.14%,26,8,34
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0953,59,52,111,420,26.43%,12,34,46
"Judge, Court of Criminal Appeals, Place 8",0954,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0955,5,20,25,18,138.89%,16,5,21
"Judge, Court of Criminal Appeals, Place 8",0956,5,2,7,12,58.33%,5,1,6
"Judge, Court of Criminal Appeals, Place 8",0957,261,115,376,551,68.24%,82,70,152
"Judge, Court of Criminal Appeals, Place 8",0958,289,266,555,989,56.12%,142,89,231
"Judge, Court of Criminal Appeals, Place 8",0959,0,4,4,0,0.00%,0,1,1
"Judge, Court of Criminal Appeals, Place 8",0960,364,143,507,586,86.52%,168,102,270
"Judge, Court of Criminal Appeals, Place 8",0961,23,11,34,53,64.15%,11,5,16
"Judge, Court of Criminal Appeals, Place 8",0962,24,13,37,73,50.68%,7,16,23
"Judge, Court of Criminal Appeals, Place 8",0963,130,69,199,353,56.37%,117,27,144
"Judge, Court of Criminal Appeals, Place 8",0964,950,447,1397,1571,88.92%,901,199,1100
"Judge, Court of Criminal Appeals, Place 8",0965,93,27,120,355,33.80%,82,14,96
"Judge, Court of Criminal Appeals, Place 8",0966,305,160,465,1073,43.34%,149,112,261
"Judge, Court of Criminal Appeals, Place 8",0967,48,15,63,98,64.29%,27,16,43
"Judge, Court of Criminal Appeals, Place 8",0968,243,83,326,517,63.06%,87,77,164
"Judge, Court of Criminal Appeals, Place 8",0969,335,82,417,584,71.40%,9,94,103
"Judge, Court of Criminal Appeals, Place 8",0970,212,76,288,704,40.91%,48,46,94
"Judge, Court of Criminal Appeals, Place 8",0971,27,21,48,129,37.21%,5,13,18
"Judge, Court of Criminal Appeals, Place 8",0972,10,7,17,29,58.62%,12,3,15
"Judge, Court of Criminal Appeals, Place 8",0973,49,24,73,107,68.22%,49,13,62
"Judge, Court of Criminal Appeals, Place 8",0974,101,71,172,299,57.53%,121,29,150
"Judge, Court of Criminal Appeals, Place 8",0975,72,41,113,170,66.47%,57,24,81
"Judge, Court of Criminal Appeals, Place 8",0976,159,131,290,684,42.40%,181,32,213
"Judge, Court of Criminal Appeals, Place 8",0977,105,83,188,535,35.14%,74,28,102
"Judge, Court of Criminal Appeals, Place 8",0978,201,102,303,506,59.88%,79,73,152
"Judge, Court of Criminal Appeals, Place 8",0979,5,e,11,26,42.31%,11,0,11
"Judge, Court of Criminal Appeals, Place 8",0980,596,356,952,1323,71.96%,709,101,810
"Judge, Court of Criminal Appeals, Place 8",0981,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0982,534,218,752,1021,73.65%,586,74,660
"Judge, Court of Criminal Appeals, Place 8",0983,41,28,69,165,41.82%,44,15,59
"Judge, Court of Criminal Appeals, Place 8",0984,43,49,92,198,46.46%,10,30,40
"Judge, Court of Criminal Appeals, Place 8",0985,172,67,239,336,71.13%,135,42,177
"Judge, Court of Criminal Appeals, Place 8",0986,129,86,215,404,53.22%,25,54,79
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0987,465,191,656,1138,57.64%,81,116,197
"Judge, Court of Criminal Appeals, Place 8",0988,44,21,65,111,58.56%,56,1,57
"Judge, Court of Criminal Appeals, Place 8",0989,18,8,26,36,72.22%,12,5,17
"Judge, Court of Criminal Appeals, Place 8",0990,37,15,52,154,33.77%,22,8,30
"Judge, Court of Criminal Appeals, Place 8",0991,0,0,0,1,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0992,310,202,512,1015,50.44%,310,69,379
"Judge, Court of Criminal Appeals, Place 8",0993,272,91,363,551,65.88%,286,37,323
"Judge, Court of Criminal Appeals, Place 8",0994,6,5,11,8,137.50%,3,2,5
"Judge, Court of Criminal Appeals, Place 8",0995,598,190,788,1269,62.10%,85,173,258
"Judge, Court of Criminal Appeals, Place 8",0996,297,125,422,699,60.37%,248,62,310
"Judge, Court of Criminal Appeals, Place 8",0997,432,328,760,1439,52.81%,174,192,366
"Judge, Court of Criminal Appeals, Place 8",0998,15,9,24,35,68.57%,20,1,21
"Judge, Court of Criminal Appeals, Place 8",0999,30,16,46,65,70.77%,37,0,37
"Judge, Court of Criminal Appeals, Place 8",1000,105,0,105,458,22.93%,25,27,52
"Judge, Court of Criminal Appeals, Place 8",1001,496,294,790,1566,50.45%,210,161,371
"Judge, Court of Criminal Appeals, Place 8",1002,465,314,779,1738,44.82%,133,192,325
"Judge, Court of Criminal Appeals, Place 8",1003,0,0,0,1,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",1004,225,153,378,656,57.62%,211,66,277
"Judge, Court of Criminal Appeals, Place 8",1005,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",1006,3,0,3,5,60.00%,3,0,3
"Judge, Court of Criminal Appeals, Place 8",1007,556,295,851,1371,62.07%,267,183,450
"Judge, Court of Criminal Appeals, Place 8",1008,86,21,107,150,71.33%,83,11,94
"Judge, Court of Criminal Appeals, Place 8",1009,3,1,4,8,50.00%,3,1,4
"Judge, Court of Criminal Appeals, Place 8",1010,125,74,199,317,62.78%,42,63,105
"Judge, Court of Criminal Appeals, Place 8",1011,12,3,15,29,51.72%,6,2,8
"Judge, Court of Criminal Appeals, Place 8",1012,395,318,713,1235,57.73%,236,97,333
"Judge, Court of Criminal Appeals, Place 8",1013,8,14,22,60,36.67%,17,0,17
"Judge, Court of Criminal Appeals, Place 8",1,014,9,7,1,6,36,44.44%,4,2,6
"Judge, Court of Criminal Appeals, Place 8",1015,11,7,18,29,62.07%,6,2,8
"Judge, Court of Criminal Appeals, Place 8",1016,593,364,957,1626,58.86%,480,205,685
"Judge, Court of Criminal Appeals, Place 8",1017,127,50,177,232,76.29%,59,41,100
"Judge, Court of Criminal Appeals, Place 8",1018,209,92,301,468,64.32%,160,42,202
"Judge, Court of Criminal Appeals, Place 8",1019,427,4,431,1518,28.39%,31,111,142
"Judge, Court of Criminal Appeals, Place 8",1020,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",1021,1,0,1,2,50.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",1022,190,30,220,426,51.64%,177,16,193
"Judge, Court of Criminal Appeals, Place 8",1023,898,401,1299,1964,66.14%,893,185,1078
"Judge, Court of Criminal Appeals, Place 8",1024,113,77,190,259,73.36%,106,41,147
"Judge, Court of Criminal Appeals, Place 8",1025,4,0,4,18,22.22%,1,0,1
"Judge, Court of Criminal Appeals, Place 8",1026,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",1027,0,1,1,1,100.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",1028,0,1,1,0,0.00%,1,0,1
"Judge, Court of Criminal Appeals, Place 8",1029,1023,641,1664,1802,92.34%,1300,145,1445
"Judge, Court of Criminal Appeals, Place 8",1030,398,105,503,655,76.79%,441,27,468
"Judge, Court of Criminal Appeals, Place 8",1031,3,3,6,6,100.00%,5,0,5
"Judge, Court of Criminal Appeals, Place 8",1032,59,80,139,241,57.68%,98,16,114
"Judge, Court of Criminal Appeals, Place 8",1033,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",1034,0,0,0,1,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",1035,24,13,37,139,26.62%,11,5,16
"Judge, Court of Criminal Appeals, Place 8",1036,144,46,190,433,43.88%,148,12,160
"Judge, Court of Criminal Appeals, Place 8",1037,27,16,43,73,58.90%,25,5,30
"Judge, Court of Criminal Appeals, Place 8",1038,133,43,176,266,66.17%,13,26,39
"Judge, Court of Criminal Appeals, Place 8",1039,3,5,8,20,40.00%,4,1,5
"Judge, Court of Criminal Appeals, Place 8",1040,195,146,341,607,56.18%,190,68,258
"Judge, Court of Criminal Appeals, Place 8",1041,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",1042,228,50,278,498,55.82%,92,56,148
"Judge, Court of Criminal Appeals, Place 8",1043,12,2,14,31,45.16%,4,1,5
"Judge, Court of Criminal Appeals, Place 8",1044,29,5,34,59,57.63%,10,5,15
"Judge, Court of Criminal Appeals, Place 8",1045,615,321,936,1439,65.05%,178,252,430
"Judge, Court of Criminal Appeals, Place 8",1046,19,18,37,54,68.52%,10,5,15
"Judge, Court of Criminal Appeals, Place 8",1047,554,288,852,1242,68.60%,307,213,520
"Judge, Court of Criminal Appeals, Place 8",1048,3,1,4,18,22.22%,2,0,2
"Judge, Court of Criminal Appeals, Place 8",1049,57,71,128,266,48.12%,53,21,74
"Judge, Court of Criminal Appeals, Place 8",1050,148,153,301,506,59.49%,84,72,156
"Judge, Court of Criminal Appeals, Place 8",1,051,0,1,2,1,2,0,0.00%,9,2,1,1
"Judge, Court of Criminal Appeals, Place 8",1052,0,2,2,0,0.00%,1,0,1
"Judge, Court of Criminal Appeals, Place 8",1053,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",1054,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",1055,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",1056,4,0,4,6,66.67%,1,0,1
"Judge, Court of Criminal Appeals, Place 8",1057,34,7,41,115,35.65%,3,7,10
"Judge, Court of Criminal Appeals, Place 8",1058,540,246,786,1190,66.05%,171,163,334
"Judge, Court of Criminal Appeals, Place 8",1059,7,3,10,23,43.48%,3,1,4
"Judge, Court of Criminal Appeals, Place 8",1060,13,4,17,49,34.69%,11,2,13
"Judge, Court of Criminal Appeals, Place 8",1061,666,300,966,1613,59.89%,561,151,712
"Judge, Court of Criminal Appeals, Place 8",1062,59,25,85,168,50.60%,25,20,45
"Judge, Court of Criminal Appeals, Place 8",1063,226,63,289,792,36.49%,42,50,92
"Judge, Court of Criminal Appeals, Place 8",1064,45,1,46,120,38.33%,35,7,42
"Judge, Court of Criminal Appeals, Place 8",Totals:,775751,427100,1202851,1942566,,630644,190668,821312
