Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0823,1854,1015,2889,4710,80.91%,1433,1253,88,2754
"Presiding Judge, Court of Criminal Appeals",0824,985,471,1458,2729,53.35%,304,1075,24,1403
"Presiding Judge, Court of Criminal Appeals",0825,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0828,153,89,242,342,70.78%,121,97,7,225
"Presiding Judge, Court of Criminal Appeals",0827,189,188,355,997,35.81%,131,200,7,338
"Presiding Judge, Court of Criminal Appeals",0828,1074,343,1417,1875,75.57%,1102,222,31,1355
"Presiding Judge, Court of Criminal Appeals",0829,107,58,183,288,81.28%,34,128,2,182
"Presiding Judge, Court of Criminal Appeals",0830,0,0,0,1,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0831,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0832,109,48,155,351,44.18%,45,101,1,147
"Presiding Judge, Court of Criminal Appeals",0833,8,1,9,20,45.00%,0,9,0,9
"Presiding Judge, Court of Criminal Appeals",0834,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0835,87,53,140,292,47.95%,41,91,2,134
"Presiding Judge, Court of Criminal Appeals",0838,8,3,11,19,57.89%,1,9,0,10
"Presiding Judge, Court of Criminal Appeals",0837,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0838,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0839,355,240,595,1122,53.03%,107,438,18,581
"Presiding Judge, Court of Criminal Appeals",0840,712,251,983,1821,59.41%,308,818,10,932
"Presiding Judge, Court of Criminal Appeals",0841,0,2,2,0,0.00%,0,2,0,2
"Presiding Judge, Court of Criminal Appeals",0842,989,715,1704,3091,55.13%,719,881,41,1841
"Presiding Judge, Court of Criminal Appeals",0843,0,2,2,0,0.00%,0,2,0,2
"Presiding Judge, Court of Criminal Appeals",0844,2,4,8,13,48.15%,1,4,0,5
"Presiding Judge, Court of Criminal Appeals",0845,88,10,98,100,98.00%,57,34,1,92
"Presiding Judge, Court of Criminal Appeals",0848,70,29,99,210,47.14%,4,90,1,95
"Presiding Judge, Court of Criminal Appeals",0847,797,321,1118,1804,81.97%,285,778,14,1077
"Presiding Judge, Court of Criminal Appeals",0848,782,431,1213,1873,84.78%,383,798,9,1188
"Presiding Judge, Court of Criminal Appeals",0849,553,514,1087,2073,51.47%,345,849,11,1005
"Presiding Judge, Court of Criminal Appeals",0850,87,38,125,205,80.98%,52,87,2,121
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0851,2194,816,3010,4317,69.72%,1896,912,81,2889
"Presiding Judge, Court of Criminal Appeals",0852,0,4,4,2,200.00%,0,4,0,4
"Presiding Judge, Court of Criminal Appeals",0853,1414,605,2019,2773,72.81%,1485,399,56,1940
"Presiding Judge, Court of Criminal Appeals",0854,41,30,71,175,40.57%,6,63,0,69
"Presiding Judge, Court of Criminal Appeals",0855,4,13,17,18,94.44%,9,8,0,17
"Presiding Judge, Court of Criminal Appeals",0856,0,4,4,0,0.00%,1,2,0,3
"Presiding Judge, Court of Criminal Appeals",0857,0,0,0,1,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0858,132,18,150,372,40.32%,4,141,0,145
"Presiding Judge, Court of Criminal Appeals",0859,309,201,510,860,59.30%,93,397,6,496
"Presiding Judge, Court of Criminal Appeals",0860,0,1,1,0,0.00%,0,0,1,1
"Presiding Judge, Court of Criminal Appeals",0861,705,319,1024,1786,57.33%,172,812,14,998
"Presiding Judge, Court of Criminal Appeals",0862,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0863,210,69,279,620,45.00%,10,262,1,273
"Presiding Judge, Court of Criminal Appeals",0864,497,609,1106,2464,44.89%,277,755,21,1053
"Presiding Judge, Court of Criminal Appeals",0865,9,2,11,23,47.83%,0,11,0,11
"Presiding Judge, Court of Criminal Appeals",0866,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0867,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0868,573,586,1159,2292,50.57%,336,745,20,1101
"Presiding Judge, Court of Criminal Appeals",0869,153,76,229,473,48.41%,32,185,3,220
"Presiding Judge, Court of Criminal Appeals",0870,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0871,3,0,3,4,75.00%,0,3,0,3
"Presiding Judge, Court of Criminal Appeals",0872,13,5,18,66,27.27%,9,7,0,16
"Presiding Judge, Court of Criminal Appeals",0873,253,125,378,701,53.92%,90,278,5,373
"Presiding Judge, Court of Criminal Appeals",0874,1535,748,2283,3107,73.48%,1689,459,57,2205
"Presiding Judge, Court of Criminal Appeals",0875,1721,927,2648,4031,65.69%,1219,1286,50,2555
"Presiding Judge, Court of Criminal Appeals",0876,1630,639,2269,3013,75.31%,1581,570,49,2200
"Presiding Judge, Court of Criminal Appeals",0877,1032,542,1674,2480,67.50%,683,921,32,1636
"Presiding Judge, Court of Criminal Appeals",0878,853,350,1203,1641,73.31%,967,155,38,1160
"Presiding Judge, Court of Criminal Appeals",0879,890,527,1417,2334,60.71%,637,702,30,1369
"Presiding Judge, Court of Criminal Appeals",0880,1070,472,1542,2007,76.83%,1130,317,36,1483
"Presiding Judge, Court of Criminal Appeals",0881,1511,877,2388,3619,65.99%,747,1531,36,2314
"Presiding Judge, Court of Criminal Appeals",0882,941,457,1398,2328,60.05%,748,568,34,1350
"Presiding Judge, Court of Criminal Appeals",0883,1920,1042,2962,4651,63.69%,511,2340,36,2887
"Presiding Judge, Court of Criminal Appeals",0884,119,37,156,330,47.27%,20,127,0,147
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0885,1222,541,1763,2466,71.49%,1028,640,31,1699
"Presiding Judge, Court of Criminal Appeals",0886,301,154,455,713,63.81%,218,180,19,417
"Presiding Judge, Court of Criminal Appeals",0887,142,83,225,313,71.88%,113,77,18,208
"Presiding Judge, Court of Criminal Appeals",0888,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0889,22,0,22,61,36.07%,14,7,1,22
"Presiding Judge, Court of Criminal Appeals",0890,325,118,443,994,44.57%,151,249,21,421
"Presiding Judge, Court of Criminal Appeals",0891,540,392,932,1413,65.96%,342,510,26,878
"Presiding Judge, Court of Criminal Appeals",0892,195,130,325,696,46.70%,85,207,15,307
"Presiding Judge, Court of Criminal Appeals",0893,1,0,1,5,20.00%,0,1,0,1
"Presiding Judge, Court of Criminal Appeals",0894,0,31,31,0,0.00%,4,19,5,28
"Presiding Judge, Court of Criminal Appeals",0895,337,325,662,784,84.44%,251,336,21,608
"Presiding Judge, Court of Criminal Appeals",0896,670,303,973,1437,67.71%,351,517,32,900
"Presiding Judge, Court of Criminal Appeals",0897,742,375,1117,1624,68.78%,594,459,25,1078
"Presiding Judge, Court of Criminal Appeals",0898,0,0,0,2,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0899,4,0,4,8,50.00%,0,4,0,4
"Presiding Judge, Court of Criminal Appeals",0900,5,0,5,12,41.67%,1,3,0,4
"Presiding Judge, Court of Criminal Appeals",0901,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0902,868,621,1489,2065,72.11%,802,536,59,1397
"Presiding Judge, Court of Criminal Appeals",0903,10,1,11,41,26.83%,6,4,0,10
"Presiding Judge, Court of Criminal Appeals",0904,0,1,1,1,100.00%,0,1,0,1
"Presiding Judge, Court of Criminal Appeals",0905,290,1,es,458,908,50.44%,170,246,8,424
"Presiding Judge, Court of Criminal Appeals",0906,12,6,18,26,69.23%,7,10,0,17
"Presiding Judge, Court of Criminal Appeals",0907,61,43,104,134,77.61%,21,81,0,102
"Presiding Judge, Court of Criminal Appeals",0908,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0909,5,7,12,19,63.16%,6,6,0,12
"Presiding Judge, Court of Criminal Appeals",0910,55,34,89,226,39.38%,32,49,2,83
"Presiding Judge, Court of Criminal Appeals",0911,227,79,306,570,53.68%,190,91,7,288
"Presiding Judge, Court of Criminal Appeals",0912,677,221,898,1235,72.71%,523,293,24,840
"Presiding Judge, Court of Criminal Appeals",0913,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0914,173,67,240,221,108.60%,180,42,7,229
"Presiding Judge, Court of Criminal Appeals",0915,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0916,505,182,787,1045,75.31%,635,111,12,758
"Presiding Judge, Court of Criminal Appeals",0917,282,137,419,481,87.11%,279,100,18,397
"Presiding Judge, Court of Criminal Appeals",0918,489,135,624,883,70.67%,458,120,12,590
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0919,0,3,3,3,100.00%,1,2,0,3
"Presiding Judge, Court of Criminal Appeals",0920,6,0,6,13,46.15%,6,0,0,6
"Presiding Judge, Court of Criminal Appeals",0921,71,9,80,87,91.95%,59,18,3,80
"Presiding Judge, Court of Criminal Appeals",0922,0,2,2,0,0.00%,1,1,0,2
"Presiding Judge, Court of Criminal Appeals",0923,666,87,753,826,91.16%,565,156,10,731
"Presiding Judge, Court of Criminal Appeals",0924,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0925,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0926,351,1,20,481,621,77.46%,356,95,9,460
"Presiding Judge, Court of Criminal Appeals",0927,84,74,158,262,60.31%,75,72,4,151
"Presiding Judge, Court of Criminal Appeals",0928,4,2,6,9,66.67%,0,6,0,6
"Presiding Judge, Court of Criminal Appeals",0929,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0930,200,77,277,567,48.85%,3,265,1,269
"Presiding Judge, Court of Criminal Appeals",0931,48,53,101,122,82.79%,41,48,2,91
"Presiding Judge, Court of Criminal Appeals",0932,0,5,5,0,0.00%,1,4,0,5
"Presiding Judge, Court of Criminal Appeals",0933,235,1,21,357,566,63.07%,88,244,10,342
"Presiding Judge, Court of Criminal Appeals",0934,12,1,13,41,31.71%,6,6,1,13
"Presiding Judge, Court of Criminal Appeals",0935,8,17,25,65,38.46%,13,11,0,24
"Presiding Judge, Court of Criminal Appeals",0936,12,10,22,70,31.43%,6,13,0,19
"Presiding Judge, Court of Criminal Appeals",0937,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0938,73,14,87,256,33.98%,22,59,2,83
"Presiding Judge, Court of Criminal Appeals",0939,1,0,1,1,100.00%,0,1,0,1
"Presiding Judge, Court of Criminal Appeals",0940,1,0,1,13,7.69%,0,1,0,1
"Presiding Judge, Court of Criminal Appeals",0941,13,9,22,25,88.00%,18,2,1,21
"Presiding Judge, Court of Criminal Appeals",0942,68,24,92,159,57.86%,69,15,1,85
"Presiding Judge, Court of Criminal Appeals",0943,297,63,360,536,67.16%,245,88,5,338
"Presiding Judge, Court of Criminal Appeals",0944,30,6,36,39,92.31%,24,9,0,33
"Presiding Judge, Court of Criminal Appeals",0945,4,7,11,16,68.75%,0,9,0,9
"Presiding Judge, Court of Criminal Appeals",0946,3,3,6,14,42.86%,0,4,0,4
"Presiding Judge, Court of Criminal Appeals",0947,320,292,612,822,74.45%,298,240,19,557
"Presiding Judge, Court of Criminal Appeals",0948,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0949,59,37,96,201,47.76%,44,46,2,92
"Presiding Judge, Court of Criminal Appeals",0950,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0951,79,44,123,218,56.42%,23,95,1,119
"Presiding Judge, Court of Criminal Appeals",0952,24,16,40,70,57.14%,19,19,1,39
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0953,59,52,111,420,26.43%,6,103,1,110
"Presiding Judge, Court of Criminal Appeals",0954,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0955,5,20,25,18,138.89%,14,8,1,23
"Presiding Judge, Court of Criminal Appeals",0956,5,2,7,12,58.33%,4,3,0,7
"Presiding Judge, Court of Criminal Appeals",0957,261,115,376,551,68.24%,54,305,5,364
"Presiding Judge, Court of Criminal Appeals",0958,289,266,555,989,56.12%,112,408,5,525
"Presiding Judge, Court of Criminal Appeals",0959,0,4,4,0,0.00%,0,4,0,4
"Presiding Judge, Court of Criminal Appeals",0960,364,143,507,586,86.52%,131,348,14,493
"Presiding Judge, Court of Criminal Appeals",0961,23,11,34,53,64.15%,8,26,0,34
"Presiding Judge, Court of Criminal Appeals",0962,24,13,37,73,50.68%,7,26,1,34
"Presiding Judge, Court of Criminal Appeals",0963,130,69,199,353,56.37%,108,77,4,189
"Presiding Judge, Court of Criminal Appeals",0964,950,447,1397,1571,88.92%,829,501,21,1351
"Presiding Judge, Court of Criminal Appeals",0965,93,27,120,355,33.80%,75,35,2,112
"Presiding Judge, Court of Criminal Appeals",0966,305,160,465,1073,43.34%,121,308,16,445
"Presiding Judge, Court of Criminal Appeals",0967,48,15,63,98,64.29%,25,36,1,62
"Presiding Judge, Court of Criminal Appeals",0968,243,83,326,517,63.06%,61,254,3,318
"Presiding Judge, Court of Criminal Appeals",0969,335,82,417,584,71.40%,3,400,1,404
"Presiding Judge, Court of Criminal Appeals",0970,212,76,288,704,40.91%,31,237,0,268
"Presiding Judge, Court of Criminal Appeals",0971,27,21,48,129,37.21%,1,46,0,47
"Presiding Judge, Court of Criminal Appeals",0972,10,7,17,29,58.62%,11,5,1,17
"Presiding Judge, Court of Criminal Appeals",0973,49,24,73,107,68.22%,38,31,2,71
"Presiding Judge, Court of Criminal Appeals",0974,101,71,172,299,57.53%,107,53,7,167
"Presiding Judge, Court of Criminal Appeals",0975,72,41,113,170,66.47%,50,53,3,106
"Presiding Judge, Court of Criminal Appeals",0976,159,131,290,684,42.40%,159,109,6,274
"Presiding Judge, Court of Criminal Appeals",0977,105,83,188,535,35.14%,69,109,1,179
"Presiding Judge, Court of Criminal Appeals",0978,201,102,303,506,59.88%,49,239,5,293
"Presiding Judge, Court of Criminal Appeals",0979,5,e,11,26,42.31%,10,1,0,11
"Presiding Judge, Court of Criminal Appeals",0980,596,356,952,1323,71.96%,678,213,15,906
"Presiding Judge, Court of Criminal Appeals",0981,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0982,534,218,752,1021,73.65%,570,131,20,721
"Presiding Judge, Court of Criminal Appeals",0983,41,28,69,165,41.82%,37,26,1,64
"Presiding Judge, Court of Criminal Appeals",0984,43,49,92,198,46.46%,6,81,1,88
"Presiding Judge, Court of Criminal Appeals",0985,172,67,239,336,71.13%,112,106,9,227
"Presiding Judge, Court of Criminal Appeals",0986,129,86,215,404,53.22%,20,184,1,205
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0987,465,191,656,1138,57.64%,45,588,7,640
"Presiding Judge, Court of Criminal Appeals",0988,44,21,65,111,58.56%,51,10,0,61
"Presiding Judge, Court of Criminal Appeals",0989,18,8,26,36,72.22%,12,13,0,25
"Presiding Judge, Court of Criminal Appeals",0990,37,15,52,154,33.77%,16,29,1,46
"Presiding Judge, Court of Criminal Appeals",0991,0,0,0,1,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0992,310,202,512,1015,50.44%,281,203,11,495
"Presiding Judge, Court of Criminal Appeals",0993,272,91,363,551,65.88%,277,58,11,346
"Presiding Judge, Court of Criminal Appeals",0994,6,5,11,8,137.50%,2,8,1,11
"Presiding Judge, Court of Criminal Appeals",0995,598,190,788,1269,62.10%,41,719,4,764
"Presiding Judge, Court of Criminal Appeals",0996,297,125,422,699,60.37%,223,161,13,397
"Presiding Judge, Court of Criminal Appeals",0997,432,328,760,1439,52.81%,127,600,16,743
"Presiding Judge, Court of Criminal Appeals",0998,15,9,24,35,68.57%,16,7,0,23
"Presiding Judge, Court of Criminal Appeals",0999,30,16,46,65,70.77%,37,7,0,44
"Presiding Judge, Court of Criminal Appeals",1000,105,0,105,458,22.93%,16,82,1,99
"Presiding Judge, Court of Criminal Appeals",1001,496,294,790,1566,50.45%,149,592,9,750
"Presiding Judge, Court of Criminal Appeals",1002,465,314,779,1738,44.82%,84,656,11,751
"Presiding Judge, Court of Criminal Appeals",1003,0,0,0,1,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",1004,225,153,378,656,57.62%,191,137,16,344
"Presiding Judge, Court of Criminal Appeals",1005,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",1006,3,0,3,5,60.00%,3,0,0,3
"Presiding Judge, Court of Criminal Appeals",1007,556,295,851,1371,62.07%,194,615,19,828
"Presiding Judge, Court of Criminal Appeals",1008,86,21,107,150,71.33%,80,19,3,102
"Presiding Judge, Court of Criminal Appeals",1009,3,1,4,8,50.00%,3,1,0,4
"Presiding Judge, Court of Criminal Appeals",1010,125,74,199,317,62.78%,29,154,7,190
"Presiding Judge, Court of Criminal Appeals",1011,12,3,15,29,51.72%,3,10,0,13
"Presiding Judge, Court of Criminal Appeals",1012,395,318,713,1235,57.73%,188,490,10,688
"Presiding Judge, Court of Criminal Appeals",1013,8,14,22,60,36.67%,15,7,0,22
"Presiding Judge, Court of Criminal Appeals",1014,9,7,16,36,44.44%,4,12,0,16
"Presiding Judge, Court of Criminal Appeals",1015,11,7,18,29,62.07%,4,13,0,17
"Presiding Judge, Court of Criminal Appeals",1016,593,364,957,1626,58.86%,414,483,20,917
"Presiding Judge, Court of Criminal Appeals",1017,127,50,177,232,76.29%,49,120,3,172
"Presiding Judge, Court of Criminal Appeals",1018,209,92,301,468,64.32%,140,149,2,291
"Presiding Judge, Court of Criminal Appeals",1019,427,4,431,1518,28.39%,15,398,1,414
"Presiding Judge, Court of Criminal Appeals",1020,0,0,0,1,0.00%,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",1021,1,0,1,2,50.00%,0,1,0,1
"Presiding Judge, Court of Criminal Appeals",1022,190,30,220,426,51.64%,165,44,3,212
"Presiding Judge, Court of Criminal Appeals",1023,898,401,1299,1964,66.14%,823,397,24,1244
"Presiding Judge, Court of Criminal Appeals",1024,113,77,190,259,73.36%,94,73,9,176
"Presiding Judge, Court of Criminal Appeals",1025,4,0,4,18,22.22%,1,3,0,4
"Presiding Judge, Court of Criminal Appeals",1026,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",1027,0,1,1,1,100.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",1028,0,1,1,0,0.00%,1,0,0,1
"Presiding Judge, Court of Criminal Appeals",1029,1023,641,1664,1802,92.34%,1248,300,43,1591
"Presiding Judge, Court of Criminal Appeals",1030,398,105,503,655,76.79%,435,47,9,491
"Presiding Judge, Court of Criminal Appeals",1031,3,3,6,6,100.00%,5,1,0,6
"Presiding Judge, Court of Criminal Appeals",1032,59,80,139,241,57.68%,98,32,1,131
"Presiding Judge, Court of Criminal Appeals",1033,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",1034,0,0,0,1,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",1035,24,13,37,139,26.62%,3,33,0,36
"Presiding Judge, Court of Criminal Appeals",1036,144,46,190,433,43.88%,145,34,3,182
"Presiding Judge, Court of Criminal Appeals",1037,27,16,43,73,58.90%,21,15,2,38
"Presiding Judge, Court of Criminal Appeals",1038,133,43,176,266,66.17%,10,161,2,173
"Presiding Judge, Court of Criminal Appeals",1039,3,5,8,20,40.00%,2,6,0,8
"Presiding Judge, Court of Criminal Appeals",1040,195,146,341,607,56.18%,165,144,13,322
"Presiding Judge, Court of Criminal Appeals",1041,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",1042,228,50,278,498,55.82%,78,193,4,275
"Presiding Judge, Court of Criminal Appeals",1043,12,2,14,31,45.16%,3,11,0,14
"Presiding Judge, Court of Criminal Appeals",1044,29,5,34,59,57.63%,9,25,0,34
"Presiding Judge, Court of Criminal Appeals",1045,615,321,936,1439,65.05%,115,784,10,909
"Presiding Judge, Court of Criminal Appeals",1046,19,18,37,54,68.52%,5,31,0,36
"Presiding Judge, Court of Criminal Appeals",1047,554,288,852,1242,68.60%,251,555,16,822
"Presiding Judge, Court of Criminal Appeals",1048,3,1,4,18,22.22%,2,2,0,4
"Presiding Judge, Court of Criminal Appeals",1049,57,71,128,266,48.12%,37,82,2,121
"Presiding Judge, Court of Criminal Appeals",1050,148,153,301,506,59.49%,64,222,3,289
"Presiding Judge, Court of Criminal Appeals",1,051,0,1,2,1,2,0,0.00%,8,4,0,1,2
"Presiding Judge, Court of Criminal Appeals",1052,0,2,2,0,0.00%,1,0,0,1
"Presiding Judge, Court of Criminal Appeals",1053,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",1054,0,0,0,1,0.00%,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",1055,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",1056,4,0,4,6,66.67%,0,4,0,4
"Presiding Judge, Court of Criminal Appeals",1057,34,7,41,115,35.65%,1,36,0,37
"Presiding Judge, Court of Criminal Appeals",1058,540,246,786,1190,66.05%,122,630,9,761
"Presiding Judge, Court of Criminal Appeals",1059,7,3,10,23,43.48%,0,10,0,10
"Presiding Judge, Court of Criminal Appeals",1060,13,4,17,49,34.69%,9,8,0,17
"Presiding Judge, Court of Criminal Appeals",1061,666,300,966,1613,59.89%,505,403,24,932
"Presiding Judge, Court of Criminal Appeals",1062,59,25,85,168,50.60%,19,61,2,82
"Presiding Judge, Court of Criminal Appeals",1063,226,63,289,792,36.49%,28,248,5,281
"Presiding Judge, Court of Criminal Appeals",1064,45,1,46,120,38.33%,33,9,2,44
"Presiding Judge, Court of Criminal Appeals",Totals:,775751,427100,1202851,1942566,554444,567466,26688,1148598
