Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0982,534,218,752,1021,73.65%,573,124,26,723
County Tax Assessor-Collector,0983,41,28,69,165,41.82%,38,27,0,65
County Tax Assessor-Collector,0984,43,49,92,198,46.46%,6,82,0,88
County Tax Assessor-Collector,0985,172,67,239,336,71.13%,122,100,7,229
County Tax Assessor-Collector,0986,129,86,215,404,53.22%,19,182,1,202
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0987,465,191,656,1138,57.64%,45,589,6,640
County Tax Assessor-Collector,0988,44,21,65,111,58.56%,54,9,1,64
County Tax Assessor-Collector,0989,18,8,26,36,72.22%,11,14,0,25
County Tax Assessor-Collector,0990,37,15,52,154,33.77%,16,31,0,47
County Tax Assessor-Collector,0991,0,0,0,1,0.00%,0,0,0,0
County Tax Assessor-Collector,0992,309,202,511,1015,50.34%,279,204,9,492
County Tax Assessor-Collector,0993,272,91,363,551,65.88%,282,57,9,348
County Tax Assessor-Collector,0994,6,5,11,8,137.50%,2,8,1,11
County Tax Assessor-Collector,0995,596,190,786,1269,61.94%,32,723,6,761
County Tax Assessor-Collector,0996,297,125,422,699,60.37%,235,165,10,410
County Tax Assessor-Collector,0997,429,328,757,1439,52.61%,117,606,18,741
County Tax Assessor-Collector,0998,15,9,24,35,68.57%,18,5,0,23
County Tax Assessor-Collector,0999,30,16,46,65,70.77%,38,7,0,45
County Tax Assessor-Collector,1000,105,0,105,458,22.93%,16,82,1,99
County Tax Assessor-Collector,1001,496,294,790,1566,50.45%,150,593,7,750
County Tax Assessor-Collector,1002,464,314,778,1738,44.76%,85,645,14,744
County Tax Assessor-Collector,1003,0,0,0,1,0.00%,0,0,0,0
County Tax Assessor-Collector,1004,224,153,377,656,57.47%,193,137,18,348
County Tax Assessor-Collector,1005,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,1006,3,0,3,5,60.00%,3,0,0,3
County Tax Assessor-Collector,1007,555,295,850,1371,62.00%,189,616,19,824
County Tax Assessor-Collector,1008,86,21,107,150,71.33%,84,19,0,103
County Tax Assessor-Collector,1009,3,1,4,8,50.00%,3,0,1,4
County Tax Assessor-Collector,1010,124,74,198,317,62.46%,33,156,4,193
County Tax Assessor-Collector,1011,12,3,15,29,51.72%,5,7,0,12
County Tax Assessor-Collector,1012,395,318,713,1235,57.73%,184,494,10,688
County Tax Assessor-Collector,1013,8,14,22,60,36.67%,15,7,0,22
County Tax Assessor-Collector,1014,9,7,16,36,44.44%,3,12,1,16
County Tax Assessor-Collector,1015,11,7,18,29,62.07%,4,12,1,17
County Tax Assessor-Collector,1016,591,364,955,1626,58.73%,411,482,27,920
County Tax Assessor-Collector,1017,127,50,177,232,76.29%,48,119,4,171
County Tax Assessor-Collector,1018,209,92,301,468,64.32%,139,152,4,295
County Tax Assessor-Collector,1019,426,4,430,1518,28.33%,17,394,2,413
County Tax Assessor-Collector,1020,0,0,0,1,0.00%,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,1021,1,0,1,2,50.00%,0,1,0,1
County Tax Assessor-Collector,1022,190,30,220,426,51.64%,168,43,3,214
County Tax Assessor-Collector,1023,894,401,1295,1964,65.94%,817,393,29,1239
County Tax Assessor-Collector,1024,113,77,190,259,73.36%,94,72,11,177
County Tax Assessor-Collector,1025,4,0,4,18,22.22%,1,3,0,4
County Tax Assessor-Collector,1026,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,1027,0,1,1,1,100.00%,1,0,0,1
County Tax Assessor-Collector,1028,0,1,1,0,0.00%,1,0,0,1
County Tax Assessor-Collector,1029,1021,641,1662,1802,92.23%,1259,286,44,1589
County Tax Assessor-Collector,1030,397,105,502,655,76.64%,429,52,8,489
County Tax Assessor-Collector,1031,3,3,6,6,100.00%,5,1,0,6
County Tax Assessor-Collector,1032,59,80,139,241,57.68%,95,35,0,130
County Tax Assessor-Collector,1033,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,1034,0,0,0,1,0.00%,0,0,0,0
County Tax Assessor-Collector,1035,24,13,37,139,26.62%,4,32,0,36
County Tax Assessor-Collector,1036,144,46,190,433,43.88%,141,37,5,183
County Tax Assessor-Collector,1037,27,16,43,73,58.90%,20,16,2,38
County Tax Assessor-Collector,1038,133,43,176,266,66.17%,10,158,3,171
County Tax Assessor-Collector,1039,3,5,8,20,40.00%,1,7,0,8
County Tax Assessor-Collector,1040,192,146,338,607,55.68%,173,129,16,318
County Tax Assessor-Collector,1041,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,1042,227,50,277,498,55.62%,79,190,4,273
County Tax Assessor-Collector,1043,12,2,14,31,45.16%,3,11,0,14
County Tax Assessor-Collector,1044,29,5,34,59,57.63%,7,26,1,34
County Tax Assessor-Collector,1045,611,321,932,1439,64.77%,115,775,11,901
County Tax Assessor-Collector,1046,19,18,37,54,68.52%,3,33,0,36
County Tax Assessor-Collector,1047,553,288,851,1242,68.52%,246,556,18,820
County Tax Assessor-Collector,1048,3,1,4,18,22.22%,2,2,0,4
County Tax Assessor-Collector,1049,57,71,128,266,48.12%,38,84,2,124
County Tax Assessor-Collector,1050,148,153,301,506,59.49%,64,223,4,291
County Tax Assessor-Collector,1,051,0,1,2,1,2,0,0.00%,9,3,0,1,2
County Tax Assessor-Collector,1052,0,2,2,0,0.00%,1,1,0,2
County Tax Assessor-Collector,1053,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,1054,0,0,0,1,0.00%,0,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,1055,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,1056,4,0,4,6,66.67%,0,4,0,4
County Tax Assessor-Collector,1057,34,7,41,115,35.65%,1,37,1,39
County Tax Assessor-Collector,1058,540,246,786,1190,66.05%,117,631,13,761
County Tax Assessor-Collector,1059,7,3,10,23,43.48%,0,9,1,10
County Tax Assessor-Collector,1060,13,4,17,49,34.69%,9,8,0,17
County Tax Assessor-Collector,1061,665,300,965,1613,59.83%,496,410,26,932
County Tax Assessor-Collector,1062,59,25,85,168,50.60%,19,61,1,81
County Tax Assessor-Collector,1063,226,63,289,792,36.49%,31,248,3,282
County Tax Assessor-Collector,1064,45,1,46,120,38.33%,34,9,1,44
County Tax Assessor-Collector,Totals:,774640,427100,1201740,1942566,563427,561090,26947,1151464
