Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0206,651,659,1310,2662,49.21%,381,799,58,1238
County Tax Assessor-Collector,0207,409,310,719,1144,62.85%,247,398,25,670
County Tax Assessor-Collector,0208,806,364,1170,2201,53.16%,284,809,15,1108
County Tax Assessor-Collector,0209,0,4,4,0,0.00%,4,0,0,4
County Tax Assessor-Collector,0210,1013,542,1555,2300,67.61%,160,1296,30,1486
County Tax Assessor-Collector,0211,710,686,1396,2797,49.91%,461,819,30,1310
County Tax Assessor-Collector,0212,218,314,532,1266,42.02%,96,407,8,511
County Tax Assessor-Collector,0213,1603,939,2542,3308,76.84%,1998,389,40,2427
County Tax Assessor-Collector,0214,798,544,1342,1795,74.76%,820,391,41,1252
County Tax Assessor-Collector,0215,844,786,1630,2168,75.18%,984,508,46,1538
County Tax Assessor-Collector,0216,784,320,1104,1917,57.59%,73,987,6,1066
County Tax Assessor-Collector,0217,1396,651,2047,2637,77.63%,1357,515,41,1913
County Tax Assessor-Collector,0218,690,608,1298,2274,57.08%,389,794,31,1214
County Tax Assessor-Collector,0219,1117,587,1704,2654,64.20%,123,1470,27,1620
County Tax Assessor-Collector,0220,711,353,1064,2360,45.08%,716,278,21,1015
County Tax Assessor-Collector,0221,699,611,1310,2489,52.63%,537,662,32,1231
County Tax Assessor-Collector,0222,1000,792,1792,2384,75.17%,879,732,43,1654
County Tax Assessor-Collector,0223,1350,760,2110,3528,59.81%,585,1286,88,1959
County Tax Assessor-Collector,0224,894,649,1543,2259,68.30%,717,685,39,1441
County Tax Assessor-Collector,0225,1109,720,1829,3155,57.97%,751,962,40,1753
County Tax Assessor-Collector,0226,529,545,1074,2393,44.88%,214,761,20,995
County Tax Assessor-Collector,0227,947,451,1398,1767,79.12%,1055,235,30,1320
County Tax Assessor-Collector,0228,583,165,748,1073,69.71%,30,691,5,726
County Tax Assessor-Collector,0229,152,207,359,811,44.27%,101,239,4,344
County Tax Assessor-Collector,0230,421,153,574,1096,52.37%,11,534,5,550
County Tax Assessor-Collector,0231,562,471,1033,2219,46.55%,250,706,31,987
County Tax Assessor-Collector,0232,685,546,1231,1696,72.58%,712,416,22,1150
County Tax Assessor-Collector,0233,1826,1063,2889,4132,69.92%,1446,1144,124,2714
County Tax Assessor-Collector,0234,2088,885,2973,3854,77.14%,2260,503,48,2811
County Tax Assessor-Collector,0235,466,242,708,1305,54.25%,17,665,8,690
County Tax Assessor-Collector,0236,779,342,1121,2144,52.29%,21,1057,5,1083
County Tax Assessor-Collector,0237,793,441,1234,2181,56.58%,16,1194,3,1213
County Tax Assessor-Collector,0238,640,422,1062,1901,55.87%,20,1003,9,1032
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0239,765,357,1122,1997,56.18%,23,1062,4,1089
County Tax Assessor-Collector,0240,1157,402,1559,2688,58.00%,13,1492,9,1514
County Tax Assessor-Collector,0241,494,479,973,2296,42.38%,365,551,13,929
County Tax Assessor-Collector,0242,363,323,686,1570,43.69%,352,298,13,663
County Tax Assessor-Collector,0243,254,50,304,452,67.26%,3,292,3,298
County Tax Assessor-Collector,0244,1100,656,1756,2912,60.30%,876,773,43,1692
County Tax Assessor-Collector,0245,2340,1115,3455,5240,65.94%,2218,1037,94,3349
County Tax Assessor-Collector,0246,1584,624,2208,2999,73.62%,1456,641,48,2145
County Tax Assessor-Collector,0247,421,403,824,1607,51.28%,13,781,10,804
County Tax Assessor-Collector,0248,408,405,813,2122,38.31%,171,578,22,771
County Tax Assessor-Collector,0249,1028,481,1509,2676,56.39%,973,450,30,1453
County Tax Assessor-Collector,0250,306,247,553,951,58.15%,10,532,3,545
County Tax Assessor-Collector,0251,809,529,1338,2072,64.58%,50,1241,5,1296
County Tax Assessor-Collector,0252,1111,356,1467,2350,62.43%,19,1405,6,1430
County Tax Assessor-Collector,0253,923,325,1248,2252,55.42%,17,1210,3,1230
County Tax Assessor-Collector,0254,220,282,502,1476,34.01%,114,349,7,470
County Tax Assessor-Collector,0255,995,797,1792,2411,74.33%,834,820,50,1704
County Tax Assessor-Collector,0256,1059,766,1825,3226,56.57%,705,968,40,1713
County Tax Assessor-Collector,0257,553,571,1124,2403,46.77%,257,815,11,1083
County Tax Assessor-Collector,0258,1577,888,2465,3286,75.02%,1789,490,58,2337
County Tax Assessor-Collector,0259,1210,460,1670,2408,69.35%,23,1605,11,1639
County Tax Assessor-Collector,0260,420,290,710,1187,59.81%,375,291,18,684
County Tax Assessor-Collector,0261,176,133,309,749,41.26%,93,197,5,295
County Tax Assessor-Collector,0262,1470,906,2376,4232,56.14%,1320,832,85,2237
County Tax Assessor-Collector,0263,1785,719,2504,3319,75.44%,1825,544,58,2427
County Tax Assessor-Collector,0264,936,639,1575,2939,53.59%,815,615,53,1483
County Tax Assessor-Collector,0265,1936,674,2610,3617,72.16%,1925,491,59,2475
County Tax Assessor-Collector,0266,552,542,1094,2119,51.63%,468,538,35,1041
County Tax Assessor-Collector,0267,294,305,599,1346,44.50%,260,285,12,557
County Tax Assessor-Collector,0268,931,810,1741,2387,72.94%,1036,521,48,1605
County Tax Assessor-Collector,0269,1143,444,1587,1981,80.11%,1247,238,18,1503
County Tax Assessor-Collector,0270,1401,870,2271,3517,64.57%,1268,822,73,2163
County Tax Assessor-Collector,0271,1303,371,1674,2469,67.80%,15,1614,7,1636
County Tax Assessor-Collector,0272,610,484,1094,2112,51.80%,391,615,38,1044
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0273,1139,634,1773,2426,73.08%,1412,245,38,1695
County Tax Assessor-Collector,0274,1049,364,1413,2063,68.49%,922,374,47,1343
County Tax Assessor-Collector,0275,567,410,977,1730,56.47%,159,766,16,941
County Tax Assessor-Collector,0276,1139,404,1543,2532,60.94%,7,1495,12,1514
County Tax Assessor-Collector,0277,342,305,647,1473,43.92%,263,343,22,628
County Tax Assessor-Collector,0278,756,607,1363,2405,56.67%,698,583,21,1302
County Tax Assessor-Collector,0279,548,383,931,1899,49.03%,550,325,19,894
County Tax Assessor-Collector,0280,303,360,663,1515,43.76%,230,384,15,629
County Tax Assessor-Collector,0281,1087,903,1990,2610,76.25%,1013,765,45,1823
County Tax Assessor-Collector,0282,690,591,1281,1988,64.44%,735,461,41,1237
County Tax Assessor-Collector,0283,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0284,1135,595,1730,3262,53.03%,640,994,32,1666
County Tax Assessor-Collector,0285,988,509,1497,2505,59.76%,105,1335,14,1454
County Tax Assessor-Collector,0286,2657,1053,3710,5719,64.87%,299,3224,46,3569
County Tax Assessor-Collector,0287,547,542,1189,1616,73.58%,599,478,48,1125
County Tax Assessor-Collector,0288,1036,380,1416,2259,62.68%,16,1352,9,1377
County Tax Assessor-Collector,0289,374,397,771,1510,51.06%,300,420,12,732
County Tax Assessor-Collector,0290,577,429,1006,1567,64.20%,746,215,15,976
County Tax Assessor-Collector,0291,541,298,839,1203,69.74%,408,374,16,798
County Tax Assessor-Collector,0292,477,236,713,1272,56.05%,91,590,9,690
County Tax Assessor-Collector,0293,520,557,1177,1733,67.92%,531,546,45,1122
County Tax Assessor-Collector,0294,989,298,1287,2107,61.08%,9,1237,5,1251
County Tax Assessor-Collector,0295,314,189,503,862,58.35%,4,485,4,493
County Tax Assessor-Collector,0296,602,432,1034,1693,61.08%,583,356,24,963
County Tax Assessor-Collector,0297,576,445,1021,1978,51.62%,363,570,23,956
County Tax Assessor-Collector,0298,847,475,1322,2083,63.47%,714,485,57,1256
County Tax Assessor-Collector,0299,328,213,541,1231,43.95%,170,337,8,515
County Tax Assessor-Collector,0300,3013,922,3935,5040,78.08%,2944,721,97,3762
County Tax Assessor-Collector,0301,450,655,1105,2397,46.10%,387,648,16,1051
County Tax Assessor-Collector,0302,713,635,1348,2724,49.49%,701,560,22,1283
County Tax Assessor-Collector,0303,1772,755,2527,3172,79.67%,2014,352,43,2409
County Tax Assessor-Collector,0304,970,648,1618,2266,71.40%,924,562,32,1518
County Tax Assessor-Collector,0305,1319,858,2177,3621,60.12%,760,1301,42,2103
County Tax Assessor-Collector,0306,1013,323,1336,1847,72.33%,984,264,34,1282
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0307,1242,876,2118,2931,72.26%,1431,527,75,2033
County Tax Assessor-Collector,0308,444,238,682,1266,53.87%,185,451,19,655
County Tax Assessor-Collector,0309,1385,612,1997,2529,78.96%,1595,285,29,1909
County Tax Assessor-Collector,0310,517,348,965,1437,67.15%,638,260,19,917
County Tax Assessor-Collector,0311,862,699,1561,2997,52.09%,666,717,39,1422
County Tax Assessor-Collector,0312,1600,718,2318,3669,63.18%,1265,891,60,2216
County Tax Assessor-Collector,0313,22,1,23,60,38.33%,10,9,1,20
County Tax Assessor-Collector,0314,2494,1221,3715,5225,71.10%,2167,1330,88,3585
County Tax Assessor-Collector,0315,711,479,1190,1618,73.55%,695,397,31,1123
County Tax Assessor-Collector,0316,682,411,1093,1522,71.81%,612,390,24,1026
County Tax Assessor-Collector,0317,551,336,887,1469,60.38%,255,585,17,857
County Tax Assessor-Collector,0318,1708,611,2319,3531,65.68%,85,2144,11,2240
County Tax Assessor-Collector,0319,965,290,1255,2081,60.31%,70,1131,13,1214
County Tax Assessor-Collector,0320,464,300,764,1505,50.76%,317,395,15,727
County Tax Assessor-Collector,0321,442,305,748,2029,36.87%,246,455,12,713
